Force,All crimes (total) December 2011,All crimes (total) December 2010,All crimes (total) December 2009,Victim-based crimes December 2011,Victim-based crimes December 2010,Victim-based crimes December 2009,Non Victim-based crimes December 2011,Non Victim-based crimes December 2010,Non Victim-based crimes December 2009,Fraud and Forgery December 2011,Fraud and Forgery December 2010,Fraud and Forgery December 2009,Violence (all) December 2011,Violence (all) December 2010,Violence (all) December 2009,Violence With Injury December 2011,Violence With Injury December 2010,Violence With Injury December 2009,Violence Without Injury December 2011,Violence Without Injury December 2010,Violence Without Injury December 2009,Sexual offences (all) December 2011,Sexual offences (all) December 2010,Sexual offences (all) December 2009,Rape December 2011,Rape December 2010,Rape December 2009,Other sexual offences December 2011,Other sexual offences December 2010,Other sexual offences December 2009,Stealing (all) December 2011,Stealing (all) December 2010,Stealing (all) December 2009,Burglary (all) December 2011,Burglary (all) December 2010,Burglary (all) December 2009,Robbery (all) December 2011,Robbery (all) December 2010,Robbery (all) December 2009,Vehicle Crime December 2011,Vehicle Crime December 2010,Vehicle Crime December 2009,Other stealing December 2011,Other stealing December 2010,Other stealing December 2009,Burglary From a House December 2011,Burglary From a House December 2010,Burglary From a House December 2009,Burglary Non-Domestic December 2011,Burglary Non-Domestic December 2010,Burglary Non-Domestic December 2009,Robbery From a Person December 2011,Robbery From a Person December 2010,Robbery From a Person December 2009,Robbery From a Business December 2011,Robbery From a Business December 2010,Robbery From a Business December 2009,Shoplifting December 2011,Shoplifting December 2010,Shoplifting December 2009,Criminal damage and arson December 2011,Criminal damage and arson December 2010,Criminal damage and arson December 2009,Public disorder December 2011,Public disorder December 2010,Public disorder December 2009,Drug offences December 2011,Drug offences December 2010,Drug offences December 2009,Crime disrupted December 2011,Crime disrupted December 2010,Crime disrupted December 2009,Other non-victim based crimes December 2011,Other non-victim based crimes December 2010,Other non-victim based crimes December 2009,Drugs Trafficking December 2011,Drugs Trafficking December 2010,Drugs Trafficking December 2009,Possessing or using drugs December 2011,Possessing or using drugs December 2010,Possessing or using drugs December 2009
Dyfed-Powys,42.1,43.08,45.3,30.88,33.04,35.02,9.78,8.64,8.69,0,0.08,0.06,7.27,7.5,7.59,4.63,4.61,4.74,2.64,2.89,2.86,0.75,0.78,0.74,0.22,0.24,0.23,0.54,0.54,0.51,14.75,15.72,16.37,3.54,3.6,3.81,0.08,0.08,0.08,2.41,2.94,3.32,5.74,6.15,6.03,1.11,1.24,1.19,2.43,2.36,2.62,0.07,0.06,0.07,0.01,0.02,0.01,2.98,2.94,3.13,8.11,9.05,10.32,2.94,3.01,3.23,6.53,5.26,5.16,0,0,0,0.31,0.37,0.3,0.71,0.57,0.56,5.82,4.69,4.6
Essex,61.41,59.78,62.22,53.98,52.02,54.02,4.96,5.07,5.16,0.38,0,0,10.4,10.28,9.96,5.35,5.46,5.58,5.05,4.82,4.37,0.87,0.85,0.67,0.31,0.27,0.21,0.56,0.58,0.45,32.74,30.13,30.49,8.23,7.56,8.17,0.69,0.66,0.65,7.51,7.1,7.55,10.69,9.56,8.6,4,3.8,3.97,4.23,3.77,4.2,0.63,0.58,0.58,0.06,0.08,0.07,5.63,5.24,5.52,9.98,10.76,12.91,2.07,2.23,2.33,2.61,2.5,2.42,0.01,0.01,0.01,0.26,0.34,0.41,0.5,0.44,0.33,2.11,2.06,2.08
Gloucestershire,61.29,59.67,68.07,54.41,52.51,59.27,4.66,4.98,6.36,1,0,0,8.64,8.94,10.71,5.01,5.04,5.99,3.63,3.9,4.72,0.95,0.85,0.92,0.29,0.26,0.23,0.66,0.59,0.7,34.54,31.85,33.82,10.55,9.6,9.4,0.55,0.38,0.4,7.32,6.41,7.61,11.05,10.57,11.09,5.46,4.06,4.15,5.09,5.54,5.25,0.5,0.34,0.36,0.04,0.03,0.04,5.07,4.88,5.32,10.28,10.87,13.81,1.74,1.95,2.88,2.58,2.64,2.99,0.06,0.07,0.07,0.28,0.32,0.42,0.42,0.5,0.49,2.16,2.14,2.49
Greater Manchester,82.47,87.6,99.49,69.77,74.4,85.74,8.34,8.66,9.09,0.07,0,0,12.45,12.15,12.82,6.73,7.04,8.16,5.72,5.12,4.66,1.05,1.05,1.12,0.32,0.31,0.33,0.73,0.75,0.78,42.23,45.55,51.63,11.94,12.84,15.02,1.71,1.96,2.49,8.65,10.38,14.08,14.18,14.57,13.79,6.31,7.08,8.45,5.63,5.76,6.57,1.45,1.63,2.03,0.26,0.33,0.45,5.74,5.79,6.26,14.05,15.65,20.17,3.22,3.59,4.36,4.55,4.47,4.15,0.04,0.04,0.05,0.53,0.56,0.54,0.98,0.96,0.81,3.57,3.5,3.34
Gwent,74.02,83.18,91.45,62.6,72.41,79.9,8.81,8.02,8.32,0.01,1.15,0.84,10.49,11.97,13.06,6.96,8.66,10.11,3.53,3.32,2.95,1.07,0.98,1.04,0.36,0.33,0.31,0.7,0.65,0.73,36.53,42.46,44.23,10.5,12.54,12.96,0.27,0.37,0.47,9.04,11.68,13.93,10.87,11.93,10.85,3.84,5.29,5.37,6.67,7.25,7.59,0.23,0.32,0.44,0.04,0.06,0.03,5.84,5.92,6.03,14.52,17,21.56,3.4,3.25,3.93,4.71,4.11,3.7,0.36,0.35,0.32,0.33,0.31,0.37,0.69,0.56,0.47,4.03,3.55,3.24
Hampshire,71.16,71.45,79.33,60.97,61.2,68.15,6.9,7.06,7.65,0,0.26,0.19,13.76,14.17,14.72,7.45,7.58,7.97,6.31,6.6,6.75,1.04,1.11,1.1,0.32,0.31,0.31,0.73,0.8,0.8,33.94,32.78,35.95,7.57,7.33,8.04,0.53,0.6,0.58,6.04,6.43,7.38,12.94,11.64,12.4,2.87,2.74,3.03,4.7,4.59,5.01,0.49,0.56,0.53,0.04,0.04,0.05,6.86,6.77,7.54,12.23,13.14,16.38,3.13,3.55,3.9,3.41,3.11,3.28,0.03,0.02,0.02,0.34,0.38,0.46,0.44,0.49,0.53,2.97,2.62,2.75
Hertfordshire,58.33,60.84,65.41,48.12,49.83,54.12,7.23,8.01,7.79,0,0.16,0.17,7.83,7.46,8.03,4,3.75,4.5,3.83,3.71,3.53,0.64,0.6,0.58,0.18,0.19,0.13,0.46,0.41,0.44,30.02,31.47,32.97,7.19,7.43,7.87,0.57,0.57,0.62,6.57,7.28,7.87,10.13,10.32,10.33,3.35,3.64,4.1,3.83,3.79,3.77,0.52,0.49,0.57,0.05,0.08,0.05,5.56,5.88,6.29,9.64,10.3,12.54,2.22,2.74,2.82,4.54,4.71,4.27,0.01,0.01,0.01,0.46,0.56,0.68,0.52,0.45,0.54,4.02,4.26,3.73
Humberside,81.97,81.89,91.65,72.22,72.38,80.98,7.05,6.84,7.87,0.02,0.01,0,12.89,12.84,14.9,8.28,8.17,9.92,4.61,4.67,4.97,1.29,1.28,1.17,0.42,0.42,0.26,0.88,0.86,0.9,42.79,41.55,44.58,12.56,12.36,13.37,0.56,0.62,0.71,6.68,7.17,8.97,15.39,14.14,13.99,4.96,5.14,5.3,7.59,7.22,8.07,0.5,0.54,0.62,0.06,0.08,0.09,7.6,7.26,7.53,15.25,16.7,20.33,3.38,3.54,4.49,3.12,2.54,2.71,0.09,0.09,0.13,0.45,0.67,0.54,0.59,0.45,0.53,2.53,2.08,2.18
Kent,61.77,64.35,65.27,54.85,57.14,57.62,3.85,4.36,4.84,0,0,0,10.56,11.08,11.43,5.99,6.22,6.78,4.56,4.87,4.64,0.79,0.88,0.79,0.2,0.22,0.19,0.58,0.66,0.6,31.52,32.07,31.27,7.19,7.38,7.35,0.52,0.55,0.5,6.01,6.96,7.46,11.79,11.01,9.72,3.05,3.11,3.18,4.14,4.26,4.17,0.46,0.47,0.43,0.06,0.08,0.07,6.01,6.17,6.24,11.99,13.11,14.13,1.31,1.5,2.04,2.25,2.53,2.42,0.02,0.02,0.01,0.26,0.31,0.37,0.37,0.45,0.35,1.88,2.08,2.07
Lancashire,68.94,71.76,76.59,60.79,62.63,67.38,5.67,6.35,6.35,0,0,0,12.92,13.14,13.54,7.27,7.29,7.79,5.65,5.85,5.75,1.1,1,0.91,0.31,0.26,0.17,0.79,0.74,0.74,33.41,33.58,34.4,8.13,8.39,8.67,0.49,0.47,0.51,5.9,6.6,7.36,13.17,12.42,11.88,2.95,3.05,3.34,5.18,5.34,5.33,0.41,0.4,0.44,0.09,0.06,0.07,5.72,5.7,5.98,13.35,14.91,18.53,2.06,2.41,2.49,3.27,3.53,3.41,0,0,0,0.34,0.41,0.45,0.61,0.7,0.66,2.66,2.83,2.76
Leicestershire,69.26,74.13,84.87,59.47,62.1,72.17,6.49,8.12,8.61,0.72,0,0,11.58,12.52,14.6,5.59,5.68,7.38,5.99,6.83,7.22,0.99,1.01,1.07,0.25,0.25,0.26,0.74,0.76,0.81,34.83,35.5,40.52,8.28,9.04,11.31,0.9,0.85,1.12,6.65,7.29,9.04,13.63,12.63,13.14,4.22,4.56,5.74,4.06,4.47,5.58,0.83,0.78,1.04,0.07,0.07,0.08,5.38,5.7,5.9,12.07,13.08,15.99,3.35,4.13,4.66,2.69,3.41,3.42,0.02,0.01,0,0.42,0.58,0.53,0.38,0.44,0.76,2.3,2.97,2.66
Lincolnshire,64.86,62.96,69.05,57.36,55.56,60.68,5.14,5.27,6.04,0.61,0.03,0.09,9.2,9.22,9.54,5.02,5.14,5.8,4.19,4.07,3.74,0.94,0.99,0.85,0.24,0.29,0.22,0.7,0.7,0.63,35.03,31.91,33.4,9.43,8.56,8.54,0.33,0.28,0.29,5.47,5.31,6.13,14.4,12.76,12.91,3.23,3.31,3.21,6.2,5.25,5.32,0.3,0.24,0.25,0.03,0.04,0.04,5.4,4.99,5.53,12.19,13.45,16.89,2.45,2.6,3.32,2.25,2.17,2.25,0,0,0,0.44,0.49,0.47,0.46,0.43,0.47,1.79,1.74,1.78
"London, City of",19.89,19.63,21.05,15.08,14.53,15.9,3.46,3.36,3.4,1.53,0,0,1.73,1.44,2.04,0.86,0.8,1.12,0.87,0.64,0.91,0.11,0.13,0.1,0.01,0.02,0.01,0.11,0.11,0.09,12.51,12.37,12.83,0.92,0.91,1.02,0.11,0.13,0.15,0.7,0.72,0.46,8.35,7.99,8.67,0.1,0.1,0.11,0.82,0.81,0.91,0.1,0.11,0.13,0.01,0.02,0.02,2.42,2.62,2.53,0.73,0.58,0.93,0.6,0.68,0.55,2.48,2.22,2.55,0.04,0.05,0.07,0.34,0.41,0.23,0.09,0.05,0.06,2.39,2.17,2.5
Merseyside,72.84,74.4,82.57,56.75,56.64,63.38,13.56,15.33,16.26,0,0,0,7.72,7.59,8.84,4.84,4.7,5.8,2.88,2.89,3.04,0.97,0.77,0.65,0.33,0.26,0.21,0.64,0.51,0.43,34.2,33.36,35.96,10.08,9.67,10.89,1.1,1.01,1.27,6.44,7.11,8.94,10.68,9.3,8.49,5.5,5.3,6.11,4.58,4.37,4.78,0.8,0.72,0.93,0.3,0.29,0.34,5.9,6.27,6.38,13.87,14.93,17.93,3.27,4.04,4.7,9.94,10.91,11.07,0.03,0.03,0.04,0.31,0.36,0.45,0.9,0.94,0.78,9.04,9.96,10.29
Metropolitan Police,105.44,106.48,107.56,87.34,87.11,87.7,12.25,13.26,13.82,0,0,0,16.49,17.83,18.31,8.03,8.7,9.24,8.47,9.13,9.07,1.33,1.28,1.2,0.44,0.41,0.34,0.88,0.87,0.86,60.05,57.5,56.59,12.45,11.74,12.3,5.1,4.53,4.23,13.47,13.51,13.42,23.95,22.28,21.23,8.24,7.6,8.03,4.21,4.14,4.27,4.73,4.12,3.8,0.36,0.41,0.43,5.08,5.44,5.41,9.47,10.51,11.6,3.83,4.33,4.44,7.95,8.42,8.85,0.01,0.01,0.01,0.46,0.5,0.52,0.56,0.59,0.6,7.39,7.82,8.25
Norfolk,50.17,50.36,54.34,44.44,44.49,48.39,4.58,4.48,4.41,0,0.96,0.97,9.67,9,8.96,5.01,4.45,5,4.66,4.56,3.96,1.05,0.88,0.71,0.32,0.23,0.2,0.72,0.65,0.51,22.8,23.51,25.66,5.24,5.74,5.78,0.26,0.3,0.37,3.75,4.29,5.06,9.31,8.77,9.84,1.85,2.1,1.98,3.39,3.63,3.8,0.24,0.28,0.34,0.02,0.03,0.03,4.24,4.4,4.61,10.93,11.1,13.06,1.77,1.71,1.83,2.43,2.41,2.16,0.16,0.11,0.14,0.22,0.25,0.27,0.35,0.39,0.36,2.09,2.02,1.81
Northamptonshire,71.91,73.84,82.68,62.85,64.37,73.91,4.97,5.07,4.76,0.01,0.77,0.64,13.67,13.16,12.98,7.01,6.81,7.33,6.66,6.35,5.65,1.1,1.14,0.9,0.39,0.36,0.24,0.71,0.77,0.66,34.97,35.26,41.75,8.61,9.37,12.02,1.01,0.99,1.22,7.18,7.85,10.49,12.79,11.31,12.03,3.61,4.22,5.43,5,5.14,6.59,0.88,0.87,1.05,0.13,0.12,0.17,5.38,5.75,5.99,13.11,14.81,18.28,1.76,1.77,1.83,2.8,2.81,2.37,0.07,0.07,0.06,0.33,0.42,0.49,0.48,0.46,0.49,2.32,2.34,1.88
Northumbria,54.7,58.51,65.97,45.94,49.76,56.42,6.45,6.31,6.71,0,0.47,0.29,7.24,8.59,9.5,4.8,5.72,6.57,2.44,2.87,2.93,0.77,0.75,0.78,0.25,0.24,0.22,0.52,0.51,0.56,26.76,27.18,29.11,6.26,6.37,6.95,0.4,0.36,0.44,4.73,5.4,6.47,8.94,8.66,8.67,2.6,2.55,2.87,3.67,3.82,4.08,0.32,0.3,0.36,0.08,0.06,0.08,6.42,6.39,6.59,11.17,13.24,17.03,2.3,2.53,2.81,3.78,3.38,3.45,0.01,0.01,0.01,0.37,0.39,0.44,0.48,0.45,0.46,3.3,2.92,2.99
North Wales,63.16,61.74,67.91,54.11,51.54,55.35,6.32,8.26,10.16,0,0,0,12.78,12.2,12.43,6.44,6.56,6.93,6.34,5.64,5.5,0.95,0.9,0.93,0.31,0.24,0.28,0.64,0.66,0.65,27.5,24.89,25.99,7.61,6.57,6.73,0.24,0.2,0.19,4.24,4.27,5.16,9.65,8.21,8.12,2.62,2.15,2.17,4.99,4.42,4.56,0.22,0.17,0.15,0.02,0.04,0.03,5.75,5.64,5.8,12.89,13.55,16,3.01,4.04,5.85,2.7,3.44,3.67,0.2,0.24,0.2,0.41,0.54,0.45,0.36,0.45,0.46,2.35,2.99,3.21
North Yorkshire,50.24,51.9,56.01,43.64,45.26,49.18,4.81,4.82,4.88,1.57,0.03,0.02,7.81,8.2,8.3,4.93,5.2,5.46,2.88,3,2.85,0.74,0.7,0.67,0.23,0.22,0.19,0.51,0.47,0.49,26.15,26.83,28.31,6.58,6.73,7.23,0.24,0.28,0.25,4.23,4.39,5.49,10.48,10.48,10.5,2.46,2.4,2.66,4.13,4.33,4.57,0.22,0.24,0.2,0.02,0.04,0.06,4.61,4.96,4.84,8.94,9.54,11.9,1.71,2.15,2.13,2.83,2.33,2.38,0.08,0.08,0.07,0.19,0.26,0.31,0.37,0.34,0.31,2.46,1.99,2.07
Nottinghamshire,74.24,79.78,95.76,64.66,69.19,84.35,6.78,7.59,7.85,0.25,0,0.01,11.93,12.18,14.54,6.59,8.21,11.28,5.34,3.97,3.27,0.87,0.97,1.11,0.29,0.27,0.32,0.58,0.7,0.78,38.68,41.17,48.85,9.48,11.67,14,1.17,1.45,1.9,7.49,8.49,12.29,14.35,13.78,14.38,4.31,6.1,7.65,5.16,5.56,6.35,1.07,1.31,1.67,0.09,0.14,0.22,6.2,5.79,6.28,13.18,14.87,19.85,2.58,2.92,3.57,3.72,4.13,3.68,0,0,0,0.48,0.54,0.6,0.78,1.08,0.98,2.94,3.05,2.7
South Wales,71.17,76.24,84.95,59.76,64.24,72.2,9.03,9.41,9.65,0.31,0,0,10.04,10.88,11.59,6.19,6.98,7.52,3.85,3.9,4.07,0.75,0.66,0.69,0.2,0.19,0.19,0.55,0.47,0.5,35.84,37.14,40.81,8.12,8.32,9.64,0.38,0.43,0.54,8.02,9.35,12.14,13.26,12.81,12.07,3.44,3.69,4.11,4.68,4.64,5.52,0.35,0.38,0.48,0.03,0.06,0.06,6.06,6.22,6.44,13.13,15.57,19.1,3.82,4.14,4.39,4.85,4.86,4.77,0.01,0.02,0.01,0.35,0.39,0.48,0.83,0.87,0.71,4.02,3.99,4.06
South Yorkshire,77.54,78.89,89.19,69.29,70.06,78.2,5.92,6.29,7.53,0,0.01,0.01,8.68,9.78,11,6.28,7.13,8.39,2.4,2.64,2.62,0.64,0.68,0.68,0.24,0.24,0.17,0.4,0.45,0.5,45.07,43.61,46.18,12.8,12.2,13.05,0.65,0.71,0.76,9.51,10.64,12.96,15.56,13.92,12.76,5.65,5.61,5.8,7.15,6.59,7.25,0.57,0.62,0.69,0.08,0.08,0.07,6.55,6.14,6.64,14.9,15.99,20.34,1.79,2.23,3.01,3.83,3.67,4.12,0,0,0,0.3,0.38,0.39,1.06,0.86,0.84,2.76,2.81,3.28
Staffordshire,62.16,66.57,73.84,53.06,57.72,64.72,6.16,6,5.89,0.01,0,0,12.33,15.46,15.92,6.63,8.21,9.31,5.7,7.24,6.6,0.78,0.93,0.96,0.19,0.24,0.25,0.59,0.69,0.71,27.91,28.06,31.31,7.27,7.26,8.2,0.44,0.52,0.75,4.97,5.56,7.23,10.49,9.95,9.99,3.17,3.04,3.67,4.1,4.22,4.54,0.37,0.45,0.67,0.06,0.07,0.08,4.75,4.76,5.14,12.04,13.27,16.54,2.47,2.57,2.98,3.22,2.92,2.34,0.01,0.01,0.01,0.46,0.5,0.56,0.39,0.5,0.39,2.83,2.43,1.94
Suffolk,64.39,64.83,65.31,55.81,55.98,55.58,6.14,6.49,7.33,0,0,0,11.28,11.13,10.22,5.9,6.06,6,5.38,5.06,4.22,1.05,1.01,0.96,0.31,0.32,0.32,0.74,0.69,0.64,30.54,30.27,29.09,7.11,7.76,7.25,0.47,0.39,0.32,5.67,5.93,5.86,11.35,10.82,10.71,2.69,2.93,2.52,4.42,4.82,4.73,0.43,0.33,0.3,0.03,0.06,0.02,5.95,5.37,4.95,12.94,13.56,15.31,3.33,3.91,4.02,2.32,2.04,2.73,0.06,0.07,0.07,0.43,0.46,0.51,0.47,0.42,0.63,1.85,1.62,2.1
Surrey,56.99,57.77,58.99,47.35,48.12,49.7,6.63,6.54,6.48,0.01,0,0,9.06,9.6,9.22,3.47,4.39,4.43,5.6,5.21,4.79,0.6,0.68,0.72,0.14,0.19,0.18,0.46,0.49,0.54,27.61,26.91,27.55,7.52,7.33,7.7,0.35,0.38,0.38,5.97,6.09,6.82,9.86,9.15,8.59,3.23,3.19,3.12,4.29,4.14,4.58,0.31,0.32,0.31,0.04,0.06,0.07,3.91,3.97,4.07,10.08,10.93,12.21,2.89,3.55,3.58,3.21,2.48,2.27,0.13,0.13,0.19,0.4,0.39,0.44,0.57,0.39,0.43,2.64,2.09,1.84
