Senior official (SCS2 and above),Start date of trip,Duration of Visit,Destination,Purpose of trip,Mode of transport - air,Accommodation/Meals,Mode of transport - rail,Mode of transport - Eurostar,Mode of Transport - taxi,"PURPOSE - DETAIL - Include information on reason for type of ticket bought - eg economy, no further information required,  club class - reason it was required. (Delete from version for publishing)",Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc (£)",Total Cost of Use of Official Secure Car
Martin Reynolds - Principal Private Secretary,23 June 2015,4 days,Germany,Accompany Foreign Secretary on HMTQ State Visit,Economy,Meal,Economy,na,£10,FS travelled on HMTQ flight so MR flew separately to Germany in economy class. Breakdown (rounded): Economy airfare = £192.00; Heathrow Express Train = £35.00; Meals = £3.00; Taxi = £10.00. NOTE: Taxi was taken as MR had a Red Box containing classified papers to take back to the office.,na,£240,
Martin Reynolds - Principal Private Secretary,15 July 2015,3 days,Israel & Cyprus,Accompanying FS on official visit,Business,na,Economy,N/A,N/A,Business class flight as accompanying FS. Travelled separately to LHR and back so economy class on Heathrow Express. Breakdown = £2895 flight; £35 rail,N/A,"£2,930",
Martin Reynolds - Principal Private Secretary,2 September 2015,1 day,UK - GCHQ,Travel for various meetings,,,Economy,,,To attend first meeting at 10.00.,na,£160,
Martin Reynolds - Principal Private Secretary,27 September 2015,3 days,New York,Accompanying the FS to UN General Assembly,Business,,Economy,,,Business class flight as accompanying FS. Travelled separately back from LHR so economy class on Heathrow Express. Breakdown = £3068 flight; £1226 hotel; £21.50 rail,na,"£4,316",
Vacant - Chief Economist,,,,,,,,,,,,,
Richard Burge - Director Wilton Park,1 July 2015,,,Various taxi journeys,N/A,,N/A,N/A,Yes,,N/A,£522,
Richard Burge - Director Wilton Park,2 July 2015,3 days,"Skopje, Macedonia",Refreshments at airport on return from Skopje,N/A,,N/A,N/A,N/A,,N/A,£8,
Richard Burge - Director Wilton Park,2 July 2015,3 days,"Skopje, Macedonia",Train returning from Luton airport,N/A,,Yes,N/A,N/A,,N/A,£60,
Richard Burge - Director Wilton Park,2 July 2015,3 days,"Skopje, Macedonia",Accommodation in Skopje,N/A,,N/A,N/A,N/A,,N/A,£109,
Richard Burge - Director Wilton Park,6 July 2015,,London,Subsistence during stay in London for meetings,N/A,,N/A,N/A,N/A,,N/A,£50,
Richard Burge - Director Wilton Park,6 July 2015,,London,Travel for various meetings,N/A,,Yes,N/A,N/A,,N/A,£28,
Richard Burge - Director Wilton Park,9 July 2015,,London,Accommodation during FCO Leadership event,N/A,,N/A,N/A,N/A,,N/A,£432,
Richard Burge - Director Wilton Park,11 July 2015,,Chipping Norton,Mileage to Chipping Norton for 51st annual Ditchely Foundation Lecture,N/A,,N/A,N/A,N/A,,N/A,£103,
Richard Burge - Director Wilton Park,23 July 2015,,London,Travel for various meetings,N/A,,N/A,N/A,Yes,,N/A,£70,
Richard Burge - Director Wilton Park,31 July 2015,,London,Travel for various meetings,N/A,,Yes,N/A,N/A,,N/A,£140,
Richard Burge - Director Wilton Park,31 July 2015,,,Various taxi journeys,N/A,,N/A,N/A,Yes,,N/A,£106,
Richard Burge - Director Wilton Park,4 August 2015,,London,Lunch with Jimmy Leach,N/A,,N/A,N/A,N/A,,N/A,£62,
Richard Burge - Director Wilton Park,4 August 2015,,London,Travel for various meetings,N/A,,Yes,N/A,N/A,,N/A,£53,
Richard Burge - Director Wilton Park,11 August 2015,,London,Travel for various meetings,N/A,,Yes,N/A,N/A,,N/A,£58,
Richard Burge - Director Wilton Park,13 August 2015,,"Vientiane, Laos",Vaccines for Laos trip,N/A,,N/A,N/A,N/A,,N/A,£102,
Richard Burge - Director Wilton Park,18 August 2015,,London,Travel for various meetings,N/A,,Yes,N/A,N/A,,N/A,£58,
Richard Burge - Director Wilton Park,20 August 2015,9 days,"Vientiane, Laos",Flight re event WP1422,Business,,N/A,N/A,N/A,Business class due to times of travel,N/A,"£2,955",
Richard Burge - Director Wilton Park,23 August 2015,,"Vientiane, Laos",Accommodation for Laos trip,N/A,,N/A,N/A,N/A,,N/A,£238,
Richard Burge - Director Wilton Park,31 August 2015,,,Various taxi journeys,N/A,,N/A,N/A,Yes,,N/A,£207,
Richard Burge - Director Wilton Park,1 September 2015,,London,Travel for various meetings,N/A,,Yes,N/A,N/A,,N/A,£18,
Richard Burge - Director Wilton Park,3 September 2015,,London,Travel for various meetings,N/A,,Yes,N/A,N/A,,N/A,£40,
Richard Burge - Director Wilton Park,8 September 2015,,London,Travel for various meetings,N/A,,Yes,N/A,N/A,,N/A,£53,
Richard Burge - Director Wilton Park,9 September 2015,,London,Travel for various meetings,N/A,,Yes,N/A,N/A,,N/A,£28,
Richard Burge - Director Wilton Park,17 September 2015,,London,Travel for various meetings,N/A,,Yes,N/A,N/A,,N/A,£49,
Richard Burge - Director Wilton Park,18 September 2015,,London,Travel for various meetings,N/A,,Yes,N/A,N/A,,N/A,£61,
Richard Burge - Director Wilton Park,22 September 2015,,London,Travel for various meetings,N/A,,Yes,N/A,N/A,,N/A,£63,
Richard Burge - Director Wilton Park,29 September 2015,,Durham,Dinner with Tom McLeish (CERN),N/A,,N/A,N/A,N/A,,N/A,£75,
Richard Burge - Director Wilton Park,30 September 2015,,London,Various travel for meetings in London,N/A,,N/A,N/A,Yes,,N/A,£124,
Richard Burge - Director Wilton Park,30 September 2015,,,Various taxi journeys,N/A,,N/A,N/A,Yes,,N/A,£60,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
