Rent A Home Ltd,"1d,, Egerton Court, Barrow In Furness, Cumbria, LA14 2TT",1225
Loos Eason Podiatry Ltd,"1, Hartington Street, Barrow In Furness, Cumbria, LA14 5SL",3250
Lakes Parade Stores Ltd,"1 Lakes Parade, Ennerdale Drive, Barrow In Furness, Cumbria, LA14 4PR",7500
Simmonds Ltd,"1st & 2nd Flrs 112, Duke Street, Barrow In Furness, Cumbria, LA14 1LW",4150
Cumberland Building Soc.,"1st & 2nd Fs, 186-188, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",1375
Ladbrookes Betting & Gaming Ltd,"1st & 2nd Fs, 35, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",8200
"Brown & Murray Solicitors,","1st Floor 127-131, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",8400
Cumbria Care,"1st Floor Offices Jubilee House, Abbey Road, Barrow In Furness, Cumbria, LA14 4QZ",5100
Hsbc Bank Plc,"1st Flr, 104, Duke Street, Barrow In Furness, Cumbria, LA14 1LP",3750
Cumbria Partnership Nhs Foundation Trust,"1st Flr Abbotsvale Community Centre, Abbots Vale, Barrow In Furness, Cumbria, LA13 9PA",3100
Sec. Of State For Comm & Loc Gov.,"1st Flr Emlyn Hughes House, Abbey Road, Barrow In Furness, Cumbria, LA14 5QY",26000
Cumbria Part. Nhs Trust,"1st Flr Offices Rear College House, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",12500
Provincial Properties Limited,"1,, St Vincent Street, Barrow In Furness, Cumbria, LA14 2NT",5900
"Stokers Ltd,","20-24, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SE",15000
Coco Cheveux Ltd,"202, Dalton Road, Barrow In Furness, Cumbria, LA14 1PS",13000
Greenwoods Menswear Ltd,"203-205, Dalton Road, Barrow In Furness, Cumbria, LA14 1PP",31250
Coral Racing Ltd,"203, Ainslie Street, Barrow In Furness, Cumbria, LA14 5BE",8900
Holland & Barratt Retail Ltd,"206-208, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",34750
Maiquez Ltd,"207, Dalton Road, Barrow In Furness, Cumbria, LA14 1PH",13250
Coral Racing Ltd,"209, Dalton Road, Barrow In Furness, Cumbria, LA14 1PH",13500
A & T Mcgerty Carpets Limited,"20,, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",5400
Mullberry Homes Ltd,"20, Tamworth Drive, Barrow-In-Furness, Cumbria, LA13 0GQ",6000
