Birthday Honours List 2016,,,,,,,
Order,Level,Award,Name,Citation,County,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Bryan MORTON ,"Executive Chairman, EUSA Pharma and Board Member, Syncona. For services to the Healthcare Industry.",Oxfordshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Timothy MOSS ,"Chief Executive Officer and Registrar of Companies for England and Wales, Companies House.  For services to the Economy and to the community in Swansea.",South Glamorgan,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Paul Gerard O'PREY ,"Vice-Chancellor, University of Roehampton.  For services to Higher Education and the Literary History of the First World War.",London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Jeffrey PARKINSON ,"Director - Motoring, Freight and London and Chair, The Ability Network, Department for Transport. For services to Transport and to Diversity in the Workplace.",Berkshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David Charles PEARSON ,"Corporate Director, Adult Social Care, Health and Public Protection, Nottinghamshire County Council. For services to Adult Social Care.",Nottinghamshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Lisa Kathleen PHILLIPS ,"Lately Deputy Director, DFID Kenya, Department for International Development. For services to International Aid.",Kent,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Sabera Nazneen RAHMAN ,"Head of Genetics and Epidemiology, Institute of Cancer Research and Head of Cancer Genetics, The Royal Marsden.  For services to Medical Science.",London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Trevor REANEY ,"Clerk and Chief Executive, Northern Ireland Assembly. For services to Democracy and the community in Northern Ireland.",Down,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Richard John REED ,"Co-founder, Innocent Drinks.  For services to the Food Industry and to charity.",London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Jane RINTOUL ,"Deputy Director, Department of Health. For services to Health and Care.",Berkshire,,
