Birthday Honours List 2016,,,,,,,
Order,Level,Award,Name,Citation,County,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr David Stuart HODGSON ,"Mayor, Bedford Borough Council.  For services to Local Government.",Bedfordshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Councillor Peter Charles Max HOGARTH ,"Councillor, Solihull Metropolitan Borough Council. For services to the community in Solihull and Birmingham.",West Midlands,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Thomas William HOGG ,"Mayor, Antrim and Newtownabbey Borough Council. For services to Local Government in Antrim.",Belfast,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Richard Paul HOLLAND ,"Leader, Barbara Bus Fund.  For voluntary service to Transport Accessibility for People with Disabilities.",Middlesex,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Eur Ing Roger HOPKINSON ,For services to the UK's General Aviation Community.,Berkshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Issam Abbas HORSHI ,"Managing Director, The White Horse Hotel. For services to the Tourism Industry in Northern Ireland.",Londonderry,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Sydney George HOUSE ,"Lately Conservator of Forests, Perth and Argyll Conservancy, Forestry Commission.  For services to Forestry, the Economy and Tourism in Perthshire.",Perth and Kinross,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Professor Helen Louise Ann HOUSTON ,"Professor of General Practice, School of Medicine, Cardiff University. For services to Medical Education and Health Services in South Wales.",Torfaen,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr John Robert HOWARTH ,For services to Scouting and Derby Cathedral.,Derbyshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Paul Frederick HUDSON ,For services to Search and Rescue on Dartmoor.,Devon,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr William Philip HUGHES ,"Director, Ruthin Craft Centre. For services to Craft and Applied Art.",Denbighshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Felicity Margaret Florence HUMPHREYS ,"Principal, Moat Primary School, Lisnaskea. For services to Education.",Fermanagh,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Herbert Brian HUNTER ,For services to Music in Northern Ireland.,Belfast,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr John Joseph IRVINE ,For voluntary service to Cancer Charities and the community in Northern Ireland.,Fermanagh,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Martin JAGGS ,"Lifeboat Coxswain and Mechanic, Lytham St Anne's Lifeboat Station. For services to Maritime Safety.",Lancashire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr John George JAMESON ,"Lately, Police Staff, Derbyshire Constabulary. For Services to Policing and communities in Derbyshire and East Midlands.",Derbyshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Jasprit (Jess) JEETLY ,"Founder and Managing Director, Jeetly. For services to Entrepreneurship.",West Midlands,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Jennifer JENKINS ,"Senior Executive Officer, Ballyclare High School, Co. Antrim. For services to Education.",Antrim,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Alan Howard JEROME ,"Life President, Bradford Grammar School and lately Vice Chair of Corporation, Bradford College.  For services to Education and the community in Bradford.",West Yorkshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Santosh Kaur JHANGIANI ,"Executive Officer, Home Office.  For services to Staff Welfare in the Home Office.",Surrey,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Jennifer JOHNSON ,"Chief Executive Officer, Kids Allowed.  For services to Apprenticeships.",Greater Manchester,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Stephen JOHNSON ,"Chief Executive Officer, Electricity North West. For services to the Energy Networks Industry.",Greater Manchester,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Aileen Christine JONES ,"Volunteer, Porthcawl Lifeboat Station.  For services to the RNLI.",Mid Glamorgan,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Kenneth Alan JONES ,For services to Wrestling.,Powys,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Mark Peter JONES ,"City and Regeneration Policy Manager, Hull City Council.  For services to Investment and Regeneration in Hull.",East Riding of Yorkshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Phillip Stuart JONES ,For services to the Business Community.,Greater Manchester,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Miss Angela Leonora JOSEPH ,"Community Fire Volunteer, Hertfordshire Fire and Rescue Service.  For service to Fire Safety.",Hertfordshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr William James (Liam) KANE ,For services to Regeneration and the community in East London.,London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Ren KAPUR ,"Founder and Chief Executive Officer, X-Forces Ltd.  For services to Entrepreneurship.",Berkshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Thomas Walter KARAS ,"Lecturer, Forestry and Senior Warden, Scotland’s Rural College (Barony Campus).  For services to Rural Education in Scotland.",Dumfries,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Anwar KASSIM ,"Director, Milton Keynes Islamic Arts and Culture.  For services to Inter-faith Relations and the community in Milton Keynes.",Buckinghamshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Gurmit KAUR ,"Community Cohesion Inspector, Nottinghamshire Police. For services to Policing.",Derbyshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Stephen Miles KEESING ,"Local Assistant, National Crime Agency.  For services to Law Enforcement.",Colombia,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Patricia KELLY ,"Higher Executive Officer, Ministry of Defence.  For services to Army Personnel.",Glasgow,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Sarah Alexandra KELSO-ROBB ,"Executive Director, Halifax Foundation for Northern Ireland. For services to volunteering and charitable organisations in Northern Ireland.",Antrim,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr John Christopher Julian KEMPTON ,"For services to the community in Oxted, Surrey.",Surrey,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,The Reverend Cindy KENT-WINSLEY (CINDY KENT) ,For services to Religious Broadcasting.,Kent,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Anna Sofia KESSEL ,"Sports Journalist and co-Founder, Women in Football. For services to Journalism and Women's Sport.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Sidney Frederick Hugh KIDWELL ,Champion for Older People in Swansea. For services to the community in Swansea.,Swansea,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Ellen Gertrude (Trudy) KILCULLEN ,For services to Young People in London and Essex through Children's Organisations and voluntary service.,Kent,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Vanessa KINGORI ,"Publisher, GQ Magazine and Brand Portfolio. For services to the Media Industry.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Marion KIRKHAM ,For voluntary services to Children and Young People in the North West of England.,Cheshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr John Philip KITCHEN ,For services to Music.,Edinburgh,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr David John KNIGHT ,For services to Sport particularly in the South East.,Hampshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Henry William Robert KOHNER ,For services to People with Mental Health Issues in Northern Ireland.,Down,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Folashade Oluyemisi KOMOLAFE DL,"Managing Director, Indisys Business Solutions.  For services to Business and the community in Milton Keynes.",Buckinghamshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Tracey KYFFIN ,"Higher Executive Officer, Ministry of Defence.  For services in Support of Military Operations.",,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Brian David LAMBOURN ,"Hydronamic Consultant, AWE plc. For services to Defence.",Hampshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Rachel Judith LAMPARD ,"Lately Board Member, Gambling Commission. For services to Gambling Regulation.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Professor Jennifer LATTO ,For services to Culture in the North West.,Merseyside,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Paul LE PINNET ,"Chief Scientific Glassblower, SOG Ltd.  For services to British Scientific Glassblowing.",Cheshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Marian LEE ,"Teacher, Gordon Primary School, Greenwich.  For services to Education.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Professor Christine LIDDELL ,"Professor of Psychology, Ulster University. For services to Tackling Fuel Poverty in Northern Ireland.",Antrim,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Malcolm Joseph LIVINGSTONE ,For services to the Jewish community in Glasgow.,Glasgow,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Paul LOFTUS ,"For services to charitable fundraising through the Saddleback Fred Whitton Cycle Challenge, Cumbria.",Cumbria,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Charlotte Pamela LOGUE ,"Lately General Practitioner and Specialist in Genito-uninary Medicine, Causeway Coast. For services to Medicine.",Londonderry,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Miranda Clare Elizabeth LOMER ,"Consultant Gastroenterology Dietitian, Guy's and St Thomas' NHS Foundation Trust. For services to Dietetics and Gastroenterology.",Surrey,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Leonie LONTON ,"Director of People and Organisational Development, Save the Children UK. For Humanitarian Services.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Peter John LUNN ,"For services to Commerce, Charity and Sport in Northern Ireland.",Belfast,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Frances Marion LYNCH-LLEWELLYN ,For services to Archaeology and Heritage in Wales.,Gwynedd,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Mairtin Damien MAC GIOLLA CHOMGHAILL ,For services to the Arts in Northern Ireland.,Down,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Denise Carol MACE ,"Human Resources Manager, University of Cumbria.  For services to Higher Education and the community in North Lancashire.",Lancashire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Mairi MACKENZIE ,"For voluntary service in Poolewe, Ross-shire.",Ross and Cromarty,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Patrick MACKEY ,"Senior Education Officer, Education Authority.  For services to Education.",Londonderry,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Charles MACLEOD ,"Senior Executive Officer, Ministry of Defence. For services to Defence.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Maria MACNAMARA ,"Founder, Smalls for All.  For services to charity and Women's Health in Africa.",West Lothian,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Robert Ian MACPHERSON ,"Children in Care Division, Children's Services and Departmental Strategy Directorate, Department for Education.  For services to Education.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Bhupendra Harji MAGUDIA ,"Senior Executive Officer, Ministry of Defence.  For services in Support of Military Training.",Somerset,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Owen Ignatius MAGUIRE ,"For voluntary service to Young People and the community in Ardoyne, North Belfast.",Belfast,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Rachel Elizabeth MALLOWS ,"Director, The Mallows Company Ltd and Made In Northamptonshire.  For services to Business and Entrepreneurship.",Northamptonshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Margaret Delwyn MALPAS ,"Joint Chair, The British Dyslexia Association.  For services to Education.",Kent,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Canon Yaqub MASIH ,For services to Community Cohesion and Inter-faith Relations in West Yorkshire.,West Yorkshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Ann Georgina MATTHEWS ,"For services to Young People through GirlGuiding, the Scout Association and the British Youth Band Association.",Essex,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Miss Kerrie Jessica MCALLISTER ,"Policy Officer, Northern Ireland Office. For services to the Northern Ireland Political Process.",Down,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Malcolm Arthur MCCARTHY ,"EU Payments Expert, HM Treasury. For services to Public Finances.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Linda Susan MCCLELLAND ,"Playfair Education Co-ordinator, National Galleries of Scotland.  For services to Art Education in Scotland.",Edinburgh,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Thomas David Stephen MCCLELLAND ,"Managing Director, Schrader Electronics Ltd. For services to Economic Development in Northern Ireland.",Armagh,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Tribunal Judge Jane MCCONNELL ,"Lately Chief Executive, Independent Parental Special Education Advice. For services to Education.",Essex,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs (Anne) Majella MCDOWELL ,"Principal, Galliagh Nursery School, Londonderry.  For services to Education.",Londonderry,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Charles MCGILL ,"Retained Watch Manager, Hardley Fire Station, Hampshire Fire and Rescue Service. For services to Fire Operational Duties.",Hampshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Valerie MCGREGOR ,"Education Adviser for Academies and Free Schools, Department for Education.  For services to Education.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Stanley Terence MCILROY ,"Fundraiser and Volunteer, Cancer Research UK.  For charitable services.",Belfast,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Helen Margaret MCKENDRICK ,"General Practitioner and Founding Partner, Vauxhall Primary Health Care Practice, Liverpool. For services to General Practice.",Merseyside,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Lorraine MCKENZIE ,"Administrator, East Dunbartonshire Women’s Aid.  For services to Vulnerable Women and Children.",Dunbartonshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Richard Norman MCKENZIE ,"Treasurer, Argyll and Bute Branch, SSAFA.  For voluntary service to Ex-Service Personnel.",Argyll and Bute,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Terence Rea MCMASTER ,"Principal, Drumahoe Primary School, Londonderry.  For services to Education.",Londonderry,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Colin Donald MCMURTRIE ,"Higher Officer, HM Revenue and Customs. For services to the Development of Digital Services.",Glasgow,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Alexander James MCWHIRTER ,"Chief Executive, Finance Yorkshire.  For services to Business and the Economy in Yorkshire.",West Yorkshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Rachel Mary MEDILL ,"Founder and Chief Executive Officer, Ride High Charity.  For services to Young People.",Bedfordshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Ben MEDLOCK ,"Co-founder and Chief Technology Officer, SwiftKey. For services to Technology.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Miss Joan Elizabeth MELVILLE ,"Personal Secretary to the Chairman, Chief Executive and Commissioners, Scottish Law Commission.  For services to Law and Order.",Edinburgh,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Moira Mitchell METHVEN ,For services to Libraries in Dundee.,Dundee,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Jewel MIAH ,For voluntary services to British-Bengali Football.,Lancashire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Grant Munro MILLER ,"Senior Officer, CITES Team, UK Border Force.  For services to International Wildlife Protection and Border Security.",Surrey,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Matthew John MILLER ,"National Leader of Governance and Chair of Governors, Highlands School, Enfield. For services to Education.",Middlesex,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Jonathan Varley MILLIDGE ,"Human Resources Director, Royal Mail. For services to Business and Public Service.",Northamptonshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr David Francis MILLS ,"Founder, British Wildlife Centre.  For services to Wildlife Conservation.",Surrey,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Joan Christine MILLS ,For services to Netball.,Kent,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Catrin MINSHULL ,For political service in Wales.,Powys,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Susan Mary MITCHELL ,"Headteacher, St John Baptist Church in Wales High Scool, Aberdare. For services to Education in Wales.",Swansea,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Elizabeth MOORE ,"Higher Executive Officer, Ministry of Defence.  For services to Veterans' Welfare Policy.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Margaret Irene MOOREHEAD ,"Assistant Director for Allied Health Professions, South Eastern Health and Social Care Trust. For services to Healthcare.",Down,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Mark MORAN ,"Inventor, The Hydrant Drinking System. For services to Innovation and Entrepreneurship.",Bristol,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Margaret Jean MORGAN ,For services to the Riding for the Disabled Association.,Berwickshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Andrew Paul MORRIS ,"Teacher, Westcroft Sports and Applied Learning College and Founder, Timken Vocational Training Centre and Sunbeam Enterprises. For services to Special Education.",West Midlands,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr William George MORRISON ,"Consultant in Emergency Medicine, Ninewells Hospital.  For services to Emergency Medicine particularly in Tayside.",Dundee,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Calum MacKintosh MUNRO ,"Co-Founder, The Highland Cross.  For services to charity in the Highlands.",Inverness,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Sarah (Alpha) Margaret Katharine MUNRO ,For services to the Arts and to People with Additional Support Needs in Ross-shire.,Ross and Cromarty,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Usman MUNSHI JP,For services to Community Cohesion and Engagement in Lancashire.,Lancashire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Fiona Doune MURPHY ,"Assistant Director of Bereavement and Organ Donation, Salford Royal NHS Foundation Trust.  For services to Nursing, Bereavement Services and Organ Donation.",Lancashire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Diane Mary MURRAY ,"Lately Senior Officer, National Crime Agency.  For services to Law Enforcement and Sport Coaching.",Hampshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Helen MURRAY ,"Chair, Ty Olwen Trust, Morriston Hospital, Swansea. For voluntary services to Palliative Care in Swansea and Neath Port Talbot.",Swansea,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Nigel Clive NASH ,"Service Manager, Children and Family Court Advisory and Support Service.  For services to Children and voluntary service to the LGBT community.",East Sussex,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Andrew Ian NAYLOR ,"General Practitioner, Leverburgh Surgery.  For services to Healthcare on the Isle of Harris, Western Isles.",Western Isles,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr John Frederick NEWMAN ,"London Coordinator, Community First Responders. For voluntary service to St John Ambulance.",Essex,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Lara NEWMAN ,"Property Adviser on Free Schools, Education Funding Agency. For services to Education.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,The Reverend Monica Jane NEWSOME ,"Lately Chaplain, HMP Swinfen Hall.  For services to HM Prison Service and voluntary services to the community in Lichfield, Staffordshire.",Shropshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Elaine Jane NICHOLSON ,"Founder and Chief Executive Officer, Action for Asperger's, Northamptonshire.  For services to Education and Asperger's Awareness.",Northamptonshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Thomas NIMMO ,"Co-founder, Hassle.com. For services to the Sharing Economy.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Ann Susan NOBLE ,"Lately Head, Tydeman Centre, The Malling School, Kent. For services to Education.",Kent,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Bruce Alexander NOBLE ,"For services to Young, Vulnerable and Disadvantaged People in England and Wales.",Surrey,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Miss Susan Lesley NORTH ,"Lately, Director of Operations, The National Parent Carer Participation Programme, Contact a Family, West Midlands. For services to Children and Families.",Shropshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Christian James NOTLEY ,"UK Training Manager, Worldskills. For services to the World Skills Competitions in Leipzig 2013 and Sao Paulo 2015.",West Sussex,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Miss Sally Ann OBERTELL ,"Director of Marketing, Relationships and Communications, John Ruskin College, South Croydon.  For services to Education.",Surrey,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Linda O'BRIEN ,"Chief Executive Officer, Hertfordshire Catering Limited, Hertfordshire County Council. For services to Education.",Hertfordshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Emma O'CONNOR ,"Foster Carer, Sunderland City Council. For services to Children and Families.",Tyne and Wear,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Thomas Alfred O'CONNOR ,"Foster Carer, Sunderland City Council. For services to Children and Families.",Tyne and Wear,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Oladapo Adetokunbo ODUMERU ,"Regional Quality Assurance Manager, NHS Blood and Transplant. For services to Black and Minority Ethnic Blood Donation Communities.",Surrey,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Omobola ODUTAYO ,"Executive Officer, Department for Work and Pensions.  For services to Youth Employment in Haringey.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Marcia ODY ,"Teaching and Learning Manager, University of Manchester.  For services to Higher Education.",Gwynedd,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Tunde OKEWALE ,"Barrister and Founder, Urban Lawyers.  For services to the community and Disadvantaged Young People.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Margaret Ann OLDERSHAW ,"Secretary, Nottingham Symphonic Winds.  For services to Community Music in East Midlands.",Nottinghamshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Simon OPHER ,"General Practitioner and Founder, Art-Lift. For services to Healthcare and Patients' Wellbeing in Gloucestershire.",Gloucestershire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Miss Cecilia Lyle ORR ,For services to Highland Dancing and charity.,Lanarkshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Jane Helen OWENS ,"Chair of Governors, Weatherhead High School, Wirral.  For services to Education in Wirral.",Merseyside,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Nigel OWENS ,Rugby Referee. For services to Sport.,Carmarthenshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr John PALCZYNSKI ,"Foster Carer, Guildford City Council. For services to Children and Families.",Surrey,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Wendy PALCZYNSKI ,"Foster Carer, Guildford City Council. For services to Children and Families.",Surrey,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Elroy Everton PALMER ,"Team Leader, St Giles Trust.  For services to the Rehabilitation of Offenders.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Robert David PALMER ,"Chair of Governors, St Mary's CE Primary School, Moss Side, Manchester.  For services to Education.",Greater Manchester,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Rashiklal PARMAR ,"Lead Cloud Adviser - Europe and Distinguished Engineer, IBM and Board Member, Leeds City Region LEP. For services to Innovation and Business.",West Yorkshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Geraldine Ann PARRIS ,"Founder and Trustee, The Children with Special Educational Needs Foundation Charity.  For voluntary services to Children.",Surrey,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Susan PARSONS JP,"For services to the community in Little Wenlock, Shropshire.",Shropshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Sylvia Irene PATON ,"Lately PA to Deputy Director, Child and Maternal Health, Scottish Government.  For services to Healthcare and charitable services.",Edinburgh,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Robert PEDLEY ,"Operations Lead for Equality, Diversity and Human Rights, West Midlands Police. For services to the community in the West Midlands.",West Midlands,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Nigel John PERRY FRENG,"Chief Executive, Centre for Process Innovation.  For services to Engineering.",North Yorkshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Angela Dorothy Margaret PETERS ,"Chair, Kingswood NSPCC Voluntary Committee and Chair, South East Surrey NSPCC Voluntary Committee. For services to Children.",Surrey,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Jennifer Caroline PHELPS ,"Adviser, Gloucestershire Farming and Wildlife Advisory Group.  For services to Community Engagement in Environmental Protection.",Gloucestershire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Francis Patrick Strain PHILLIPS ,For services to the UK Government Bond Market and to charity.,Buckinghamshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr John Dixon PHILLIPS ,"For services to Business, Education and Young People in the West Midlands.",West Midlands,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Anthony John Devereux PILE ,Entrepreneur. For services to International  Business.,Northamptonshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr John Alexander PLATT ,"Headteacher, Millburn Primary School, Coleraine. For services to Education in Northern Ireland.",Londonderry,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Sharon POLSON ,For services to Enterprise in Northern Ireland.,Down,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Daniel Jon PORTER ,"Head of Sports Services, Sheffield Hallam University.  For services to Higher Education and to Charity.",South Yorkshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Graham Eric POSTLES ,For political service.,London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Simon Charles POTTER ,For services to Education in Wimbledon.,Surrey,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Terence John PRATER ,For services to Visually Impaired People in Derbyshire.,Derbyshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Jonathan Alfred PRINCE ,For services to Charitable Organisations particularly the Pink Ribbon Foundation.,Kent,,
