Number of applications in England and Wales divided by local authority,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Nov-17,,,,,,,,,,,
Local Authority,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
HAVANT,27,34,34,837,404,1,33,1,28,1419,286,3104
HAVERING,33,67,25,1895,876,1,70,0,63,3798,776,7604
HEREFORDSHIRE,80,31,105,1337,628,3,158,0,122,2185,472,5121
HERTSMERE,5,83,7,738,314,3,53,0,44,2054,385,3686
HIGH PEAK,48,50,43,685,321,0,63,0,55,1220,270,2755
HILLINGDON,5,177,19,2109,895,15,145,0,122,4288,994,8769
HINCKLEY AND BOSWORTH,26,23,37,883,428,4,58,0,50,1440,360,3309
HORSHAM,28,47,91,1150,532,3,104,0,69,2239,561,4824
HOUNSLOW,5,191,23,1861,820,5,187,0,105,4440,994,8631
HUNTINGDONSHIRE,60,35,77,1445,637,5,124,0,100,2363,676,5522
HYNDBURN,36,9,7,582,309,4,21,0,98,1163,213,2442
IPSWICH,25,30,14,1053,463,3,28,0,50,1720,319,3705
ISLE OF ANGLESEY,54,16,24,544,224,3,27,0,53,984,224,2153
ISLE OF WIGHT,73,49,46,1200,561,4,140,0,75,2174,503,4825
ISLES OF SCILLY,1,0,0,18,2,0,4,0,1,48,18,92
ISLINGTON,5,137,11,1630,662,24,82,0,132,5684,1535,9902
KENSINGTON AND CHELSEA,2,197,5,1539,646,20,192,0,234,7838,1805,12478
KERRIER,0,0,0,0,1,0,0,0,0,3,0,4
KETTERING,16,18,80,906,396,2,91,0,32,1324,253,3118
KING'S LYNN AND WEST NORFOLK,97,27,67,1220,633,4,85,0,89,2208,438,4868
KINGSTON UPON THAMES,5,57,4,1240,623,4,52,0,40,2903,658,5586
KIRKLEES,76,57,121,2862,1277,9,182,0,119,5088,1029,10820
KNOWSLEY,21,45,41,863,389,9,75,0,69,1646,348,3506
LAMBETH,4,235,12,2702,1167,10,233,1,101,7368,1926,13759
LANCASTER,85,33,25,924,470,2,78,0,82,1686,310,3695
LEEDS,110,266,205,5554,2566,23,380,0,200,8918,1915,20137
LEICESTER,21,154,52,1716,846,14,111,0,183,3500,718,7315
LEWES,19,37,66,842,339,0,42,0,39,1357,273,3014
LEWISHAM,4,201,21,2253,989,14,125,0,58,5837,1359,10861
LICHFIELD,25,20,74,938,419,1,92,0,28,2741,368,4706
LINCOLN,12,8,8,748,350,4,40,0,41,1000,248,2459
LIVERPOOL,75,344,143,3934,1763,21,472,0,172,6924,1520,15368
LUTON,22,63,9,1394,593,6,85,0,43,2352,500,5067
MAIDSTONE,8,44,104,1386,620,6,180,0,65,2727,620,5760
MALDON,24,7,33,535,393,1,29,0,42,1077,183,2324
MALVERN HILLS,42,14,49,530,231,0,73,0,61,1013,250,2263
MANCHESTER,35,254,88,3523,1726,122,253,0,272,9390,2879,18542
MANSFIELD,13,10,33,702,325,6,29,0,32,1234,258,2642
MEDWAY,11,63,39,2176,1005,4,119,0,59,3816,1243,8535
MELTON,17,10,9,406,169,2,29,0,24,590,127,1383
MENDIP,60,36,77,922,432,2,91,0,84,1405,303,3412
MERTHYR TYDFIL,26,4,17,384,157,5,16,0,25,690,107,1431
MERTON,6,102,17,1693,795,10,93,0,73,4942,899,8630
MID DEVON,32,6,74,630,321,0,104,0,92,1101,220,2580
MID SUFFOLK,46,8,47,780,364,2,91,0,61,1390,339,3128
MID SUSSEX,14,58,68,1249,583,7,95,0,80,2481,603,5238
MIDDLESBROUGH,15,22,48,934,404,3,77,0,37,1335,265,3140
MILTON KEYNES,42,96,80,2192,966,9,223,0,96,3759,1112,8575
MOLE VALLEY,6,23,20,666,293,9,56,0,53,1538,370,3034
MONMOUTHSHIRE,42,13,47,738,332,2,56,0,47,1258,254,2789
NEATH PORT TALBOT,48,12,40,1031,408,5,44,0,40,1575,280,3483
NEW FOREST,44,34,33,1308,614,13,83,0,99,2348,535,5111
NEWARK AND SHERWOOD,41,17,36,894,368,4,104,0,64,1571,353,3452
NEWCASTLE UPON TYNE,39,120,106,1902,790,9,144,0,100,3518,805,7533
NEWCASTLE-UNDER-LYME,40,20,34,871,335,513,47,0,39,1258,248,3405
NEWHAM,10,381,18,2656,872,9,605,0,111,5069,988,10719
NEWPORT,32,45,123,1365,605,9,201,0,64,2280,431,5155
NORTH DEVON,45,29,89,866,345,4,209,1,76,1276,248,3188
NORTH DORSET,32,10,23,597,226,1,32,0,34,868,231,2054
NORTH EAST DERBYSHIRE,50,6,63,649,275,0,54,0,47,999,234,2377
NORTH EAST LINCOLNSHIRE,30,23,21,1111,471,4,41,0,33,1566,277,3577
NORTH HERTFORDSHIRE,29,57,20,933,504,6,57,0,48,1830,471,3955
NORTH KESTEVEN,49,22,55,979,372,0,124,0,43,1298,270,3212
NORTH LINCOLNSHIRE,58,19,44,1091,508,5,55,0,67,1806,344,3997
NORTH NORFOLK,67,22,44,852,408,8,86,0,102,1690,419,3698
NORTH SOMERSET,50,109,66,1840,842,5,169,0,78,3036,805,7000
NORTH TYNESIDE,41,46,120,1624,743,4,141,0,90,2360,537,5706
NORTH WARWICKSHIRE,23,20,28,466,205,5,48,0,31,1071,180,2077
NORTH WEST LEICESTERSHIRE,21,14,98,785,334,22,136,0,51,1400,260,3121
NORTHAMPTON,17,50,46,1798,904,4,103,0,80,2680,729,6411
NORTHUMBERLAND,102,90,214,2591,993,10,283,0,167,4075,1062,9587
NORWICH,10,52,23,989,463,5,69,0,34,1679,381,3705
NUNEATON AND BEDWORTH,12,35,50,889,492,2,58,0,35,1301,276,3150
OADBY AND WIGSTON,8,7,5,301,149,0,5,0,15,500,105,1095
OLDHAM,43,45,49,1596,757,2,48,0,129,3338,629,6636
OXFORD,14,40,16,665,359,1,40,0,52,2180,372,3739
PEMBROKESHIRE,131,25,57,940,427,4,62,0,95,1549,368,3658
PENDLE,27,16,24,659,298,3,35,0,57,1109,194,2422
POOLE,13,70,35,1455,645,7,97,0,48,2201,576,5147
PORTSMOUTH,42,89,9,1497,740,4,45,0,66,2621,557,5670
POWYS,105,14,70,989,411,15,104,0,108,1788,350,3954
PRESTON,20,74,60,976,382,2,108,0,44,1767,306,3739
PURBECK,12,29,21,378,160,0,35,0,23,715,181,1554
READING,15,107,18,1363,609,1,112,0,84,3025,566,5900
REDBRIDGE,28,138,23,2042,953,1,73,0,52,4210,815,8335
REDCAR AND CLEVELAND,33,21,43,855,410,7,63,1,37,1289,258,3017
REDDITCH,21,9,9,765,314,0,60,0,34,1145,196,2553
REIGATE AND BANSTEAD,2,61,48,1267,585,7,108,0,49,2211,660,4998
RHONDDA CYNON TAFF,88,9,68,1635,713,20,81,0,99,2554,383,5650
RIBBLE VALLEY,28,53,38,465,213,0,65,0,45,866,145,1918
RICHMOND UPON THAMES,4,96,19,1662,696,8,134,0,51,3832,815,7317
RICHMONDSHIRE,38,4,45,345,152,1,42,0,33,715,151,1526
ROCHDALE,32,67,55,1440,620,7,96,0,65,2769,576,5727
ROCHFORD,39,13,21,691,341,0,49,0,34,952,204,2344
ROSSENDALE,17,13,17,545,247,3,27,0,53,916,195,2033
ROTHER,11,21,43,863,418,4,54,0,37,1589,443,3483
ROTHERHAM,28,26,61,1693,778,9,106,0,58,2533,597,5889
RUGBY,12,28,62,788,348,1,105,2,35,1307,306,2994
RUNNYMEDE,7,28,28,665,305,0,42,0,27,1492,330,2924
RUSHCLIFFE,24,23,44,911,465,4,99,0,37,1409,318,3334
RUSHMOOR,18,30,24,701,321,14,45,0,32,1509,424,3118
RUTLAND,13,4,21,317,140,1,44,0,19,535,115,1209
RYEDALE,30,6,23,474,239,0,36,0,28,877,112,1825
SALFORD,41,193,51,2300,1001,10,294,0,112,4471,1076,9549
SANDWELL,23,50,75,1824,869,6,154,0,67,3328,559,6955
SCARBOROUGH,65,58,46,829,400,4,58,0,66,1590,300,3416
SEDGEMOOR,57,15,41,908,456,11,89,0,70,1432,342,3421
SEFTON,46,61,51,1841,962,9,92,0,107,3121,644,6934
SELBY,40,6,120,755,308,2,100,0,42,1190,306,2869
SEVENOAKS,8,32,47,1050,403,4,47,0,43,2073,359,4066
SHEFFIELD,96,145,136,3729,1608,5,374,0,219,6425,1544,14281
SHEPWAY,6,36,53,948,425,3,95,0,31,1616,360,3573
SHROPSHIRE,148,57,230,2261,930,11,307,0,248,3807,863,8862
SLOUGH,13,62,21,996,455,0,82,0,63,2672,608,4972
SOLIHULL,27,121,57,1718,722,8,110,0,60,3056,611,6490
SOUTH BUCKS,9,23,16,525,229,5,51,0,40,1681,315,2894
SOUTH CAMBRIDGESHIRE,38,25,81,1179,503,1,111,0,129,2517,580,5164
SOUTH DERBYSHIRE,29,24,84,861,352,4,166,0,73,1137,250,2980
SOUTH GLOUCESTERSHIRE,73,55,146,2327,1095,6,233,0,96,3264,761,8056
SOUTH HAMS,37,39,75,871,377,9,120,0,82,1636,395,3641
SOUTH HOLLAND,40,13,27,711,309,5,55,0,60,949,197,2366
SOUTH KESTEVEN,70,17,67,1083,514,1,93,0,57,1527,413,3842
SOUTH LAKELAND,72,38,58,876,443,8,73,0,77,1848,394,3887
SOUTH NORFOLK,84,19,131,1123,501,5,168,0,84,1719,402,4236
SOUTH NORTHAMPTONSHIRE,24,27,65,765,323,2,162,0,44,1354,261,3027
SOUTH OXFORDSHIRE,34,22,80,1078,587,12,79,0,79,2432,481,4884
SOUTH RIBBLE,38,29,18,833,360,4,35,0,59,1139,282,2797
SOUTH SOMERSET,75,41,83,1235,623,8,182,0,115,2166,554,5082
SOUTH STAFFORDSHIRE,52,16,24,830,301,4,49,0,62,1159,208,2705
SOUTH TYNESIDE,15,22,87,772,367,8,70,0,47,1488,330,3206
SOUTHAMPTON,40,80,29,1749,811,8,117,0,85,3203,806,6928
SOUTHEND-ON-SEA,18,89,18,1600,723,3,106,0,51,2964,602,6174
SOUTHWARK,5,499,14,2464,931,8,202,0,228,7526,1738,13615
SPELTHORNE,3,32,23,834,414,5,36,0,25,1653,437,3462
ST ALBANS,13,104,20,1107,491,3,53,0,43,2067,536,4437
ST EDMUNDSBURY,32,299,24,1178,482,1,64,2,45,1440,293,3860
ST HELENS,33,60,52,1223,580,15,76,0,160,2246,495,4940
STAFFORD,61,30,72,1081,439,2,121,0,101,1603,317,3827
STAFFORDSHIRE MOORLANDS,64,2,43,673,280,1,39,0,63,1097,193,2455
STEVENAGE,0,20,16,553,280,0,16,0,19,867,394,2165
STOCKPORT,74,85,53,2429,1063,8,143,0,110,4116,809,8890
STOCKTON-ON-TEES,29,37,111,1244,656,11,130,0,39,2081,491,4829
STOKE-ON-TRENT,33,25,82,1625,753,11,72,0,74,2687,559,5921
STRATFORD-ON-AVON,45,95,141,1127,451,6,261,0,99,2089,455,4769
STROUD,44,23,67,950,407,3,67,0,52,1755,641,4009
SUFFOLK COASTAL,67,27,52,1014,745,4,103,0,83,1605,383,4083
SUNDERLAND,36,44,121,1712,639,5,182,0,61,2616,611,6027
SURREY HEATH,1,15,21,652,317,4,40,0,34,1450,287,2821
SUTTON,1,125,11,1513,747,3,110,0,25,2704,680,5919
SWALE,5,25,68,1218,600,5,90,0,62,2231,478,4782
SWANSEA,55,42,89,1649,753,2,115,0,92,2757,545,6099
SWINDON,27,71,76,1741,843,19,159,0,65,2497,731,6229
TAMESIDE,31,58,63,1626,686,6,105,0,91,3365,701,6732
TAMWORTH,12,8,17,694,249,3,21,0,15,863,207,2089
TANDRIDGE,1,52,33,765,348,1,51,1,26,1558,346,3182
TAUNTON DEANE,44,109,106,955,432,4,131,0,70,1548,365,3764
TEIGNBRIDGE,26,36,76,1067,446,0,132,0,45,1829,426,4083
TENDRING,77,30,47,1073,520,2,64,0,85,1900,454,4252
TEST VALLEY,30,51,80,941,430,5,132,0,54,1673,372,3768
TEWKESBURY,23,23,79,781,301,10,132,0,52,1304,335,3040
THANET,11,77,37,1184,568,3,51,0,32,2143,499,4605
THE VALE OF GLAMORGAN,27,22,59,1054,473,21,156,0,37,1483,289,3621
THREE RIVERS,8,20,8,617,297,0,27,0,26,1346,332,2681
THURROCK,17,39,46,1313,596,3,80,1,74,2651,552,5372
TONBRIDGE AND MALLING,6,58,76,1127,448,6,136,0,29,1875,427,4188
TORBAY,18,36,47,1129,579,3,83,0,37,1805,478,4215
TORFAEN,33,7,28,655,246,3,52,0,30,896,205,2155
TORRIDGE,42,12,50,571,277,4,54,0,40,955,200,2205
TOWER HAMLETS,6,279,30,2382,957,8,277,0,111,8090,1933,14073
TRAFFORD,48,63,32,1840,844,8,135,0,86,3282,764,7102
TUNBRIDGE WELLS,3,66,45,930,434,1,73,0,56,2104,514,4226
UTTLESFORD,22,13,80,733,326,5,117,0,69,1510,320,3195
VALE OF WHITE HORSE,8,64,112,1034,430,34,221,0,62,2201,482,4648
VALE ROYAL,0,0,0,0,1,0,0,0,0,0,0,1
WAKEFIELD,61,87,210,2166,934,7,274,1,96,3317,703,7856
WALSALL,35,32,87,1659,836,5,96,0,58,2589,589,5986
WALTHAM FOREST,30,144,40,1877,926,8,87,0,76,4797,888,8873
WANDSWORTH,5,511,17,3509,1437,37,270,0,130,7934,1966,15816
WARRINGTON,48,33,68,1674,822,9,85,0,94,2820,673,6326
WARWICK,26,67,56,1167,554,1,146,0,63,2080,532,4692
WATFORD,8,49,11,749,386,1,40,0,73,1804,644,3765
WAVENEY,54,9,18,836,387,0,37,0,57,1242,251,2891
WAVERLEY,8,65,23,1094,481,5,75,0,76,2983,500,5310
WEALDEN,24,52,76,1302,585,1,72,0,82,2647,607,5448
WELLINGBOROUGH,20,10,20,635,254,6,47,0,47,928,180,2147
WELWYN HATFIELD,17,32,33,812,360,3,72,0,34,1414,346,3123
WEST BERKSHIRE,19,74,41,1232,577,7,113,0,46,2158,525,4792
WEST DEVON,34,8,25,431,164,4,25,0,25,725,193,1634
WEST DORSET,48,44,62,873,366,9,77,0,88,1572,406,3545
WEST LANCASHIRE,33,34,37,735,361,2,73,0,69,1317,253,2914
WEST LINDSEY,43,10,24,730,333,3,78,0,45,984,211,2461
WEST OXFORDSHIRE,35,33,50,872,338,16,84,0,63,1551,372,3414
WEST SOMERSET,21,7,37,270,151,2,37,0,22,590,140,1277
WEYMOUTH AND PORTLAND,15,17,16,495,246,0,24,0,44,900,198,1955
WIGAN,78,96,70,2290,957,5,180,0,261,3872,906,8715
WILTSHIRE,162,122,204,3448,1553,23,390,0,217,6169,1424,13712
WINCHESTER,41,25,39,866,460,6,89,0,66,1954,528,4074
WINDSOR AND MAIDENHEAD,13,106,30,1148,540,5,76,0,54,3207,590,5769
WIRRAL,56,70,54,2228,972,9,83,0,85,3333,628,7518
WOKING,4,31,21,862,387,0,33,0,23,1594,452,3407
WOKINGHAM,9,54,94,1266,570,10,198,0,50,2395,486,5132
WOLVERHAMPTON,73,34,75,1473,657,5,91,0,101,2380,525,5414
WORCESTER,16,21,12,786,357,1,50,0,34,1394,324,2995
WREKIN,45,32,97,1307,592,3,173,0,104,2548,514,5415
WORTHING,18,92,22,915,408,2,111,0,39,1556,400,3563
WREXHAM,67,7,35,819,353,7,44,0,54,1307,298,2991
WYCHAVON,69,26,86,951,391,1,143,0,74,1775,435,3951
WYCOMBE,43,77,43,1297,550,3,97,0,90,2646,588,5434
WYRE,45,31,34,878,376,10,45,0,74,1385,257,3135
WYRE FOREST,51,7,19,620,271,0,43,0,47,1232,323,2613
YORK,96,154,43,1384,660,19,106,0,117,2098,496,5173
