Department,Entity,Posted Date,Internal Voucher Number, Invoice Line Amount Net GBP ,Supplier Name,Account Code
FCO,FCO,01/05/2017,9114552,32631.9,RA INITERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9114579,425243.97,NORWEGIAN REFUGEE COUNCIL SOMALIA,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9114641,53071.72,PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
FCO,FCO,01/05/2017,9114665,31019.04,PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
FCO,FCO,01/05/2017,9114677,66067.32,FIRST ORGANISATION INC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9114682,489500,WESTMINSTER FOUNDATION FOR DEMOCRACY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9114705,75967.82,CROWN COMMERCIAL SERVICE,Wdhs/Wsds
FCO,FCO,01/05/2017,9114707,72702.06,CROWN COMMERCIAL SERVICE,Wdhs/Wsds
FCO,FCO,01/05/2017,9114713,36800,AGILE BYTE LIMITED,IT/IS Consultancy
FCO,FCO,01/05/2017,9114742,100000,NATIONAL CRIME AGENCY KINGSTON,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,01/05/2017,9114752,27915.63,SIR RAPHAEL A O NWOSU,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,01/05/2017,9114916,71593.05,HUMANIS,Overseas Tax And Social Security
FCO,FCO,01/05/2017,9115808,72906.43,BUPA INTERNATIONAL,Multiple Accounts
FCO,FCO,01/05/2017,9115823,31962.43,PERSPEKTIVA ROOI,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9115878,47184.2,SCHOOL,Schooling for Children at Post
FCO,FCO,01/05/2017,9115887,50736.15,SCHOOL,Multiple Accounts
FCO,FCO,01/05/2017,9115895,28397.76,CONFEDERATION OF INDIAN INDUSTRY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9115904,44732.09,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Information Systems Maintenance
FCO,FCO,01/05/2017,9115915,62121.25,FCO SERVICES,IT/IS Consultancy
FCO,FCO,01/05/2017,9115921,170951,FCO SERVICES,Security: Works Residential
FCO,FCO,01/05/2017,9115930,48429.97,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9116023,163795.34,AEGIS DEFENCE SERVICES LTD,Multiple Accounts
FCO,FCO,01/05/2017,9116025,28453.33,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Information Systems Maintenance
FCO,FCO,01/05/2017,9116027,331583,NI CO OPERATION OVERSEAS NI CO LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9116029,42774.19,URSSAF,Multiple Accounts
FCO,FCO,01/05/2017,9116037,196531.2,DEFENCE BUSINESS SERVICES FINANCE,Customer Refund Account
FCO,FCO,01/05/2017,9116042,3308796.53,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9116053,14286228.29,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9116055,992952.41,GARDA WORLD LTD,UK Mobile Guarding Contract overseas
FCO,FCO,01/05/2017,9116062,180387.99,CAPGEMINI UK PLC,IT/IS Consultancy
FCO,FCO,01/05/2017,9116067,619827,MOD MINISTRY OF DEFENCE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9116069,31489.77,HYDROGRAPHIC OFFICE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9116072,33031.44,HYDROGRAPHIC OFFICE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9116073,30463.27,HYDROGRAPHIC OFFICE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9116075,34642.65,HYDROGRAPHIC OFFICE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9116076,61672.66,HYDROGRAPHIC OFFICE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9116077,564270.06,HYDROGRAPHIC OFFICE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9116079,41774.29,HYDROGRAPHIC OFFICE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9116080,62027.41,HYDROGRAPHIC OFFICE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9116082,36362.86,HYDROGRAPHIC OFFICE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9116083,110000,PRICEWATERHOUSE COOPERS LLP,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9116092,50000,DSFA  DIPLOMATIC SERVICE FAMILIES ASSOCIATION,DSFA
FCO,FCO,01/05/2017,9116101,127336,MOD MINISTRY OF DEFENCE,Crisis Overseas (CSC USE ONLY)
FCO,FCO,01/05/2017,9116261,95818.14,FCO SERVICES,Customer Refund Account
FCO,FCO,01/05/2017,9116317,122276.39,COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9116508,37935.32,INTERSERVE FM LTD,Multiple Accounts
FCO,FCO,01/05/2017,9116577,30805.49,INTERSERVE FM LTD,Construction Project more than £10k
FCO,FCO,01/05/2017,9116578,26002.04,INTERSERVE FM LTD,Construction Project more than £10k
FCO,FCO,01/05/2017,9116599,33992.56,INTERSERVE FM LTD,FM Interserve Works
FCO,FCO,01/05/2017,9116610,63402.58,INTERSERVE FM LTD,FM Interserve Works
FCO,FCO,01/05/2017,9116646,66310.38,INTERSERVE FM LTD,Repair and maintenance of furniture and fittings
FCO,FCO,01/05/2017,9116647,43483.53,INTERSERVE FM LTD,Multiple Accounts
FCO,FCO,01/05/2017,9116648,50734.25,INTERSERVE FM LTD,Construction Project more than £10k
FCO,FCO,01/05/2017,9116652,653240.61,INTERSERVE FM LTD,Construction Project more than £10k
FCO,FCO,01/05/2017,9116658,54042.47,INTERSERVE FM LTD,IT/IS Consultancy
FCO,FCO,01/05/2017,9116661,38337.45,INTERSERVE FM LTD,FM Interserve Works
FCO,FCO,01/05/2017,9116662,55053.15,INTERSERVE FM LTD,FM Interserve Works
FCO,FCO,01/05/2017,9116663,141769.4,INTERSERVE FM LTD,Construction Project more than £10k
FCO,FCO,01/05/2017,9116664,45373.82,INTERSERVE FM LTD,FM Interserve Works
FCO,FCO,01/05/2017,9116679,40038.2,INTERSERVE FM LTD,FM Interserve Works
FCO,FCO,01/05/2017,9116791,43217.99,NELSON WORLDWIDE INC,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9116823,33036.57,AETNA,Multiple Accounts
FCO,FCO,01/05/2017,9117275,30978.89,ABUJA ELCTRCITY DISTRIBUTION COMPNY,Multiple Accounts
FCO,FCO,01/05/2017,9117455,27866.24,REAL ESTATE ASSET MANAGEMENT COMPANY,Rental Payments - residential
FCO,FCO,01/05/2017,9117484,32834.64,DISCOVERY MEDICAL AID,Multiple Accounts
FCO,FCO,01/05/2017,9117519,725760,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9117539,186059,AKTIS STRATEGY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9117544,159225.78,AEGIS DEFENCE SERVICES LTD,Multiple Accounts
FCO,FCO,01/05/2017,9117546,28608.04,COMPUTACENTER UK LTD,IT/IS Consultancy
FCO,FCO,01/05/2017,9117548,127946.65,ACCOMODATION PROVIDER,Rental Payments - residential
FCO,FCO,01/05/2017,9117596,148508.57,GREAT BRITAIN-CHINA CENTRE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9117608,227321.5,VODAFONE LTD CABLE AND WIRELESS UK,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9117615,31891.2,AUSWAERTIGES AMT,Rental Payments - non residential
FCO,FCO,01/05/2017,9117622,27925,ATLANTIC COUNCIL DIGITAL FORENSIC RESEARCH LAB,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9117640,41505.74,BARTON ENGINEERING AND EXPORT,Repairs And Refurbishment: Works Residential
FCO,FCO,01/05/2017,9117721,109548.12,UNIVERSITY OF OXFORD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9117750,454804.86,GILBERT ASH LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9117761,295679.84,FIEDLER AND RANDEL STEUERBERATER,Multiple Accounts
FCO,FCO,01/05/2017,9117787,59260.64,FIEDLER AND RANDEL STEUERBERATER,Multiple Accounts
FCO,FCO,01/05/2017,9117801,174449.2,SERVEST MULTI SERVICE GROUP,Manned Guarding Services
FCO,FCO,01/05/2017,9117813,49284,CAPGEMINI UK PLC,Specialist Contractors
FCO,FCO,01/05/2017,9117931,682894.67,MOD MINISTRY OF DEFENCE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9117944,4279844.8,THE SECRETARY GENERAL OF THE OSCE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9118109,26840.53,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
FCO,FCO,01/05/2017,9118110,102937.78,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
FCO,FCO,01/05/2017,9118112,35889.48,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
FCO,FCO,01/05/2017,9118114,144859.39,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
FCO,FCO,01/05/2017,9118125,27411.19,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
FCO,FCO,01/05/2017,9118126,67518.06,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
FCO,FCO,01/05/2017,9118141,25017.1,DECC DEPARTMENT OF ENERGY AND CLIMATE CHANGE,Customer Refund Account
FCO,FCO,01/05/2017,9118149,32768.35,DEFRA DEPT FOR ENVIRNMENT FOOD AND RURAL AFFAIRS,Customer Refund Account
FCO,FCO,01/05/2017,9118167,233185.2,OSCAR DARIO JARAMILLO DUQUE,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9113189,-31050.31,CXA INSURANCE BROKERS SINGAPORE PTE LTD,Subsidy To Local Medical Schemes
FCO,FCO,01/05/2017,9118961,44649.62,STANDARD BANK OF MALAWI,Multiple Accounts
FCO,FCO,01/05/2017,9119015,46526.05,ACCOMODATION PROVIDER,Rental Payments - residential
FCO,FCO,01/05/2017,9119018,39081.89,ROBERT MUSALLAM,Multiple Accounts
FCO,FCO,01/05/2017,9119064,169696,Optima Defence and Security Group Ltd,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,01/05/2017,9119077,100000,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9119081,146714.89,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9119083,141910.86,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9119116,48676.33,COLLEGE OF POLICING,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9119132,194738.52,GARDA WORLD LTD,UK Guarding Contracts Overseas
FCO,FCO,01/05/2017,9119135,32043.4,AETNA,Multiple Accounts
FCO,FCO,01/05/2017,9119158,188858.6,AKTIS STRATEGY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9119160,590150.77,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Information Systems Implementation
FCO,FCO,01/05/2017,9119198,111312.71,GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9119236,25248.04,IKA,Multiple Accounts
FCO,FCO,01/05/2017,9119238,39165.92,G4S SECURITY SERVICES KENYA LTD,Multiple Accounts
FCO,FCO,01/05/2017,9119242,64700.88,BERGHOF FOUNDATION FOR PEACE SUPPORT GEMEINN GMBH,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9119244,1921550.08,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9119246,47826.08,STUDIO EGA SRL,Multiple Accounts
FCO,FCO,01/05/2017,9119260,547198.29,WESTMINSTER FOUNDATION FOR DEMOCRACY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9119309,81961,DEFENCE BUSINESS SERVICES FINANCE,Misc Security Payments
FCO,FCO,01/05/2017,9119334,39165.92,G4S SECURITY SERVICES KENYA LTD,Multiple Accounts
FCO,FCO,01/05/2017,9119427,29509.61,IZIIS,Rental Payments - non residential
FCO,FCO,01/05/2017,9119463,665872.88,JUAN GAVIRIA RESTREPO,Rental Payments - non residential
FCO,FCO,01/05/2017,9119542,700348.98,GOVERNORS OFFICE CAPITAL FUNDS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9119599,30112,OXO,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9120637,49622.28,COMPUTACENTER UK LTD,IT/IS Consultancy
FCO,FCO,01/05/2017,9120653,115130,TRANSNATIONAL CRISIS PROJECT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9120668,47839.64,JORDAN ELECTRIC POWER CO,Multiple Accounts
FCO,FCO,01/05/2017,9120720,29677.4,HARIS ENTERPRISES PVT LTD,Local Guards
FCO,FCO,01/05/2017,9120764,36909.79,JUBILEE LIFE INSURANCE,Le Medical Staff Salaries
FCO,FCO,01/05/2017,9120781,59565,ADBLU INVESTMENTS LIMITED,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,01/05/2017,9120797,40927.23,NI HUMAN RIGHTS COMMISSION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9120817,60650,AGILE BYTE LIMITED,IT/IS Consultancy
FCO,FCO,01/05/2017,9120830,31700,KAINOS SOFTWARE LTD,Information Systems Implementation
FCO,FCO,01/05/2017,9120855,96067.16,SEGURIDAD SOCIAL,Multiple Accounts
FCO,FCO,01/05/2017,9120857,31800,AGILE BYTE LIMITED,IT/IS Consultancy
FCO,FCO,01/05/2017,9120863,41850,AGILE BYTE LIMITED,IT/IS Consultancy
FCO,FCO,01/05/2017,9120928,319355.87,CABINET OFFICE,Early Retirement Costs (Pre VES)
FCO,FCO,01/05/2017,9120939,68742.45,THE ROYAL BANK OF SCOTLAND,Children's Concessionary Journeys
FCO,FCO,01/05/2017,9120977,123754.49,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
FCO,FCO,01/05/2017,9120978,78367.78,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
FCO,FCO,01/05/2017,9121004,3166879.01,HMRC HM REVENUE AND CUSTOMS,Multiple Accounts
FCO,FCO,01/05/2017,9121041,26006.23,INSTITUTO DE GESTAO FINANCEIRA DA SEGURANCA SOCIAL,Multiple Accounts
FCO,FCO,01/05/2017,9121090,71833,HMRC HM REVENUE AND CUSTOMS,National Insurance (NI) (Oracle PAY Control Account)
FCO,FCO,01/05/2017,9121118,33040.46,THE ROYAL BANK OF SCOTLAND,Multiple Accounts
FCO,FCO,01/05/2017,9121892,38306.8,BHC INDIA STAFF PROVIDENT FUND,Multiple Accounts
FCO,FCO,01/05/2017,9121925,25489.5,ACCOMODATION PROVIDER,Rental Payments - residential
FCO,FCO,01/05/2017,9121980,34393.61,SCHOOL,Schooling for Children at Post
FCO,FCO,01/05/2017,9122000,28289.28,G4S SECURITY SERIVICES GHANA LTD,Local Guards
FCO,FCO,01/05/2017,9122008,78861.66,GLOBAL LUXURY IMPORTS LIMITED,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,01/05/2017,9122014,36687.9,AL BULOOGE GENERAL TRADING CO.W.L.L,Rental Payments - residential
FCO,FCO,01/05/2017,9122020,43148.69,HANDICAP INTERNATIONAL UK,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9122023,93223.25,EDENRED,Consolidated Volunteer Contribution
FCO,FCO,01/05/2017,9122028,46000,DFID DEPT INTERNATIONAL DEVELOPMENT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9122041,34502,UNIVERSITY OF BRADFORD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9122045,1756212.3,G4S RISK MANAGEMENT LTD,UK Guarding Contracts Overseas
FCO,FCO,01/05/2017,9122067,45213.63,COUNCIL ON ENERGY ENVIRONMENT AND WATER,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9122080,30074.8,DX NETWORK SERVICES,Postal Services
FCO,FCO,01/05/2017,9122104,70945.44,INTERNEWS EUROPE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9122109,74771.61,SCHOOL,Multiple Accounts
FCO,FCO,01/05/2017,9122112,32241.94,CARBON LIMITING TECHNOLOGIES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9122124,41892.13,CHINESE ACADEMY OF INTERNATIONAL TRADE AND ECONOMIC COOPERATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9122130,25412.92,IESCO,Multiple Accounts
FCO,FCO,01/05/2017,9122144,75000,LAW ENFORCEMENT INTERNATIONAL LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9122168,74899.23,STRATAGEM CONSULTING,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9122177,124004,DANISH DEMINING GROUP,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9122195,78486.25,MINIMAL RISK CONSULTANCY LTD,UK Guarding Contracts Overseas
FCO,FCO,01/05/2017,9122197,75860,DELOITTE CONSULTING LLP,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9122205,34200.87,SCHOOL,Multiple Accounts
FCO,FCO,01/05/2017,9122220,50759.04,LIAISON TANZANIA LIMITED,Le Medical Staff Salaries
FCO,FCO,01/05/2017,9122227,28708.65,SCHOOL,Multiple Accounts
FCO,FCO,01/05/2017,9122239,28039.69,SCHOOL,Multiple Accounts
FCO,FCO,01/05/2017,9122257,41588.31,STUDIO EGA SRL,Multiple Accounts
FCO,FCO,01/05/2017,9122274,47743.93,COMPUTACENTER UK LTD,IT/IS Consultancy
FCO,FCO,01/05/2017,9122278,715501.3,COMPUTACENTER UK LTD,IT/IS Consultancy
FCO,FCO,01/05/2017,9122299,-454804.86,GILBERT ASH LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9122326,83208,COMPUTACENTER UK LTD,IT/IS Consultancy
FCO,FCO,01/05/2017,9122357,35948,CROWN AGENTS BANK,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9122498,454804.86,GILBERT ASH LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9122511,387507.96,THE ROYAL BANK OF SCOTLAND,Multiple Accounts
FCO,FCO,01/05/2017,9123299,74730.18,PUBLIC PRIVATE PARTNERSHIP CENTER OF THE PHILIPPINES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9123375,33750,NGU FOUNDATION FOR SUPPORT OF REFORMS IN UKRAINE,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,01/05/2017,9123483,25740,CONFEDERATION OF INDIAN INDUSTRY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9123496,100484.9,PEACEFUL CHANGE INITIATIVE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9123524,34804.52,FCO SERVICES,FM Interserve Works
FCO,FCO,01/05/2017,9123643,2304424.75,MAYDAY RESCUE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9123650,122158.71,ARK GROUP DMCC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9123651,55877,UNITED NATIONS ASSOCIATION (UNA) UK,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9123686,98000,ANR MINING AND CONSTRUCTION,Rental Payments - residential
FCO,FCO,01/05/2017,9123709,179062.03,OVERSEAS SUPPLY SERVICES LTD,Estates Management Services
FCO,FCO,01/05/2017,9123718,40595.32,OVERSEAS SUPPLY SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,01/05/2017,9123734,43614.49,JONES LANG LASALLE,Multiple Accounts
FCO,FCO,01/05/2017,9123776,64345.16,VOYA FINANCIAL,Multiple Accounts
FCO,FCO,01/05/2017,9123808,361020.35,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9123813,360755.22,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9123815,730780.61,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9123901,34401.6,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
FCO,FCO,01/05/2017,9123921,45067.64,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
FCO,FCO,01/05/2017,9123937,37057.43,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
FCO,FCO,01/05/2017,9123938,27456.93,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
FCO,FCO,01/05/2017,9123946,28605.18,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
FCO,FCO,01/05/2017,9124059,33656.95,STEPHANIE BUNKER AND SHAHRUKH RAFI KHAN,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,01/05/2017,9124802,30346.36,STEM CAMBODIA,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9124867,57496.39,INTERNATIONAL GOVERNANCE AND RISK LIMITED GOVRISK,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9124889,426796,CITY OF WESTMINSTER,Rates Taxes Non-Residential
FCO,FCO,01/05/2017,9124890,30899.82,SCHOOL,Multiple Accounts
FCO,FCO,01/05/2017,9124893,39671,CITY OF WESTMINSTER,Rates Taxes Non-Residential
FCO,FCO,01/05/2017,9124898,55317.65,INTEGRITY RESEARCH AND CONSULTANCY LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9124907,131999,MILTON KEYNES COUNCIL,Rates Taxes Non-Residential
FCO,FCO,01/05/2017,9124928,31868.1,AKTIS STRATEGY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9124952,203877,OECD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9124954,76798.89,TAKAFUL INSURANCE COMPANY,Subsidy To Local Medical Schemes
FCO,FCO,01/05/2017,9124979,77474.44,ADP,Multiple Accounts
FCO,FCO,01/05/2017,9125010,327825.51,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Specialist Contractors
FCO,FCO,01/05/2017,9125024,165585.73,TORRE ESPACIO CASTELLANA SAU,Rental Payments - non residential
FCO,FCO,01/05/2017,9125050,194006.87,AKTIS STRATEGY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9125055,65797.56,STABILISATION NETWORK,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9125058,43560,LINK 51 (STORAGE PRODUCTS) LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9125062,39439.34,LUIS FELIPE CARDONA PARRA,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9125126,116421,STUART HARRISON UK,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9125204,302947.79,GOVERNMENT LEGAL DEPARTMENT,Legal Charges
FCO,FCO,01/05/2017,9125218,50938.92,SERVEST MULTI SERVICE GROUP,Manned Guarding Services
FCO,FCO,01/05/2017,9125221,164819.97,SERVEST MULTI SERVICE GROUP,Manned Guarding Services
FCO,FCO,01/05/2017,9125226,46305,G4S SECURITY SERVICES KENYA LTD,UK Guarding Contracts Overseas
FCO,FCO,01/05/2017,9125233,46305,G4S SECURITY SERVICES KENYA LTD,UK Guarding Contracts Overseas
FCO,FCO,01/05/2017,9125296,53985,WOMEN FOR WOMEN INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9125361,34038.89,BRICKELL BAY TOWER LTD,Multiple Accounts
FCO,FCO,01/05/2017,9125502,33221.18,ONE SANSOME PROPERTY LLC,Multiple Accounts
FCO,FCO,01/05/2017,9125504,247490.5,PLAZA TOWER LLC,Multiple Accounts
FCO,FCO,01/05/2017,9126024,27564.93,ACCOMODATION PROVIDER,Rental Payments - residential
FCO,FCO,01/05/2017,9126028,66012.72,Bankers Assurance SAL,Multiple Accounts
FCO,FCO,01/05/2017,9126030,25577.63,ACCOMODATION PROVIDER,Rental Payments - residential
FCO,FCO,01/05/2017,9126263,32568.24,ACCOMODATION PROVIDER,Rental Payments - residential
FCO,FCO,01/05/2017,9126268,28022.34,UNIVERSITY OF NOTTINGHAM,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9126269,37508.6,CONTRIBUTORY PROVIDENT FUND,Multiple Accounts
FCO,FCO,01/05/2017,9126271,80714,AXIOM INTERNATIONAL LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9126272,49320,AXIOM INTERNATIONAL LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9126293,679338,SENATOR INTERNATIONAL LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9126361,55341.79,SCHOOL,Multiple Accounts
FCO,FCO,01/05/2017,9126366,300050,KIRINTEC LTD,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,01/05/2017,9126419,29015.71,APARNA KUTHIALA,Multiple Accounts
FCO,FCO,01/05/2017,9126430,65686.6,CAPGEMINI UK PLC,Specialist Contractors
FCO,FCO,01/05/2017,9126436,128006,INSTITUTE FOR WAR AND PEACE REPORTING IWPR,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9126440,34598,INSTITUTE FOR WAR AND PEACE REPORTING IWPR,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9126444,286961,INSTITUTE FOR WAR AND PEACE REPORTING IWPR,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9126501,31558.5,WORLDREACH SOFTWARE CORPORATION,Information Systems Implementation
FCO,FCO,01/05/2017,9126512,-28800,BIP SOLUTIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9126551,156294,COMPUTACENTER UK LTD,IT/IS Consultancy
FCO,FCO,01/05/2017,9126561,29920,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,Specialist Training (Devolved)
FCO,FCO,01/05/2017,9127614,55424.04,HARIS ENTERPRISES PVT LTD,Local Guards
FCO,FCO,01/05/2017,9127624,34529.8,ISRAEL RATHAUS,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,01/05/2017,9127649,42302.5,ABU DHABI COMMERCIAL PROPERTIES,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,01/05/2017,9128053,26752.48,GLOBAL LUXURY IMPORTS LIMITED,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,01/05/2017,9128130,31050.31,CXA INSURANCE BROKERS SINGAPORE PTE LTD,Subsidy To Local Medical Schemes
FCO,FCO,01/05/2017,9128132,28289.28,G4S SECURITY SERIVICES GHANA LTD,Local Guards
FCO,FCO,01/05/2017,9128188,355023.26,STRUCTURE TONE LLC,Assets Under Construction (Oracle PA Control Account)
