ExtractDate,PublisherURI,PublisherLabel,OrganisationURI,OrganisationLabel,CaseReference,CaseURL,CaseDate,ServiceTypeURI,ServiceTypeLabel,ClassificationURI,ClassificationLabel,CaseText,LocationText,DecisionTargetDate,Status,CoordinateReferenceSystem,GeoX,GeoY,GeoPointLicensingURL,DecisionDate,Decision,DecisionType,DecisionNoticeDate,AppealRef,AppealDecisionDate,AppealDecision,GeoAreaURI,GeoAreaLabel,GroundArea,UPRN,Agent,PublicConsultationStartDate,PublicConsultationEndDate,ResponsesFor,ResponsesAgainst
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,22407/009,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14020,23/04/2009,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6023,Q60 Minerals (CPS 1-9 and 13-22),Change of use of an agricultural building and adjoining land for the storage and processing of builders waste,"Heberdens Farm, Finchdean",18/06/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Committee,04/08/2009,,,,,,6726,,The Bell Cornwell Partnership,,30/06/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,BDB/70650,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14022,27/04/2009,http://id.esd.org.uk/service/487,Full planning applications,,,Proposed provision of one double classroom teaching space,"Costello Technology College, Crossborough Hill, Basingstoke, RG21 4AL",19/06/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,08/06/2009,,,,,,163,,"Property, Business and Regulatory Services",,28/05/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,21596/014,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14024,28/04/2009,http://id.esd.org.uk/service/487,Full planning applications,,,"To construct a replacement mini Synthetic Turf Pitch with new fencing, floodlighting, drainage and access paths","Horndean Technology College, Barton Cross, Waterlooville, PO8 9PQ",19/06/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Committee,03/07/2009,,,,,,5081,,Property Business & Regulatory Services,,10/07/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,P/09/0386/CC,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14025,28/04/2009,http://id.esd.org.uk/service/487,Full planning applications,,,Provision for one temporary classroom teaching space for a temporary period,"St Francis School, Oldbury Way, Fareham, PO14 3BN",23/06/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,08/06/2009,,,,,,122,,"Property, Business and Regulatory Services",,28/05/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,BDB/70669,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14028,01/05/2009,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6025,Q42 Waste (CPS 30-43),"Infilling of former chalk pit with inert waste, temporary siting of portacabin and service area","Skyers Wood Chalk Pit, Lloyds Lane, Ramsdell, Tadley",30/06/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,07/08/2009,,,,,,21073,,Chris Benham,,07/02/2012,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,P/09/0396/MW,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14029,01/05/2009,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6023,Q60 Minerals (CPS 1-9 and 13-22),Use for hardcore/concrete recycling solely for  client - Graham Moyse Contractors,"Down Barn Farm, Boar Hunt Road, Fareham",26/06/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,21/09/2009,,,,,,2219,,Mr Richard Stubbs,,10/10/2011,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,S/09/65114,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14030,06/05/2009,http://id.esd.org.uk/service/487,Full planning applications,,,"Relocation of the school car park (10 bays) for the existing unmade area adjacent the reception classrooms to an existing tarmac surface adjacent the entrance and admin areas, work will involve extending the tarmac area by 70m2 to provide 9 designated car parking spaces including an accessible bay","Chandlers Ford Infant School, Kings Road, Chandlers Ford, Eastleigh",07/07/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,06/07/2009,,,,,,254,,"Property, Business and Regulatory Services",,10/06/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,09/00896/CMAS,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14031,06/05/2009,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6025,Q42 Waste (CPS 30-43),Demolition of existing pump house and installation of new submersible pumping station and control cabinet,"7 Stevens Drove, Houghton, Stockbridge",03/07/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,08/07/2009,,,,,,41,,Patterson Reeves and Partners,,10/07/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,K13994/9,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14032,07/05/2009,http://id.esd.org.uk/service/1735,Removal/variation of planning conditions,http://opendatacommunities.org/def/concept/planning/application/6000/6025,Q42 Waste (CPS 30-43),Maintaining the temporary use of portacabin for use as offices associated with Waste Transfer Station,"20 Quay Lane Industrial Estate, Quay Lane, Hardway, Gosport",02/07/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,30/07/2009,,,,,,44,,Ayles & Associates,,05/06/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,09/00897/CMAS,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14033,07/05/2009,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6025,Q42 Waste (CPS 30-43),Demolition of existing pump house and installation of new submersible pumping station and control cabinet,"The Flats, Stevens Drove, Houghton",03/07/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,08/07/2009,,,,,,557,,Patterson Reeves and Partners,,10/07/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,09/01106/CMA,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14035,12/05/2009,http://id.esd.org.uk/service/487,Full planning applications,,,"Create a new pedestrian entrance leading into the school main reception, also replace existing vertical bar railings","Hawley Cp School, Hawley Road, Blackwater, CAMBERLEY GU17 9BH",07/07/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,05/08/2009,,,,,,50,,"Property, Business & Regulatory Services",,11/06/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,S/09/65190,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14036,13/05/2009,http://id.esd.org.uk/service/487,Full planning applications,,,Removal of concrete asbestos cladding with Kingspan composite sheeting,"The Wildern School, Wildern Lane, Hedge End, SOUTHAMPTON SO30 4EJ",08/07/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,03/07/2009,,,,,,866,,"Property, Business & Regulatory Services",,16/06/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,09/00974/HCS,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14038,15/05/2009,http://id.esd.org.uk/service/487,Full planning applications,,,"Delivery and erection of one double temporary modular building to site for a temporary period, to provide extra teaching space, in addition, 2 no parking spaces required due to the increase in school number, enabled by the addition of 2 new temporary classrooms","Weeke Primary School, Stoney Lane, Winchester SO22 6DR",10/07/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,23/07/2009,,,,,,226,,"Property, Business and Regulatory Services",,18/06/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,09/53532/006,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14039,15/05/2009,http://id.esd.org.uk/service/487,Full planning applications,,,Variation of condition 2(i) of Planning Permission 02/53532/002 to replace existing site office with a new one in a different position within the site,"Harts Farm Way Depot, Harts Farm Way HAVANT Hampshire PO9 1JN",13/07/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Withdrawn,,09/06/2009,,,,,,48,,T J Waste & Recycling Ltd,,16/06/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,09/00969/CMAS,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14040,18/05/2009,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6025,Q42 Waste (CPS 30-43),Construction of noise attenuation bund for M27,"Land at Church Lane, Nursling",13/07/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Refuse,Committee,03/07/2009,,,,,,34031,,Stephen Bowley Planning Consultancy,,18/06/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,09/01046/HCS,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14042,19/05/2009,http://id.esd.org.uk/service/487,Full planning applications,,,"Change of use from agricultural storage to use of land for storage  and transfer of waste material associated with gas utility works and ancillary storage of plant, equipment and materials associated with a general construction and civil engineering business","Marwell Yard, Thompson Lane, Owslebury, Winchester, SO21 1JH",22/07/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Withdrawn,,01/09/2009,,,,,,7704,,Blake Lapthorn,,02/07/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,09/01212/CMA,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14043,26/05/2009,http://id.esd.org.uk/service/487,Full planning applications,,,Replacement fencing,"Hawley Cp School, Hawley Road, Blackwater, CAMBERLEY GU17 9BH",21/07/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,05/08/2009,,,,,,90,,"Property, Business and Regulatory Services",,25/06/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,BDB/70797,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14046,26/05/2009,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6025,Q42 Waste (CPS 30-43),Formation of noise attenuation bund using inert waste,"Priory Farm, Andwell, Basingstoke",21/07/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Refuse,Committee,05/08/2009,A/10/2122014,,,,,22666,,DGG Planning (Wokingham) Ltd,,01/07/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,BDB/70825,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14050,29/05/2009,http://id.esd.org.uk/service/487,Full planning applications,,,(1) To develop a raised footpath along the eastern edge of the car park  (2) To install new lighting using 3x lighting columns which are 8 metres in height,"Lychpit Local Centre, Great Binfields Road, Lychpit, Basingstoke RG24 8TF",22/07/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,13/08/2009,,,,,,300,,Estates Practice,,02/07/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,P/09/0461/CC,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14051,01/06/2009,http://id.esd.org.uk/service/487,Full planning applications,,,Existing redundant single storey workshop and green house to be demolished to make way for new single storey Resource Provision Centre serving 12 No. pupils with Autistic Spectrum Disorders (ASD) and associated staff.,"Crofton School, Marks Road, FAREHAM, Hampshire PO14 2AT",27/07/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,27/10/2009,,,,,,1791,,"Property, Business & Regulatory Services",,17/02/2010,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,09/01058/HCS,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14052,01/06/2009,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6025,Q42 Waste (CPS 30-43),Erect three silos,"Yeoman Asphalt, Botley Goods Yard, Station Hill, Botley",27/07/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,06/08/2009,,,,,,327,,Aggregate Industries UK Ltd,,02/07/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,09/01095/HCC3N,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14054,03/06/2009,http://id.esd.org.uk/service/487,Full planning applications,,,"To construct a replacement car park with new highway entrance, new access footpath/cycle route, new 'micro' STP and other infrastructure improvements","Portway Junior School, Ashfield Road, Andover,  SP10 3PE",28/07/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Committee,04/09/2009,,,,,,6507,,"Property, Businiess & Regulatory Services",,02/07/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,09/01108/CMAS,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14055,03/06/2009,http://id.esd.org.uk/service/487,Full planning applications,,,Creation of play area and timber fenced enclosure to contain 4 Refuse bins.,"Nursling Cp School, Nursling Street, Nursling, SOUTHAMPTON SO16 0XH",30/07/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,14/07/2009,,,,,,155,,"Property, Business and Regulatory Services",,03/07/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,S/09/65293,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14056,04/06/2009,http://id.esd.org.uk/service/487,Full planning applications,,,Extend the existing D@rt performing art building by adding a 308 seat theatre with supporting accommodation,"The Wildern School, Wildern Lane, Hedge End,  SO30 4EJ",29/07/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Committee,03/09/2009,,,,,,1150,,"Property, Business & Regulatory Services",,25/11/2010,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,09/01126/CMAS,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14059,05/06/2009,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6025,Q42 Waste (CPS 30-43),Retention of existing bund measuring 93m x 21m x 5m with associated planting aftercare scheme,"Houghton Down Farm, Houghton Down, Stockbridge SO20 6JR",31/07/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,10/09/2009,,,,,,2009,,SLR Consulting Ltd,,09/07/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,BDB/70839,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14063,10/06/2009,http://id.esd.org.uk/service/487,Full planning applications,,,Proposed 27m2 extension to the existing school kitchen to provide more work and preparation space,"Grangeside (formally The Hawthorns School), Pack Lane, Basingstoke  RG22 5TH",10/08/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,09/09/2009,,,,,,23,,"Property, Business & Regulatory Services",,14/07/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,09/94226,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14064,11/06/2009,http://id.esd.org.uk/service/487,Full planning applications,,,"Erection of a 15142 mm x 9742mm temporary unit with large teaching classroom, 2 no. offices, kitchenette and 2 no. toilets including an accessible toilet","Bransgore Primary School, Ringwood Road, Bransgore CHRISTCHURCH BH23 8JH",07/08/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,05/08/2009,,,,,,174,,"Property, Business and Regulatory Services",,13/07/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,BDB/70883,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14065,12/06/2009,http://id.esd.org.uk/service/487,Full planning applications,,,Proposed 2.4m - 2m high fence with gates,"Oakridge County Infant School, Oakridge Road, BASINGSTOKE Hampshire RG21 5RR",10/08/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,26/08/2009,,,,,,234,,"Property, Business and Regulatory Services",,14/07/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,09/01453/HCCRG3,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14067,16/06/2009,http://id.esd.org.uk/service/1735,Removal/variation of planning conditions,,,Variation of condition 7 of Planning Permission 07/02747/HCCREG3  (floodlighting times and revised STP location),"Robert Mays School,  West Street, Odiham, HOOK RG29 1NA",12/08/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,22/09/2009,,,,,,11451,,"Property, Business & Regulatory Services",,21/07/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,BDB/70901,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14068,16/06/2009,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6025,Q42 Waste (CPS 30-43),"Construction of new cricket ground involving importation of inert waste material to create new landform, along with temporary access and contractors' compound","Dummer Down Farm, Dummer, BASINGSTOKE RG25 2AR",11/08/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Committee,07/07/2010,,,,,,110973,,Cluttons LLP,,06/09/2011,,
