Department Family,Entity,Payment Date,Expense Area,Expense Type,Supplier,System Transaction Number,Amount
Ministry of Justice,National Offender Management Service,28/04/2011,Chief Operating Officers Office,Contracted-out Prison Shop,EXEL EUROPE1 LTD,3944100,"1,348,064.00"
Ministry of Justice,National Offender Management Service,06/04/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,G4S CARE & JUSTICE SERVICES LTD,3959265,"1,279,550.80"
Ministry of Justice,National Offender Management Service,06/04/2011,Parc,Contracted-out operation of prisons and detention centres,BRIDGEND CUSTODIAL SERVICES LTD,3957746,"1,174,214.28"
Ministry of Justice,National Offender Management Service,21/04/2011,Peterborough,Contracted-out operation of prisons and detention centres,PETERBOROUGH PRISON MANAGEMENT LTD,3964612,"1,170,650.03"
Ministry of Justice,National Offender Management Service,08/04/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3961746,"1,122,600.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,RELIANCE SECURE TASK MANAGEMENT,3972459,"1,090,097.72"
Ministry of Justice,National Offender Management Service,14/04/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,G4S CARE & JUSTICE SERVICES LTD,3959249,"1,059,337.92"
Ministry of Justice,National Offender Management Service,06/04/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,SERCO LTD,3958811,"1,016,369.91"
Ministry of Justice,National Offender Management Service,19/04/2011,South Yorkshire Probation Trust,Contracted-out Probation Trusts,SOUTH YORKSHIRE PROBATION TRUST,3963156,"999,916.67"
Ministry of Justice,National Offender Management Service,13/04/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,RELIANCE SECURE TASK MANAGEMENT,3931209,"995,312.80"
Ministry of Justice,National Offender Management Service,28/04/2011,MOJ Shared Services NOMS Delivery,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3989047,"992,808.53"
Ministry of Justice,National Offender Management Service,06/04/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,G4S CARE & JUSTICE SERVICES LTD,3959264,"971,206.50"
Ministry of Justice,National Offender Management Service,13/04/2011,South Yorkshire Probation Trust,Contracted-out Probation Trusts,SOUTH YORKSHIRE PROBATION TRUST,3963156,"965,833.33"
Ministry of Justice,National Offender Management Service,15/04/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,RELIANCE SECURE TASK MANAGEMENT,3963806,"960,461.51"
Ministry of Justice,National Offender Management Service,28/04/2011,MoJ ICT,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3951153,"950,207.77"
Ministry of Justice,National Offender Management Service,14/04/2011,Norfolk & Suffolk Probation Trust,Contracted-out Probation Trusts,NORFOLK AND SUFFOLK PROBATION TRUST,3969810,"916,666.67"
Ministry of Justice,National Offender Management Service,15/04/2011,Avon and Somerset Probation Trust,Contracted-out Probation Trusts,AVON AND SOMERSET PROBATION TRUST,3975966,"916,666.67"
Ministry of Justice,National Offender Management Service,28/04/2011,NOMS ICT,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3974303,"892,919.04"
Ministry of Justice,National Offender Management Service,14/04/2011,West Mercia Probation Trust,Contracted-out Probation Trusts,WEST MERCIA PROBATION TRUST,3969539,"833,333.33"
Ministry of Justice,National Offender Management Service,15/04/2011,Hampshire Probation Trust,Contracted-out Probation Trusts,HAMPSHIRE PROBATION TRUST,3971294,"750,000.00"
Ministry of Justice,National Offender Management Service,05/04/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3960243,"709,254.00"
Ministry of Justice,National Offender Management Service,28/04/2011,MOJ Shared Services NOMS Delivery,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3953895,"707,455.76"
Ministry of Justice,National Offender Management Service,19/04/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,G4S CARE & JUSTICE SERVICES LTD,3959268,"692,900.38"
Ministry of Justice,National Offender Management Service,28/04/2011,MOJ Project & ATOS,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3989047,"689,640.15"
Ministry of Justice,National Offender Management Service,05/04/2011,National Operations Group,Contracted-out Other Services,HOME GROUP LTD (STONHAM),3958471,"688,368.00"
Ministry of Justice,National Offender Management Service,15/04/2011,Lancashire Probation Trust,Contracted-out Probation Trusts,LANCASHIRE PROBATION TRUST,3974959,"666,666.67"
Ministry of Justice,National Offender Management Service,20/04/2011,Thames Valley Probation Trust,Contracted-out Probation Trusts,THAMES VALLEY PROBATION TRUST,3981224,"666,666.67"
Ministry of Justice,National Offender Management Service,08/04/2011,Altcourse,Contracted-out operation of prisons and detention centres,FAZAKERLEY PRISON SERVICES LTD,3963240,"660,804.37"
Ministry of Justice,National Offender Management Service,06/04/2011,Estates Capacity,WIP - Acquisitions,HENRY BOOT CONSTRUCTION (U K) LTD,3962923,"643,200.00"
Ministry of Justice,National Offender Management Service,20/04/2011,Estates Capacity,WIP - Acquisitions,LORNE STEWART PLC,3981422,"641,170.80"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,WIP - Acquisitions,HENRY BOOT CONSTRUCTION (U K) LTD,3957217,"623,391.60"
Ministry of Justice,National Offender Management Service,05/04/2011,MoJ ICT,Contract IT Maintenance,MINISTRY OF JUSTICE,3957703,"600,000.00"
Ministry of Justice,National Offender Management Service,15/04/2011,Gloucestershire Probation Trust,Contracted-out Probation Trusts,GLOUCESTERSHIRE PROBATION TRUST,3971488,"599,195.83"
Ministry of Justice,National Offender Management Service,28/04/2011,MOJ Project & ATOS,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3953895,"590,468.22"
Ministry of Justice,National Offender Management Service,15/04/2011,Leicestershire Probation Trust,Contracted-out Probation Trusts,LEICESTERSHIRE&RUTLAND PROBATION TRUST,3971165,"584,250.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Dovegate,Contracted-out operation of prisons and detention centres,MORETON PRISON SERVICES LTD,3960387,"584,100.25"
Ministry of Justice,National Offender Management Service,20/04/2011,York and North Yorkshire Probation Trust,Contracted-out Probation Trusts,YORK AND NORTH YORKSHIRE PROBATION TRUST,3981727,"583,333.33"
Ministry of Justice,National Offender Management Service,11/04/2011,Estates Capacity,WIP - Acquisitions,AGECROFT PRISON MANAGEMENT LTD,3968417,"581,265.60"
Ministry of Justice,National Offender Management Service,28/04/2011,NOMS ICT,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3982472,"574,665.46"
Ministry of Justice,National Offender Management Service,14/04/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,G4S CARE & JUSTICE SERVICES LTD,3959248,"559,623.25"
Ministry of Justice,National Offender Management Service,06/04/2011,Estates Capacity,WIP - Acquisitions,WATES CONSTRUCTION LTD,3962619,"557,874.00"
Ministry of Justice,National Offender Management Service,05/04/2011,Estates Capacity,WIP - Acquisitions,ISG REGIONS LTD,3957345,"553,530.00"
Ministry of Justice,National Offender Management Service,05/04/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3959110,"550,488.00"
Ministry of Justice,National Offender Management Service,06/04/2011,Estates Capacity,WIP - Acquisitions,ISG REGIONS LTD,3961923,"539,592.00"
Ministry of Justice,National Offender Management Service,05/04/2011,Estates Capacity,WIP - Acquisitions,VINCI CONSTRUCTION UK LTD,3958715,"535,200.00"
Ministry of Justice,National Offender Management Service,07/04/2011,Estates Capacity,WIP - Acquisitions,INTERSERVE PROJECT SERVICES LTD,3964352,"523,310.40"
Ministry of Justice,National Offender Management Service,05/04/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,G4S CARE & JUSTICE SERVICES LTD,3959253,"507,006.67"
Ministry of Justice,National Offender Management Service,01/04/2011,Estates Capacity,WIP - Acquisitions,WILLMOTT DIXON CONSTRUCTION LTD,3955495,"467,121.52"
Ministry of Justice,National Offender Management Service,01/04/2011,Chief Operating Officers Office,Prison Shop Cost of Sales,EXEL EUROPE1 LTD,3952420,"465,097.97"
Ministry of Justice,National Offender Management Service,06/04/2011,MoJ ICT,Contract IT Maintenance,STERIA LTD,3963285,"462,890.02"
Ministry of Justice,National Offender Management Service,13/04/2011,Estates Capacity,WIP - Acquisitions,WILLMOTT DIXON CONSTRUCTION LTD,3971436,"452,595.30"
Ministry of Justice,National Offender Management Service,18/04/2011,Humberside Probation Trust,Contracted-out Probation Trusts,HUMBERSIDE PROBATION TRUST,3977336,"452,180.00"
Ministry of Justice,National Offender Management Service,14/04/2011,Cambridgeshire Probation Trust,Contracted-out Probation Trusts,CAMBRIDGESHIRE & PETERBOROUGH PROBATION TRUST,3970048,"416,666.67"
Ministry of Justice,National Offender Management Service,13/04/2011,Brixton,Contracted-out Building Maintenance,CARILLION SERVICES 2006 LTD,3964257,"413,121.50"
Ministry of Justice,National Offender Management Service,05/04/2011,NOMIS Programme,Contracted-out Computer Services,STERIA LTD,3957842,"412,524.19"
Ministry of Justice,National Offender Management Service,05/04/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3959202,"387,502.78"
Ministry of Justice,National Offender Management Service,13/04/2011,Director of HRs Office & Strategic Planning,Specialist Contractors,PARITY RESOURCES LTD,3972195,"380,711.05"
Ministry of Justice,National Offender Management Service,06/04/2011,Estates Capacity,WIP - Acquisitions,VINCI CONSTRUCTION UK LTD,3962385,"380,491.20"
Ministry of Justice,National Offender Management Service,05/04/2011,Estates Capacity,Contracted-out Building Maintenance,HOME OFFICE,3959904,"378,955.00"
Ministry of Justice,National Offender Management Service,08/04/2011,Learning and Development Group,Training and Further Education Courses,CITY OF BRISTOL COLLEGE,3964127,"376,643.00"
Ministry of Justice,National Offender Management Service,28/04/2011,Dorset Probation Trust,Contracted-out Probation Trusts,DORSET PROBATION TRUST,3978766,"367,784.58"
Ministry of Justice,National Offender Management Service,05/04/2011,Estates Capacity,WIP - Acquisitions,SHAYLOR CONSTRUCTION LTD,3959113,"363,094.80"
Ministry of Justice,National Offender Management Service,07/04/2011,Learning and Development Group,Training and Further Education Courses,CITY OF BRISTOL COLLEGE,3964245,"357,811.00"
Ministry of Justice,National Offender Management Service,06/04/2011,Estates Capacity,WIP - Acquisitions,INTERSERVE PROJECT SERVICES LTD,3962258,"355,328.40"
Ministry of Justice,National Offender Management Service,28/04/2011,Chief Operating Officers Office,Prison Shop Cost of Sales,EXEL EUROPE1 LTD,3963233,"352,684.74"
Ministry of Justice,National Offender Management Service,28/04/2011,Chief Operating Officers Office,Prison Shop Cost of Sales,EXEL EUROPE1 LTD,3971231,"336,322.61"
Ministry of Justice,National Offender Management Service,28/04/2011,Chief Operating Officers Office,Prison Shop Cost of Sales,EXEL EUROPE1 LTD,3980106,"336,256.00"
Ministry of Justice,National Offender Management Service,06/04/2011,Estates Capacity,WIP - Acquisitions,INTERSERVE PROJECT SERVICES LTD,3962926,"336,203.03"
Ministry of Justice,National Offender Management Service,19/04/2011,Estates Capacity,WIP - Acquisitions,SHEPHERD CONSTRUCTION LTD,3973428,"336,040.80"
Ministry of Justice,National Offender Management Service,20/04/2011,Estates Capacity,WIP - Acquisitions,INTERSERVE PROJECT SERVICES LTD,3980862,"334,474.99"
Ministry of Justice,National Offender Management Service,19/04/2011,Hertfordshire Probation Trust,Contracted-out Probation Trusts,HERTFORDSHIRE PROBATION TRUST,3973260,"333,333.33"
Ministry of Justice,National Offender Management Service,19/04/2011,Dorset Probation Trust,Contracted-out Probation Trusts,DORSET PROBATION TRUST,3978766,"333,333.33"
Ministry of Justice,National Offender Management Service,28/04/2011,NOMIS Programme,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3971779,"328,158.65"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,WIP - Acquisitions,HENRY BOOT CONSTRUCTION (U K) LTD,3957853,"321,788.40"
Ministry of Justice,National Offender Management Service,05/04/2011,Parc,Contracted-out operation of prisons and detention centres,BRIDGEND CUSTODIAL SERVICES LTD,3957762,"320,872.32"
Ministry of Justice,National Offender Management Service,05/04/2011,Estates Capacity,"New structural works, structural maintenance and equipment",VINCI CONSTRUCTION UK LTD,3958671,"319,144.80"
Ministry of Justice,National Offender Management Service,20/04/2011,NOMS CFO,Contracted-out Resettlement Services,A4E CONSULTING LTD,3980097,"312,441.60"
Ministry of Justice,National Offender Management Service,05/04/2011,Estates Capacity,WIP - Acquisitions,BRIDGEND CUSTODIAL SERVICES LTD,3957870,"308,233.20"
Ministry of Justice,National Offender Management Service,28/04/2011,Chief Operating Officers Office,Prison Shop Cost of Sales,EXEL EUROPE1 LTD,3988483,"295,850.14"
Ministry of Justice,National Offender Management Service,14/04/2011,NOMS CFO,Contracted-out Resettlement Services,TRIBAL EDUCATION LIMITED,3974143,"293,220.00"
Ministry of Justice,National Offender Management Service,28/04/2011,Quantum,Inter-Unit Charge (IUC),HP ENTERPRISE SERVICES UK LTD,3978941,"286,953.97"
Ministry of Justice,National Offender Management Service,01/04/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3946327,"282,000.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Yorks & Humberside Estate Management,Office Equipment Purchases Under £10k,F P S (FIRE PROTECTION) LTD,3957127,"277,554.00"
Ministry of Justice,National Offender Management Service,05/04/2011,Estates Capacity,WIP - Acquisitions,WATES CONSTRUCTION LTD,3959403,"271,033.20"
Ministry of Justice,National Offender Management Service,06/04/2011,Estates Capacity,WIP - Acquisitions,INTERSERVE PROJECT SERVICES LTD,3962275,"263,880.00"
Ministry of Justice,National Offender Management Service,19/04/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,RELIANCE SECURE TASK MANAGEMENT,3972458,"257,313.66"
Ministry of Justice,National Offender Management Service,26/04/2011,Newday ESF,Contracted-out Resettlement Services,WORKING LINKS,3985404,"253,145.45"
Ministry of Justice,National Offender Management Service,06/04/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3961880,"250,292.40"
Ministry of Justice,National Offender Management Service,05/04/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3958720,"244,377.60"
Ministry of Justice,National Offender Management Service,28/04/2011,NOMIS Programme,WIP - Acquisitions,HP ENTERPRISE SERVICES UK LTD,3971780,"236,196.28"
Ministry of Justice,National Offender Management Service,05/04/2011,Estates Capacity,WIP - Acquisitions,VINCI CONSTRUCTION UK LTD,3958672,"230,582.40"
Ministry of Justice,National Offender Management Service,08/04/2011,NOMIS Programme,Contracted-out Computer Services,STERIA LTD,3959246,"218,175.31"
Ministry of Justice,National Offender Management Service,08/04/2011,Estates Capacity,WIP - Acquisitions,VINCI CONSTRUCTION UK LTD,3966764,"217,492.72"
Ministry of Justice,National Offender Management Service,28/04/2011,Chief Operating Officers Office,Prison Shop Cost of Sales (No VAT),EXEL EUROPE1 LTD,3963233,"215,411.12"
Ministry of Justice,National Offender Management Service,28/04/2011,Central Budgets,In Cell TV Costs,COMPUTACENTER (U K) LTD,3989086,"211,213.02"
Ministry of Justice,National Offender Management Service,13/04/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,RELIANCE SECURE TASK MANAGEMENT,3971895,"210,775.43"
Ministry of Justice,National Offender Management Service,28/04/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,RELIANCE SECURE TASK MANAGEMENT,3976444,"210,775.43"
Ministry of Justice,National Offender Management Service,07/04/2011,Staffordshire & West Midlands Probation Trust,Capital Grants / Grant-in-Aid,STAFFORDSHIRE AND WEST MIDLANDS PROBATION TRUST,3964364,"204,824.16"
Ministry of Justice,National Offender Management Service,28/04/2011,York and North Yorkshire Probation Trust,Contracted-out Probation Trusts,YORK AND NORTH YORKSHIRE PROBATION TRUST,3981727,"203,746.67"
Ministry of Justice,National Offender Management Service,06/04/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3961747,"202,560.00"
Ministry of Justice,National Offender Management Service,08/04/2011,Estates Capacity,WIP - Acquisitions,VINCI CONSTRUCTION UK LTD,3965640,"201,951.60"
Ministry of Justice,National Offender Management Service,20/04/2011,Warwickshire Probation Trust,Contracted-out Probation Trusts,WARWICKSHIRE PROBATION TRUST,3980437,"200,000.00"
Ministry of Justice,National Offender Management Service,20/04/2011,Isis,Contracted-out Building Maintenance,CARILLION CONSTRUCTION LTD,3980422,"196,058.38"
Ministry of Justice,National Offender Management Service,27/04/2011,Altcourse,Contracted-out operation of prisons and detention centres,FAZAKERLEY PRISON SERVICES LTD,3982439,"193,463.36"
Ministry of Justice,National Offender Management Service,28/04/2011,NOMIS Programme,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3972679,"193,278.93"
Ministry of Justice,National Offender Management Service,28/04/2011,Chief Operating Officers Office,Prison Shop Cost of Sales (No VAT),EXEL EUROPE1 LTD,3980106,"192,460.40"
Ministry of Justice,National Offender Management Service,06/04/2011,Dovegate,Contracted-out operation of prisons and detention centres,MORETON PRISON SERVICES LTD,3960094,"189,516.13"
Ministry of Justice,National Offender Management Service,06/04/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3961745,"188,400.00"
Ministry of Justice,National Offender Management Service,01/04/2011,Chief Operating Officers Office,Prison Shop Cost of Sales (No VAT),EXEL EUROPE1 LTD,3952420,"184,668.39"
Ministry of Justice,National Offender Management Service,28/04/2011,Chief Operating Officers Office,Prison Shop Cost of Sales (No VAT),EXEL EUROPE1 LTD,3971231,"184,051.77"
Ministry of Justice,National Offender Management Service,18/04/2011,Estates Capacity,Consultancy,DRIVERS JONAS DELOITTE,3976761,"176,968.80"
Ministry of Justice,National Offender Management Service,06/04/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3962669,"176,033.77"
Ministry of Justice,National Offender Management Service,05/04/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,SERCO LTD,3953974,"175,383.16"
Ministry of Justice,National Offender Management Service,27/04/2011,Altcourse,Contracted-out operation of prisons and detention centres,FAZAKERLEY PRISON SERVICES LTD,3982450,"174,937.04"
Ministry of Justice,National Offender Management Service,28/04/2011,MoJ ICT,WIP - Acquisitions,HP ENTERPRISE SERVICES UK LTD,3967506,"174,538.56"
Ministry of Justice,National Offender Management Service,13/04/2011,Lincolnshire Probation Trust,Contracted-out Probation Trusts,LINCOLNSHIRE PROBATION TRUST,3973101,"166,666.67"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,WIP - Acquisitions,ISG REGIONS LTD,3958265,"164,271.64"
Ministry of Justice,National Offender Management Service,05/04/2011,Estates Capacity,WIP - Acquisitions,WATES CONSTRUCTION LTD,3958995,"163,178.40"
Ministry of Justice,National Offender Management Service,11/04/2011,Forest Bank,Contracted-out operation of prisons and detention centres,AGECROFT PRISON MANAGEMENT LTD,3968415,"161,740.80"
Ministry of Justice,National Offender Management Service,06/04/2011,NOMS CFO,Contracted-out Resettlement Services,PERTEMPS PEOPLE DEVELOPMENT GROUP,3962779,"160,478.88"
Ministry of Justice,National Offender Management Service,18/04/2011,Estates Capacity,Consultancy,RIDER LEVETT BUCKNALL UK LTD,3977099,"158,036.24"
Ministry of Justice,National Offender Management Service,28/04/2011,Quantum,Contracted-out Other Services,HP ENTERPRISE SERVICES UK LTD,3948508,"157,722.23"
Ministry of Justice,National Offender Management Service,12/04/2011,Estates Capacity,Consultancy,FAITHFUL + GOULD,3970214,"157,672.79"
Ministry of Justice,National Offender Management Service,28/04/2011,Quantum,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3948765,"155,392.59"
Ministry of Justice,National Offender Management Service,28/04/2011,Chief Operating Officers Office,Prison Shop Cost of Sales (No VAT),EXEL EUROPE1 LTD,3988483,"154,794.44"
Ministry of Justice,National Offender Management Service,14/04/2011,NOMS Cymru Regional Services,Training Materials,X M A LTD,3972467,"149,489.28"
Ministry of Justice,National Offender Management Service,05/04/2011,Estates Capacity,Structural works / maintenance - Fees & professional services,KIER REGIONAL LTD,3959617,"149,256.34"
Ministry of Justice,National Offender Management Service,28/04/2011,Quantum,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3903107,"147,532.00"
Ministry of Justice,National Offender Management Service,28/04/2011,Quantum,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3948259,"147,532.00"
Ministry of Justice,National Offender Management Service,28/04/2011,Quantum,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3982564,"147,532.00"
Ministry of Justice,National Offender Management Service,05/04/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3959109,"147,520.80"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Contracted-out Building Maintenance,HOME OFFICE,3984529,"147,376.65"
Ministry of Justice,National Offender Management Service,15/04/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3961879,"142,988.40"
Ministry of Justice,National Offender Management Service,15/04/2011,MOJ Project & ATOS,Occupational Health Services,ATOS ORIGIN IT SERVICES UK LTD,3975779,"142,778.67"
Ministry of Justice,National Offender Management Service,21/04/2011,Estates Capacity,WIP - Acquisitions,CITY OF WESTMINSTER,3980397,"140,231.19"
Ministry of Justice,National Offender Management Service,28/04/2011,Estates Capacity,Contracted-out Building Maintenance,HOME OFFICE,3988266,"138,806.02"
Ministry of Justice,National Offender Management Service,27/04/2011,Sheppey Clustered Services,WIP - Acquisitions,THURSTON GROUP PLC,3964398,"138,205.20"
Ministry of Justice,National Offender Management Service,06/04/2011,Estates Capacity,WIP - Acquisitions,HENRY BOOT CONSTRUCTION (U K) LTD,3962924,"135,578.83"
Ministry of Justice,National Offender Management Service,12/04/2011,Estates Capacity,WIP - Acquisitions,GALLIFORD TRY CONSTRUCTION LTD,3969739,"133,218.00"
Ministry of Justice,National Offender Management Service,28/04/2011,MoJ ICT,WIP - Acquisitions,HP ENTERPRISE SERVICES UK LTD,3947992,"131,552.71"
Ministry of Justice,National Offender Management Service,11/04/2011,NOMS CFO,Contracted-out Resettlement Services,THE MANCHESTER COLLEGE,3965633,"129,794.26"
Ministry of Justice,National Offender Management Service,28/04/2011,Transport Group,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3973850,"128,414.22"
Ministry of Justice,National Offender Management Service,05/04/2011,Estates Capacity,WIP - Acquisitions,WATES CONSTRUCTION LTD,3960123,"124,616.40"
Ministry of Justice,National Offender Management Service,04/04/2011,ROM - Yorkshire & Humberside,Counselling & Advisory Costs,LIFELINE PROJECT,3958101,"122,515.14"
Ministry of Justice,National Offender Management Service,06/04/2011,Newday ESF,Contract IT Maintenance,MOUCHEL MANAGEMENT CONSULTING LIMITED,3959055,"121,739.13"
