"Household recycling by material and region, England.  1996/97 to 2009/10",,,,,,,,,,,,,,,,
,Region,(All),,,,,,,,,,,,,,
,Tonnes (thousand),,Year,,,,,,,,,,,,,
1998/99,Recycling reuse composting,Other,West Midlands,9.19,,,,,,,,,,,,
1998/99,Recycling reuse composting,Other,Yorkshire and the Humber,12.68,,,,,,,,,,,,
1998/99,Recycling reuse composting,Paper & card,East,104.91,,,,,,,,,,,,
1998/99,Recycling reuse composting,Paper & card,East Midlands,59.64,,,,,,,,,,,,
1998/99,Recycling reuse composting,Paper & card,London,132.33,,,,,,,,,,,,
1998/99,Recycling reuse composting,Paper & card,North East,18.84,,,,,,,,,,,,
1998/99,Recycling reuse composting,Paper & card,North West,91.05,,,,,,,,,,,,
1998/99,Recycling reuse composting,Paper & card,South East,174.13,,,,,,,,,,,,
1998/99,Recycling reuse composting,Paper & card,South West,91.95,,,,,,,,,,,,
1998/99,Recycling reuse composting,Paper & card,West Midlands,58.49,,,,,,,,,,,,
1998/99,Recycling reuse composting,Paper & card,Yorkshire and the Humber,51.78,,,,,,,,,,,,
1998/99,Recycling reuse composting,Plastics,East,0.53,,,,,,,,,,,,
1998/99,Recycling reuse composting,Plastics,East Midlands,0.94,,,,,,,,,,,,
1998/99,Recycling reuse composting,Plastics,London,0.24,,,,,,,,,,,,
1998/99,Recycling reuse composting,Plastics,North East,0.09,,,,,,,,,,,,
1998/99,Recycling reuse composting,Plastics,North West,0.88,,,,,,,,,,,,
1998/99,Recycling reuse composting,Plastics,South East,3.01,,,,,,,,,,,,
1998/99,Recycling reuse composting,Plastics,South West,1.17,,,,,,,,,,,,
1998/99,Recycling reuse composting,Plastics,West Midlands,0.02,,,,,,,,,,,,
1998/99,Recycling reuse composting,Plastics,Yorkshire and the Humber,1.14,,,,,,,,,,,,
1998/99,Recycling reuse composting,Scrap metals & white goods,East,31.97,,,,,,,,,,,,
1998/99,Recycling reuse composting,Scrap metals & white goods,East Midlands,16.23,,,,,,,,,,,,
1998/99,Recycling reuse composting,Scrap metals & white goods,London,27.64,,,,,,,,,,,,
1998/99,Recycling reuse composting,Scrap metals & white goods,North East,5.99,,,,,,,,,,,,
1998/99,Recycling reuse composting,Scrap metals & white goods,North West,19.22,,,,,,,,,,,,
1998/99,Recycling reuse composting,Scrap metals & white goods,South East,65.64,,,,,,,,,,,,
