"Change in the relative abundance of priority species in the UK, 1970 to 2012 Year",Abundance,95% Confidence interval  min,95% Confidence interval  max,Year,Freqency of occurence,95% Confidence interval min,95% Confidence interval  max,,,,,,,,,,,,,
1985,,61.3,102.5,39.2,1985,87.3,65.7,65.0,,,,,,,,,,,,
1986,,61.0,100.4,38.4,1986,87.0,64.0,63.0,,,,,,,,,,,,
1987,,67.9,108.5,33.2,1987,86.6,62.4,61.0,,,,,,,,,,,,
1988,,61.6,111.8,28.9,1988,86.2,60.9,59.1,,,,,,,,,,,,
1989,,67.7,117.7,33.7,1989,85.9,59.6,57.3,,,,,,,,,,,,
1990,,66.5,110.2,29.5,1990,85.5,58.2,55.5,,,,,,,,,,,,
1991,,59.2,104.4,33.7,1991,85.1,56.9,53.8,,,,,,,,,,,,
1992,,67.1,106.5,31.4,1992,84.8,55.6,52.1,,,,,,,,,,,,
1993,100.0,59.4,102.4,24.5,1993,84.4,54.4,50.4,,,,,,,,,,,,
1994,101.4,62.2,102.1,23.6,1994,84.1,53.2,48.9,,,,,,,,,,,,
1995,123.0,63.7,99.4,31.1,1995,83.7,52.0,47.3,,,,,,,,,,,,
1996,134.2,60.7,102.5,30.9,1996,83.3,50.8,45.9,,,,,,,,,,,,
1997,139.0,58.4,104.2,20.5,1997,83.0,49.7,44.4,,,,,,,,,,,,
1998,122.5,51.5,99.4,14.5,1998,82.6,48.5,43.0,,,,,,,,,,,,
1999,115.3,52.1,93.6,13.4,1999,82.3,47.5,41.7,,,,,,,,,,,,
2000,120.3,55.7,96.7,14.7,2000,81.9,46.4,40.4,,,,,,,,,,,,
2001,119.2,56.1,93.4,15.2,2001,81.6,45.4,39.1,,,,,,,,,,,,
2002,116.0,53.1,94.0,14.5,2002,81.2,44.4,37.9,,,,,,,,,,,,
2003,115.8,57.0,94.9,19.5,2003,80.8,43.6,36.7,,,,,,,,,,,,
2004,119.9,60.5,99.3,18.4,2004,80.5,42.7,35.6,,,,,,,,,,,,
2005,120.4,57.9,95.7,13.6,2005,80.1,41.9,34.5,,,,,,,,,,,,
2006,125.6,56.6,89.0,16.8,2006,79.8,41.0,33.4,,,,,,,,,,,,
2007,126.2,48.5,93.6,11.3,2007,79.4,40.2,32.3,,,,,,,,,,,,
2008,128.6,45.2,90.4,11.9,2008,79.2,39.4,31.3,,,,,,,,,,,,
2009,130.0,49.9,99.4,14.9,2009,79.0,38.7,30.3,,,,,,,,,,,,
2010,123.5,55.5,97.8,16.4,2010,79.0,38.7,30.3,,,,,,,,,,,,
2011,130.1,55.5,96.3,16.9,,,,,,,,,,,,,,,,
2012,125.3,44.1,94.9,10.3,,,,,,,,,,,,,,,,
"Condition of all priority habitats by area (%), March 2014 ",Area (ha),Percentage area (%),,,,,,,,,,,,,,,,,,
Favourable SSSI,223377,11.9,,,,,,,,,,,,,,,,,,
Recovering SSSI,489478,26.1,,,,,,,,,,,,,,,,,,
Non SSSI under HLS,315652,16.9,,,,,,,,,,,,,,,,,,
Unfavourable SSSI,29629,1.6,,,,,,,,,,,,,,,,,,
Non SSSI Non HLS,814580,43.5,,,,,,,,,,,,,,,,,,
Total,1872716,100,,,,,,,,,,,,,,,,,,
"Condition of individual priority habitats by area (ha), March 2014",Priority Habitat,Favourable SSSI,Recovering SSSI,Non SSSI under HLS,Unfavourable SSSI,Non SSSI Non HLS,Total habitat area (ha),,,,,,,,,,,,,
Wetland,Blanket Bog,"24,995","158,623","69,426","3,622","23,624","280,289",,,,,,,,,,,,,
Wetland,Coastal and Floodplain Grazing Marsh,"15,641","11,452","53,443","3,763","133,882","218,182",,,,,,,,,,,,,
Coastal,Coastal Saltmarsh,"17,635","5,414",480,543,417,"24,489",,,,,,,,,,,,,
Coastal,Coastal Sand Dunes,"2,934","4,767",349,952,"1,583","10,584",,,,,,,,,,,,,
Coastal,Coastal Vegetated Shingle,"1,504","1,900",8,294,418,"4,124",,,,,,,,,,,,,
Woodland,Deciduous Woodland,"40,144","43,642","73,938","5,349","572,579","735,653",,,,,,,,,,,,,
Inland Rock,Limestone Pavements,550,"1,651",311,279,136,"2,928",,,,,,,,,,,,,
Grassland,Lowland Calcareous Grassland,"13,738","26,562","16,768",715,"7,785","65,567",,,,,,,,,,,,,
Grassland,Lowland Dry Acid Grassland,"2,960","4,473","4,424",528,"3,069","15,453",,,,,,,,,,,,,
Wetland,Lowland Fens,"5,696","6,201","4,004","1,384","5,038","22,323",,,,,,,,,,,,,
Heathland,Lowland Heathland,"18,095","25,537","5,835","2,215","5,137","56,819",,,,,,,,,,,,,
Grassland,Lowland Meadows,"6,155","6,346","12,588",905,"10,135","36,129",,,,,,,,,,,,,
Wetland,Lowland Raised Bog,470,"6,438",397,"1,362","1,024","9,690",,,,,,,,,,,,,
Coastal,Maritime Cliffs and Slope,"5,336","2,039","1,161",244,"2,681","11,461",,,,,,,,,,,,,
Heathland,Mountain Heath and Willow Scrub,1,"5,033","1,061",117,5,"6,216",,,,,,,,,,,,,
Coastal,Mudflats,"38,804","30,015",13,"2,865","6,280","77,978",,,,,,,,,,,,,
Grassland,Purple Moor-grass and Rush Pasture,"1,159","1,607","4,011",200,"2,351","9,328",,,,,,,,,,,,,
Wetland,Reedbeds,"2,414","1,474","1,352",256,"1,525","7,020",,,,,,,,,,,,,
Coastal,Saline Lagoons,932,101,15,138,178,"1,365",,,,,,,,,,,,,
Orchards,Traditional Orchards,35,11,"2,874",4,"12,678","15,601",,,,,,,,,,,,,
Grassland,Upland Calcareous Grassland,"1,901","4,947","2,630",110,765,"10,353",,,,,,,,,,,,,
Wetland,Upland Fens Flushes and Swamps,"1,997","4,239","3,748",274,458,"10,716",,,,,,,,,,,,,
Grassland,Upland Hay Meadows,465,297,"2,471",80,211,"3,525",,,,,,,,,,,,,
Heathland,Upland Heathland,"19,816","136,710","54,344","3,432","22,621","236,924",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
