Transparency data above £500 for period ending August 2010,,,,,,,
,,,,,,,
Dept Family,Entity,Posting Date,Expense Type,Expense Area,Vendor Name,Document ref,Amount
CLG,VTS,16/08/2010,IT Hardware,IT,MISCO,2100074407,"1,345.33"
CLG,VTS,03/08/2010,Audit Fees,Central Services,MOORE STEPHENS,2100074102,"4,042.00"
CLG,VTS,05/08/2010,Agency Staff,HR,MORGAN HUNT PUBLIC SECTOR LTD,2100074162,694.35
CLG,VTS,11/08/2010,Agency Staff,HR,MORGAN HUNT PUBLIC SECTOR LTD,2100074301,727.42
CLG,VTS,26/08/2010,Agency Staff,HR,MORGAN HUNT PUBLIC SECTOR LTD,2100074612,699.08
CLG,VTS,24/08/2010,Audit Fees,Central Services,NATIONAL AUDIT OFFICE,2100074541,"36,000.00"
CLG,VTS,03/08/2010,Accom Service Charge,Estates,NELSON BAKEWELL CLIENT ACCOUNT 998,2100074100,"22,162.85"
CLG,VTS,23/08/2010,Post,Central Services,NEOPOST LTD,2100074503,"2,500.00"
CLG,VTS,26/08/2010,Post,Central Services,NEOPOST LTD,2100074592,"3,500.00"
CLG,VTS,23/08/2010,Telecoms,IT,NTL TELEWEST BUSINESS,2100074514,"8,838.35"
CLG,VTS,04/08/2010,Printing,Corporate,QD - QUARTO DESIGN,2100074147,"6,533.00"
CLG,VTS,17/08/2010,Survey,Corporate,QUATROSYSTEM LTD,2100074415,"3,113.75"
CLG,VTS,06/08/2010,Rail and Hotel booking services,Board,REDFERN TRAVEL LIMITED,2100074217,281.99
CLG,VTS,06/08/2010,Rail and Hotel booking services,Central Services,REDFERN TRAVEL LIMITED,2100074217,(39.70)
CLG,VTS,06/08/2010,Rail and Hotel booking services,Estates,REDFERN TRAVEL LIMITED,2100074217,65.73
CLG,VTS,06/08/2010,Rail and Hotel booking services,Estates,REDFERN TRAVEL LIMITED,2100074217,69.16
CLG,VTS,06/08/2010,Rail and Hotel booking services,HR,REDFERN TRAVEL LIMITED,2100074217,425.39
CLG,VTS,06/08/2010,Rail and Hotel booking services,IT,REDFERN TRAVEL LIMITED,2100074217,641.57
CLG,VTS,06/08/2010,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100074217,"5,423.37"
CLG,VTS,27/08/2010,Rent,Estates,REMIZ PROPERTIES LTD,2100074617,"9,546.88"
CLG,VTS,13/08/2010,Agency Staff,HR,RETHINK RECRUITMENT SOLUTIONS LTD,2100074376,"15,862.50"
CLG,VTS,27/08/2010,Rent,Estates,SPEAKMAN & LIPTROTT,2100074616,"8,437.50"
CLG,VTS,03/08/2010,Printing,Corporate,STATIONERY OFFICE LTD,2100074099,"3,496.42"
CLG,VTS,05/08/2010,Rent,Estates,TRAFCOURT PROPERTIES LTD,2100074196,"7,882.78"
CLG,VTS,05/08/2010,Rent,Estates,TRAFCOURT PROPERTIES LTD,2100074197,"7,950.93"
CLG,VTS,05/08/2010,Projects,IT,VALUATION OFFICE AGENCY,2100074205,"142,921.98"
CLG,VTS,13/08/2010,Projects,IT,VALUATION OFFICE AGENCY,2100074377,"1,377.59"
CLG,VTS,13/08/2010,Support and Maintenance,IT,VALUATION OFFICE AGENCY,2100074377,"53,245.97"
CLG,VTS,23/08/2010,Telecoms,IT,VODAFONE UK,2100074539,"1,094.87"
CLG,VTS,26/08/2010,Printing,Corporate,WHITEHALL PRINTING CO (AVON) LTD,2100074609,"4,346.33"
