Supplier,Amount,Payment Date
BEST VALUE HOME CARE SERVICES UK LTD,1723.44,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,1525.32,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,677.9,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,1045.54,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,1217.9,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,777.33,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,1638.82,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,1038.68,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,1432.65,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,1640.96,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,692.43,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,1907.4,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,735.5,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,897.4,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,1306.4,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,655.09,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,1205.08,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,2401.34,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,916.63,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,680.46,30/09/2013
BETA DISTRIBUTION (SOUTH),6915.88,06/09/2013
BETA DISTRIBUTION (SOUTH),6719.66,09/09/2013
BETA DISTRIBUTION (SOUTH),6719.66,09/09/2013
BETA DISTRIBUTION (SOUTH),6719.66,20/09/2013
BEXLETTS,2120,16/09/2013
BIP SOLUTIONS LTD,708,26/09/2013
BIZYLET LTD,4988.4,04/09/2013
BIZYLET LTD,2648.4,23/09/2013
BIZYLET LTD,2648.4,27/09/2013
BLOOMBERG FINANCE LP,4978.9,30/09/2013
BLUE OCEAN SERVICES LTD,852.46,05/09/2013
BLUE OCEAN SERVICES LTD,1017,09/09/2013
BLUE OCEAN SERVICES LTD,1053.82,10/09/2013
BLUE OCEAN SERVICES LTD,1393.2,10/09/2013
BLUE OCEAN SERVICES LTD,587.66,10/09/2013
BLUE OCEAN SERVICES LTD,2100,10/09/2013
BLUE OCEAN SERVICES LTD,1394.75,10/09/2013
BLUE OCEAN SERVICES LTD,519.58,10/09/2013
BLUE OCEAN SERVICES LTD,1207.44,17/09/2013
BLUE OCEAN SERVICES LTD,3473.31,20/09/2013
BLUE OCEAN SERVICES LTD,1603.27,20/09/2013
BLUE OCEAN SERVICES LTD,651.04,20/09/2013
BLUE OCEAN SERVICES LTD,1192.91,20/09/2013
BLUE OCEAN SERVICES LTD,577.72,20/09/2013
BLUE OCEAN SERVICES LTD,1908.99,20/09/2013
BLUE OCEAN SERVICES LTD,545.67,20/09/2013
BLUE OCEAN SERVICES LTD,1297.42,20/09/2013
BLUE OCEAN SERVICES LTD,1985.79,20/09/2013
BLUE OCEAN SERVICES LTD,3034.32,20/09/2013
BLUE OCEAN SERVICES LTD,750.22,20/09/2013
BLUE OCEAN SERVICES LTD,745.07,20/09/2013
BLUE OCEAN SERVICES LTD,738.49,20/09/2013
BLUE OCEAN SERVICES LTD,1908.99,20/09/2013
BNP PARIBAS LEASE GROUP,1028.4,06/09/2013
BOND DICKINSON LLP,1418.88,12/09/2013
BOOTS UK LIMITED,742,11/09/2013
BOTTOMLINE TECHNOLOGIES EUROPE LTD,4437.18,16/09/2013
BOTTOMLINE TECHNOLOGIES EUROPE LTD,3438.89,24/09/2013
BOURNE AMENITY LTD,684.08,18/09/2013
BOUYGUES E & S INFRASTRUCTURE LTD,44414.91,02/09/2013
BRAND BAGS LTD T/A BRAND BAGS MEDIA,819.6,25/09/2013
BRENTONS OF BLACKHEATH,1875,02/09/2013
BRIDGING THE GAP,2600,26/09/2013
BRIGHT HORIZONS FAMILY SOLUTIONS,5776,11/09/2013
BRITISH GAS TRADING LTD,975.56,04/09/2013
BRITISH TELECOM PLC,529.06,12/09/2013
BROMLEY HEALTHCARE CIC,2100,04/09/2013
BSI,1200,24/09/2013
BSI,2466,24/09/2013
BT PLC,771.55,06/09/2013
BT PLC,1077.6,26/09/2013
BULL INFORMATION SOLUTIONS LTD,30737.65,16/09/2013
BURRAGE LIMITED,1918,09/09/2013
C & C SECURITY SYSTEMS,726,17/09/2013
C & J SUPPLIES,1500,24/09/2013
CALDER INSULATIONS LIMITED (JR FOWLER A/F),4032,05/09/2013
CALDER INSULATIONS LIMITED (JR FOWLER A/F),600,05/09/2013
CALDER INSULATIONS LIMITED (JR FOWLER A/F),1080,10/09/2013
CALDER INSULATIONS LIMITED (JR FOWLER A/F),816,10/09/2013
CALDER INSULATIONS LIMITED (JR FOWLER A/F),2352,10/09/2013
CALDER INSULATIONS LIMITED (JR FOWLER A/F),7260,11/09/2013
CALDER INSULATIONS LIMITED (JR FOWLER A/F),3391.2,11/09/2013
CALDER INSULATIONS LIMITED (JR FOWLER A/F),943.2,11/09/2013
CALDER INSULATIONS LIMITED (JR FOWLER A/F),2880,11/09/2013
CALDER INSULATIONS LIMITED (JR FOWLER A/F),984,27/09/2013
CALDER INSULATIONS LIMITED (JR FOWLER A/F),4716,27/09/2013
CALDER INSULATIONS LIMITED (JR FOWLER A/F),871.2,27/09/2013
CALDER INSULATIONS LIMITED (JR FOWLER A/F),1248,27/09/2013
CALDER INSULATIONS LIMITED (JR FOWLER A/F),1248,27/09/2013
CALLCREDIT LIMITED,2400,20/09/2013
CANTERBURY CHRIST CHURCH UNIVERSITY,1722.5,16/09/2013
CAPITA IT SERVICES (BSF) LIMITED,64825.03,20/09/2013
CAPITA IT SERVICES (BSF) LIMITED,1188,30/09/2013
CAPITAL HOMECARE (UK) LIMITED,1525.6,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1525.6,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1518.8,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,846.44,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,846.44,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,842.8,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1538.56,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1538.56,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1538.56,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,784.91,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1179.44,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1179.44,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1179.44,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,766.3,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1864.64,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1856.32,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1856.32,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1717.84,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1723.9,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1717.84,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,2245.62,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,2245.62,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,2237.68,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1087.42,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,747.47,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,2257.6,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,2257.6,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1181.1,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1851.6,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1851.6,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1846.32,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,660.38,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,660.38,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,556.78,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,556.78,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,553.76,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,932.51,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,928.36,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,897.68,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,897.68,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,897.68,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,897.68,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1076.88,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1076.88,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1076.88,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,546.91,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,546.91,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,546.91,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,544.64,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1084.95,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1084.95,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,1080.8,09/09/2013
CAPITAL HOMECARE (UK) LIMITED,2513,10/09/2013
CAPITAL HOMECARE (UK) LIMITED,801.26,11/09/2013
CAPITAL HOMECARE (UK) LIMITED,1483.35,11/09/2013
CAPITAL HOMECARE (UK) LIMITED,859.99,16/09/2013
CAPITAL HOMECARE (UK) LIMITED,859.99,16/09/2013
CAPITAL HOMECARE (UK) LIMITED,856.96,16/09/2013
CAPITAL HOMECARE (UK) LIMITED,638.07,16/09/2013
CAPITAL HOMECARE (UK) LIMITED,688.2,16/09/2013
CAPITAL HOMECARE (UK) LIMITED,688.2,16/09/2013
CAPITAL HOMECARE (UK) LIMITED,1721.66,16/09/2013
CAPITAL HOMECARE (UK) LIMITED,1227.94,16/09/2013
CAPITAL HOMECARE (UK) LIMITED,647.87,16/09/2013
CAPITAL HOMECARE (UK) LIMITED,647.87,16/09/2013
CAPITAL HOMECARE (UK) LIMITED,645.6,16/09/2013
CAPITAL HOMECARE (UK) LIMITED,2189.76,16/09/2013
CAPITAL HOMECARE (UK) LIMITED,762.89,16/09/2013
CAPITAL HOMECARE (UK) LIMITED,762.89,16/09/2013
CAPITAL HOMECARE (UK) LIMITED,759.48,16/09/2013
CAPITAL HOMECARE (UK) LIMITED,706.59,16/09/2013
CAPITAL HOMECARE (UK) LIMITED,706.59,16/09/2013
CAPITAL HOMECARE (UK) LIMITED,528.81,16/09/2013
CAPITAL HOMECARE (UK) LIMITED,910.22,16/09/2013
CAPITAL HOMECARE (UK) LIMITED,1974.56,16/09/2013
CAPITAL HOMECARE (UK) LIMITED,647.87,18/09/2013
CAPITAL HOMECARE (UK) LIMITED,722.43,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,1974.5,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,1974.56,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,1974.56,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,1864.64,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,1765.55,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,1856.32,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,1853.28,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,1853.28,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,1853.28,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,1856.32,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,1436.66,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,1436.66,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,1436.66,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,1433.64,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,2513,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,2513,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,2513,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,2143.12,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,2143.12,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,2143.12,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,593.37,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,593.37,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,590.72,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,664.3,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,836.6,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,914.1,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,784.27,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,784.27,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,782,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,820.39,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,820.39,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,919.52,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,919.52,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,919.52,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,916.5,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,682.82,20/09/2013
CAPITAL HOMECARE (UK) LIMITED,916.33,24/09/2013
CAPITAL HOMECARE (UK) LIMITED,717.92,24/09/2013
CAPITAL HOMECARE (UK) LIMITED,569.55,24/09/2013
CARBY COMMUNITY CARE LTD,1950,11/09/2013
CARE LTD,8285.71,20/09/2013
CAREER VISION,4872,23/09/2013
CARERS UK,3600,06/09/2013
CARLTON PROPERTY SERVICES,6372,16/09/2013
CARLTON PROPERTY SERVICES,1562,16/09/2013
CAROUSEL RIDES LTD,3000,12/09/2013
CARRERA LITHO LTD,770.4,06/09/2013
CARTER BROOKE LTD,2112.78,10/09/2013
CASHFRIDAY LTD,1140,05/09/2013
CASHFRIDAY LTD,1721.3,05/09/2013
CASHFRIDAY LTD,1140,09/09/2013
CASHFRIDAY LTD,6840,23/09/2013
CASTLE POINT GAS&HEATING CO LTD,6851.04,25/09/2013
CASTLEMANIA CORPORATE HIRE,1290,16/09/2013
CATFORD COURIERS,1633.86,12/09/2013
CAYSH HOUSING PROJECT,7529.25,11/09/2013
CAYSH HOUSING PROJECT,7529.25,11/09/2013
CAYSH HOUSING PROJECT,7529.25,12/09/2013
CB RICHARD ELLIS LTD,4200,27/09/2013
CHARING VALE LTD,1887,26/09/2013
CHARLOPAR LTD,607.6,17/09/2013
CHARLTON ATHLETIC F.C.,54000,06/09/2013
CHEQUERS CONTRACT SERVICES LIMITED,1056.55,10/09/2013
CHEQUERS CONTRACT SERVICES LIMITED,1056.55,10/09/2013
CHEQUERS CONTRACT SERVICES LIMITED,1056.55,10/09/2013
CHEQUERS CONTRACT SERVICES LIMITED,2089.58,10/09/2013
CHIVROSE HEALTHCARE LIMITED,1839.64,26/09/2013
CHUBB FIRE LIMITED,9398.6,06/09/2013
CHUBB FIRE LIMITED,703.09,23/09/2013
CHUBB FIRE LIMITED,847.64,23/09/2013
CHUBB FIRE LIMITED,894.3,26/09/2013
CIPD,1956,25/09/2013
CIPFA,2058,17/09/2013
CIPFA,2058,16/09/2013
CIPFA,2058,16/09/2013
CIPFA BUSINESS LIMITED,2100,26/09/2013
CIRCLE SERVICES GROUP,594,04/09/2013
CITY HEIGHTS(LONDON)LTD P WALKER A-F,42349.91,19/09/2013
CITY HEIGHTS(LONDON)LTD P WALKER A-F,7171.7,25/09/2013
CITY HEIGHTS(LONDON)LTD P WALKER A-F,1800,30/09/2013
CITY HEIGHTS(LONDON)LTD P WALKER A-F,2640,30/09/2013
CITY OF WESTMINSTER,4500,20/09/2013
CIVICA LIMITED,40800,17/09/2013
CIVICA LIMITED,2340,17/09/2013
CIVIL CEREMONIES LTD,1667.16,06/09/2013
CJ WELLINGS LIMITED,594,20/09/2013
CLEAR SKIES SOFTWARE,2220,16/09/2013
CLOCKHOUSE COMMUNITY CENTRE ASSOCIATON (GREENWICH),552,26/09/2013
CLOCKHOUSE COMMUNITY CENTRE ASSOCIATON (GREENWICH),980,30/09/2013
CLOCKHOUSE COMMUNITY CENTRE ASSOCIATON (GREENWICH),679,30/09/2013
CLYDE & CO LLP,3590,18/09/2013
COASTAL CARE HOME LTD T/AS BISHOPSTEIGNTON HOUSE,2250,26/09/2013
COMMUNITY LINKS TRADING LIMITED,594,02/09/2013
COMMUNITY LINKS TRADING LIMITED,2361.6,09/09/2013
COMMUNITY OPTIONS,91910,17/09/2013
COMMUNITY SYSTEMS (NORTH LONDON) LTD,1666,16/09/2013
COMMUNITY SYSTEMS (NORTH LONDON) LTD,2083,16/09/2013
COMMUNITY SYSTEMS (NORTH LONDON) LTD,5000,24/09/2013
COMPUTERSHARE VOUCHER SERVICES,1058.75,17/09/2013
CONNECT FAMILY PLACEMENTS LTD,728.58,03/09/2013
CONNECT FAMILY PLACEMENTS LTD,3804.32,05/09/2013
CONNECT FAMILY PLACEMENTS LTD,3804.32,05/09/2013
CONTACT COMMUNICATIONS LTD,8813.44,26/09/2013
