Property Reference Number,Primary Liable party name,Full Property Address,Current Rateable Value
103357109470N,Tarmac Northern Ltd,"Aggregates Wharf, Anchorline Basin, Ramsden Dock Road, Barrow In Furness, Cumbria, LA14 2TB",9300
103357200019N,Barros Trading Ltd,"1b, Ramsden Dock Road, Barrow In Furness, Cumbria, LA14 2SF",2275
103357200131N,Barros Trading Ltd,"13a, Ramsden Dock Road, Barrow In Furness, Cumbria, LA14 2TG",3300
103357200190N,Cumbria County Council,"19, Ramsden Dock Road, Barrow In Furness, Cumbria, LA14 2TP",2700
103357209001N,Ormonde Energy Ltd,"Ormonde Wind Farm, Ramsey Way, Barrow In Furness, Cumbria, LA14 2TW",47000
103357209003N,Barrow Offshore Wind Limited,"Dong Barrow Off Shore Wind , Ramsey Way, Barrow In Furness, Cumbria, LA14 2GR",50000
103357209004N,Dong Wind (Uk) Ltd,"Dong Walney Off Shore Wind, Ramsey Way, Barrow In Furness, Cumbria, LA14 2GR",117000
103357209005N,Dong Energy Power (Uk) Ltd,"West Of Duddon Wind Farm, Ramsey Way, Barrow In Furness, Cumbria, LA14 2GR",199000
103357209012N,Dong Energy Power (Uk) Ltd,"Dong Energy Power (Uk) Ltd, Ramsey Way, Barrow In Furness, Cumbria, LA14 2TW",81500
103357209013N,Associated British Ports,"Former Siemens Plc Compound, Ramsey Way, Barrow In Furness, Cumbria, LA14 2TW",14000
103357209030N,"Royal Naval Association Club,","Royal Naval Association Club, Ramsden Dock Road, Barrow In Furness, Cumbria, LA14 2TN",7800
103357209034N,"Underwater Diving Services,","Underwater Diving Services, Anchorline Basin, Ramsden Dock Road, Barrow In Furness, Cumbria, LA14 2TB",4750
103357209035N,Associated British Ports,"Ramsden Dock (Undertaking)., Ramsden Dock, Barrow In Furness, Cumbria, LA14 2TB",220000
103357209041N,Ramsden Dock Leisure Limited,"Chandlers, Ramsden Dock Road, Barrow In Furness, Cumbria, LA14 2TN",12400
103357209582N,British Gas,"Condensate Tank Farm, Ramsden Dock, Barrow In Furness, Cumbria, LA14 2TB",343000
103357209583N,British Gas,"Gas Terminal Rampside To Condensate Tank Farm, Ramsden Dock, Barrow In Furness, Cumbria, LA14 2TB",74500
103357209590N,Rovtech Solutions Ltd,"Rovtech Systems Ltd, Ramsden Dock Road, Barrow In Furness, Cumbria, LA14 2TB",3900
103357209600N,"Sea Cadet Corporation,","Sir John Fisher Sailing Centre, St Andrews Street, Barrow In Furness, Cumbria, LA14 2TB",20000
103360609080N,Cumbria County Council,"No 65 Garage, St Andrews Crossing, Barrow In Furness, Cumbria, LA14 2SS",460
103360609110N,"St Andrews Engineering Ltd,","St Andrews Engineering Ltd, St Andrews Crossing, Barrow In Furness, Cumbria, LA14 2SS",11250
103360609121N,Cumbria County Council,"B L Gilbert (Barrow) Ltd, St Andrews Crossing, Barrow In Furness, Cumbria, LA14 2SS",3100
103360709030N,"B L Gilbert (Barrow) Ltd,","B L Gilbert (Barrow) Ltd, St Andrews Street, Barrow In Furness, Cumbria, LA14 2SU",5800
103364000081N,Barros Trading Ltd,"8a,, Sloop Street, Barrow In Furness, Cumbria, LA14 2RA",1125
103365200042N,Acorn Residential Lettings,"4b, Steamer Street, Barrow In Furness, Cumbria, LA14 2SG",1475
104102000881N,Fairoak Housing Association,"88,, Anson Street, Barrow In Furness, Cumbria, LA14 1NW",510
104102000910N,Driveline Engineering Services Ltd,"91, Anson Street, Barrow In Furness, Cumbria, LA14 1NW",25500
104102001080N,Furness Homeless Support Group,"27, Bath Street, Barrow In Furness, Cumbria, LA14 5TY",1775
104105900160N,Digital Aerial Vision Limited,"16, Bath Street, Barrow In Furness, Cumbria, LA14 1LZ",3550
104105900200N,Project John Ltd,"20, Bath Street, Barrow In Furness, Cumbria, LA14 1NE",4100
104105900231N,Furness Homeless Support Group,"23, Bath Street, Barrow In Furness, Cumbria, LA14 1NL",3900
104105909000N,Cumbria County Council,"Hindpool Nursery School, Bath Street, Barrow In Furness, Cumbria, LA14 5TS",13000
104105909450N,Yool Ltd,"Landscape House, Bath Street, Barrow In Furness, Cumbria, LA14 5TR",3100
104105909460N,Jcdecaux Uk Limited,"Opp Allotment Gardens, Bath Street, Barrow In Furness, Cumbria, LA14 5TR",3100
104107309010N,Cumbria County Council,"Playing Field St James County Infants School, Blake Street, Barrow In Furness, Cumbria, LA14 1NY",720
104107309023N,Hindpool Sports Association,"Brisbane Park, Blake Street, Barrow In Furness, Cumbria, LA14 1NY",4100
104107309024N,Cumbria County Council,"Brisbane Park Infant School,, Blake Street, Barrow In Furness, Cumbria, LA14 1NY",19750
104107309025N,Hindpool Community Base,"Hindpool Community Base, Bath Street, Barrow In Furness, Cumbria, LA14 1NY",5000
104107309035N,Cumbria County Council,"St James C E Jnr School, Blake Street, Barrow In Furness, Cumbria, LA14 1NY",21000
104107309038N,Cumbria County Council,"Hindpool Police Office, Adelaide Street, Barrow In Furness, Cumbria, LA14 5TX",690
104112109261N,B & D Motors Ltd,"B & D Motors, 99, Chatsworth Street, Barrow In Furness, Cumbria, LA14 5TP",9800
104112109450N,J R Gabriel Properties Ltd,"County Coachbuilders (Barrow) Ltd, Chatsworth Street, Barrow In Furness, Cumbria, LA14 5TP",7100
104119509490N,Ramsden Square Rank Limited,"Ramsden Square Rank Ltd, Duke Street, Barrow In Furness, Cumbria, LA14 1XX",1450
104119509511N,Pps Electrical Ltd,"187-191, Duke Street, Barrow In Furness, Cumbria, LA14 1XS",21250
104119509570N,Cumbria County Council,"Corner Of Anson Street, Duke Street, Barrow In Furness, Cumbria, LA14 1XX",1500
104129800600N,The Birchall Trust,"60, Hartington Street, Barrow In Furness, Cumbria, LA14 5SR",4900
104129809010N,Furness Gym Club,"Kings Hall, Hartington Street, Barrow In Furness, Cumbria, LA14 5SR",11250
104129809015N,Flexappeal Fitness Ltd,"Flexappeal Fitness Ltd, Hartington Street, Barrow In Furness, Cumbria, LA14 5SS",6700
104129809028N,Cumbria Cvs,"Lesser Kings Hall,, Hartington Street, Barrow In Furness, Cumbria, LA14 5SR",8900
104131209116N,Purple World Ltd T/A Costa,"Costa Coffee, Hindpool Road, Barrow In Furness, Cumbria, LA14 2PD",43250
104131209118N,"Next Plc,","Next Plc, Hindpool Road, Barrow In Furness, Cumbria, LA14 2PD",146000
104131209119N,Brantano (Uk) Ltd,"Brantano (Uk) Ltd, Hindpool Road, Barrow In Furness, Cumbria, LA14 2PD",83000
104131209120N,"Barrow R F C Ltd,","Barrow Rugby Football Club, Craven Park, Hindpool Road, Barrow In Furness, Cumbria, LA14 1XP",5500
104131209121N,Steinhoff Uk Group Props Ltd,"Benson For Beds, Hindpool Road, Barrow In Furness, Cumbria, LA14 2PD",89500
104131209122N,Carpet Right Plc,"Carpet Right, Hindpool Road, Barrow In Furness, Cumbria, LA14 2PD",111000
104131209123N,Poundland Limited,"Poundland, Hindpool Road, Barrow In Furness, Cumbria, LA14 2PD",85000
104131209124N,Aldi Stores Limited,"Aldi, Hindpool Road, Barrow In Furness, Cumbria, LA14 2PD",153000
104131209125N,The Restaurant Group Uk Ltd T/A Frankie & Benny'S,"Frankie & Bennys, Hindpool Road, Barrow In Furness, Cumbria, LA14 2PD",76500
104131209127N,Maiquez Ltd,"Subway, Hindpool Road, Barrow In Furness, Cumbria, LA14 2PD",20500
104131209130N,Primesight Ltd,"(Site 2967)Adj Craven Park Stand, Hindpool Road, Barrow In Furness, Cumbria, LA14 2PF",4400
104131209190N,Tjx Uk Ltd,"Tk Maxx, Hollywood Park, Hindpool Road, Barrow In Furness, Cumbria, LA14 1YE",154000
104131209191N,Hbn Restaurants Ltd T/A Mcdonalds Restaurants,"Mcdonalds, Hollywood Park, Hindpool Road, Barrow-In-Furness, Cumbria, LA14 2NA",76000
104131209192N,B J R Foods Ltd,"Kfc, Hollywood Park, Hindpool Road, Barrow-In-Furness, Cumbria, LA14 1YE",58000
104131209193N,Pizza Hut (Uk) Ltd,"Pizza Hut, Hollywood Park, Hindpool Road, Barrow-In-Furness, Cumbria, LA14 2NA",64500
104131209194N,Night Realisations Plc (In Admin),"Klaussner Furniture, Hollywood Park, Hindpool Road, Barrow-In-Furness, Cumbria, LA14 2NA",121000
104131209290N,B & M Retail Ltd,"B & M Retail Ltd, Hollywood Park, Hindpool Road, Barrow-In-Furness, Cumbria, LA14 1YE",121000
104131209300N,Currys Ltd,"Currys, Hollywood Park, Hindpool Road, Barrow In Furness, Cumbria, LA14 2NA",194000
104131209311N,Dunelm Soft Furnishings Plc,"Dunelm Soft Furnishings Plc, Hollywood Park, Hindpool Road, Barrow In Furness, Cumbria, LA14 2NA",295000
104131209320N,Majestic Bingo Limited,"Top Ten Bingo, Hollywood Park, Hindpool Road, Barrow-In-Furness, Cumbria, LA14 2NA",114500
104131209900N,Vue Entertainment Ltd,"Apollo Cinemas, Hollywood Park, Hindpool Road, Barrow-In-Furness, Cumbria, LA14 1YE",78000
104179401410N,Primesight Ltd,"(Site 4392)Adj Craven Park Entrance, Hindpool Road, Barrow In Furness, Cumbria, LA14 1XP",2200
104179401420N,Primesight Ltd,"Site 3329, Opp North Rd,, Craven Park Stand, Hindpool Road, Barrow In Furness, Cumbria, LA14 2PF",3350
104231609042N,Barrow Bluebirds Ltd,"Barrow Afc Ltd, Holker Street, Barrow In Furness, Cumbria, LA14 5UW",20000
104231609043N,Barrow Bluebirds Ltd,"Bluebirds Study Centre At Barrow Afc, Holker Street, Barrow In Furness, Cumbria, LA14 5UW",6000
104231609044N,Barrow Borough Council,"Car Park, Holker Street, Barrow In Furness, Cumbria, LA14 5RB",3600
104231609045N,Barrow Borough Council,"North Car Park, Holker Street, Barrow In Furness, Cumbria, LA14 5RB",6300
104231609046N,E E Limited,"Orange (Cum0101) At Barrow Arc, Wilkie Road, Barrow-In-Furness, Cumbria, LA14 5UT",7900
104231609170N,"British Legion Club,","Royal British Legion Club, Holker Street, Barrow In Furness, Cumbria, LA14 5RQ",14750
104231609200N,T W R Developments Limited,"Kwik Save, Holker Street, Barrow In Furness, Cumbria, LA14 5RA",115000
104231609251N,Primesight Ltd,"Adj Kwik Save, Holker Street, Barrow In Furness, Cumbria, LA14 5RA",1000
104231609900N,Nw R.F.C.A,"T A Centre, Holker Street, Barrow In Furness, Cumbria, LA14 1HL",32500
104232209011N,"Furness College Corporation,","Furness College, Channelside, Bessemer Way, Barrow In Furness, Cumbria, LA14 5RL",925000
104232209034N,Porchwood Properties Limited In Liquidation,"Rooms 304-309 College House, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",17000
104232209036N,Nacro,"Bala Technology Ltd, College House, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",2400
104232209046N,Cumbria Partnership Nhs Foundation Trust,"1st Flr Offices Rear College House, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",12500
104232209051N,College Day Nursery Ltd,"College House Day Nursery, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",14500
104232209052N,Unitel Direct Ltd,"Unitel Direct, 3rd Floor College Ho, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",6900
104232209054N,Intelligent Web Solutions Ltd,"Room 110 College House, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",2750
104232209057N,Disability Association Carlisle & Eden,"College House, Rooms 201-202, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",2600
104232209058N,Jhp Group Ltd,"College House, Room 204, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",2950
104232209059N,All Points North Plc (Post Administration),"College House, Rooms 205-206, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",5300
104232209061N,Jhp Group Ltd,"College House, Room 214, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",680
104232209062N,Porchwood Properties Limited In Liquidation,"College House, Room 102, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",230
104232209063N,Porchwood Properties Limited In Liquidation,"College House, Rooms 103-108, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",7100
104232209064N,Porchwood Properties Limited In Liquidation,"College House, Room 109, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",2225
104232209065N,Be Creative Design Ltd,"Room 212 College House, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",2250
1042322090664N,Cumbria Partnership Nhs Foundation Trust,"Cumbria Part Nhs Trust, College House, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",34750
104232209066N,Learn Direct,"Room 213 College House, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",3150
104232209067N,Porchwood Properties Limited In Liquidation,"College House, Rooms 035-044, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",24500
104232209130N,Nacro,"Rooms 111-121,1st Floor College House, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",20250
104232209990N,Mod 5 :Cdp,"Tide Gauge Cable Facility, Barrow, Barrow-In-Furness, Cumbria, LA14 1AF",470
104233409205N,Urban Extreme Ltd,"Urban Extreme Ltd Indoor Skate Park, James Freel Close, Barrow In Furness, Cumbria, ",44500
104233900010N,"D Stoker Group Ltd,","Dsg Vauxhall, 1, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PG",81500
