Figure 2,
0.1,1
0.2,3
0.3,3
0.4,1
0.5,3
0.6,1
0.7,3
0.8,18
0.9,26
1,35

Figure A4.1c,
Upper bound,Frequency
-1,0
-0.9,1
-0.8,0
-0.7,1
-0.6,1
-0.5,2
-0.4,1
-0.3,1
-0.2,1
-0.1,2
0,1
0.1,1
0.2,1
0.3,3
0.4,3
0.5,7
0.6,10
0.7,8
0.8,17
0.9,29
1,13

Figure A4.2a,
Upper bound,Frequency
-1,1
-0.9,0
-0.8,1
-0.7,0
-0.6,0
-0.5,1
-0.4,1
-0.3,1
-0.2,0
-0.1,1
0,2
0.1,2
0.2,4
0.3,3
0.4,0
0.5,4
0.6,8
0.7,9
0.8,13
0.9,43
1,18

Figure A4.2b,
Upper bound,Frequency
-1,1
-0.9,1
-0.8,0
-0.7,1
-0.6,0
-0.5,1
-0.4,2
-0.3,2
-0.2,1
-0.1,1
0,2
0.1,1
0.2,1
0.3,3
0.4,2
0.5,7
0.6,7
0.7,10
0.8,26
0.9,27
1,13

Figure A4.2c,
Upper bound,Frequency
-1,0
-0.9,1
-0.8,1
-0.7,0
-0.6,2
-0.5,1
-0.4,1
-0.3,2
-0.2,1
-0.1,0
0,2
0.1,0
0.2,2
0.3,1
0.4,6
0.5,4
0.6,11
0.7,7
0.8,22
0.9,27
1,12

Figure A4.4a,
Upper bound,Frequency
-1,0
-0.9,0
-0.8,0
-0.7,0
-0.6,0
-0.5,0
-0.4,1
-0.3,2
-0.2,1
-0.1,2
0,6
0.1,1
0.2,3
0.3,1
0.4,3
0.5,2
0.6,4
0.7,6
0.8,14
0.9,38
1,44

Figure A4.4.b,
Upper bound,Frequency
-1,0
-0.9,0
-0.8,0
-0.7,0
-0.6,0
-0.5,0
-0.4,0
-0.3,0
-0.2,0
-0.1,2
0,6
0.1,4
0.2,2
0.3,3
0.4,3
0.5,1
0.6,3
0.7,6
0.8,18
0.9,38
1,41

Figure A4.4c,
Upper bound,Frequency
-1,0
-0.9,0
-0.8,0
-0.7,0
-0.6,0
-0.5,0
-0.4,0
-0.3,0
-0.2,0
-0.1,0
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,128

Figure A4.7a,
Upper bound,Frequency
-1,0
-0.9,0
-0.8,0
-0.7,2
-0.6,0
-0.5,2
-0.4,0
-0.3,1
-0.2,0
-0.1,0
0,0
0.1,0
0.2,2
0.3,1
0.4,0
0.5,1
0.6,3
0.7,1
0.8,1
0.9,3
1,2

Figure A4.7b,
Upper bound,Frequency
-1,0
-0.9,0
-0.8,0
-0.7,0
-0.6,1
-0.5,0
-0.4,1
-0.3,0
-0.2,0
-0.1,0
0,0
0.1,1
0.2,0
0.3,0
0.4,0
0.5,5
0.6,2
0.7,3
0.8,3
0.9,5
1,5

Figure A4.7c,
Upper bound,Frequency
-1,0
-0.9,0
-0.8,0
-0.7,0
-0.6,0
-0.5,0
-0.4,0
-0.3,0
-0.2,0
-0.1,0
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,1
0.8,0
0.9,4
1,26

Figure A4.7d,
Upper bound,Frequency
-1,0
-0.9,0
-0.8,0
-0.7,0
-0.6,0
-0.5,0
-0.4,0
-0.3,0
-0.2,0
-0.1,0
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,1
0.8,0
0.9,11
1,17
