Newcastle City Council Invoices over £500 paid in May 2010,,,,,,

Directorate,Service Area,Payment Date,Supplier Name,Internal Ref,Capital/ Revenue,Grand Total
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673056,Revenue,1150.20
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673289,Revenue,1822.12
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673170,Revenue,1661.04
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673068,Revenue,616.80
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673113,Revenue,837.41
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673020,Revenue,1651.12
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673202,Revenue,967.68
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673337,Revenue,1910.92
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673035,Revenue,1869.34
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673140,Revenue,585.36
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673121,Revenue,5622.00
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673197,Revenue,1161.24
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673209,Revenue,823.28
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673147,Revenue,514.24
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673017,Revenue,612.92
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673194,Revenue,1400.00
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673336,Revenue,3645.68
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673280,Revenue,1009.64
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673089,Revenue,723.20
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673149,Revenue,1150.20
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673353,Revenue,1019.40
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673084,Revenue,532.52
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673087,Revenue,4258.80
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673019,Revenue,1622.12
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673093,Revenue,701.12
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673013,Revenue,3609.00
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673127,Revenue,807.40
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673067,Revenue,1192.80
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673128,Revenue,1642.80
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673014,Revenue,1366.55
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673239,Revenue,681.60
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673205,Revenue,712.40
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673196,Revenue,1350.00
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673120,Revenue,712.40
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673183,Revenue,1822.12
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673284,Revenue,1822.12
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673110,Revenue,2177.08
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673157,Revenue,513.60
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673260,Revenue,975.80
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673188,Revenue,944.76
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673207,Revenue,511.20
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673271,Revenue,607.52
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673174,Revenue,750.00
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673293,Revenue,1065.00
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673105,Revenue,937.20
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673204,Revenue,894.60
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673192,Revenue,894.60
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673269,Revenue,2074.31
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673274,Revenue,511.20
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673150,Revenue,553.80
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673100,Revenue,1017.00
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673003,Revenue,1427.12
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673083,Revenue,3965.12
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673125,Revenue,894.60
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673044,Revenue,750.00
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673146,Revenue,1192.80
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673184,Revenue,687.28
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673082,Revenue,1704.00
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673137,Revenue,894.60
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673069,Revenue,696.96
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673018,Revenue,1933.40
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673009,Revenue,6431.40
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673071,Revenue,871.80
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673167,Revenue,1033.95
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673326,Revenue,685.48
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673210,Revenue,1526.56
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673331,Revenue,1258.35
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673080,Revenue,1417.80
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673350,Revenue,1340.14
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673351,Revenue,1721.27
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673151,Revenue,606.24
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673103,Revenue,513.60
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673079,Revenue,19796.00
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673081,Revenue,2016.11
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673066,Revenue,6303.56
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673133,Revenue,1698.80
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673033,Revenue,2187.24
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673028,Revenue,13972.80
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673051,Revenue,849.51
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673076,Revenue,1440.00
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673055,Revenue,760.00
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673011,Revenue,1533.60
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673075,Revenue,562.52
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673078,Revenue,1914.52
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673198,Revenue,842.72
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673279,Revenue,2854.24
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673325,Revenue,749.02
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673247,Revenue,1145.20
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673096,Revenue,1215.00
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673275,Revenue,570.08
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673296,Revenue,21689.54
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673208,Revenue,3240.17
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673341,Revenue,1822.04
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673102,Revenue,2604.40
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673012,Revenue,1509.00
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673107,Revenue,3261.40
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673290,Revenue,1400.00
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673061,Revenue,809.40
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673343,Revenue,911.02
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673219,Revenue,894.60
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673308,Revenue,596.40
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673312,Revenue,1087.44
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673114,Revenue,639.00
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673008,Revenue,1235.40
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673352,Revenue,2875.00
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673073,Revenue,705.00
Adult and Culture,Social Services-Carefirst              ,24/05/10,Redacted Personal Data,4673228,Revenue,1150.20
Adult and Culture,Social Services-Carefirst              ,10/05/10,REDESDALE COURT,4655269,Revenue,806.37
Adult and Culture,Social Services-Carefirst              ,10/05/10,RICHARD & IRENE APEDAILE,4655244,Revenue,1136.00
Adult and Culture,Social Services-Carefirst              ,10/05/10,RISEDALE REST HOME,4655203,Revenue,1691.60
Adult and Culture,Social Services-Carefirst              ,10/05/10,RIVERSIDE HOUSE,4655128,Revenue,1329.48
Adult and Culture,Social Services-Carefirst              ,10/05/10,ROMAN HOUSE,4655265,Revenue,19917.52
Adult and Culture,Social Services-Carefirst              ,10/05/10,ROSEWOOD VILLA RESIDENTIAL HOME,4655278,Revenue,9984.84
Adult and Culture,Social Services-Carefirst              ,10/05/10,S.E.L.F. LTD 14/15 PARK VIEW,4655194,Revenue,17460.40
Adult and Culture,Social Services-Carefirst              ,24/05/10,SANDOWN NURSING HOME,4672969,Revenue,1710.16
Adult and Culture,Social Services-Carefirst              ,10/05/10,SANDYFORD HOUSE,4655231,Revenue,16036.00
Adult and Culture,Social Services-Carefirst              ,10/05/10,SCARBOROUGH COURT NURSING HOME,4655158,Revenue,2583.76
Adult and Culture,Social Services-Carefirst              ,10/05/10,SILVER HOWE CARE CENTRE,4655266,Revenue,1293.68
Adult and Culture,Social Services-Carefirst              ,24/05/10,SOLWAY HOUSE,4672919,Revenue,1080.16
Adult and Culture,Social Services-Carefirst              ,24/05/10,SOLWAY HOUSE,4672920,Revenue,1080.16
Adult and Culture,Social Services-Carefirst              ,24/05/10,SOUTH CHOWDENE NURSING HOME,4672958,Revenue,1227.60
Adult and Culture,Social Services-Carefirst              ,24/05/10,SOUTH QUAY CARE HOME,4672968,Revenue,1033.32
Adult and Culture,Social Services-Carefirst              ,10/05/10,SOUTHERN CROSS HEALTHCARE,4655260,Revenue,1308.80
Adult and Culture,Social Services-Carefirst              ,10/05/10,SOUTHERN CROSS HEALTHCARE,4655290,Revenue,1228.80
Adult and Culture,Social Services-Carefirst              ,10/05/10,SOUTHERN CROSS HEALTHCARE,4655291,Revenue,1228.80
Adult and Culture,Social Services-Carefirst              ,24/05/10,SOUTHERN CROSS HEALTHCARE,4672983,Revenue,32577.15
Adult and Culture,Social Services-Carefirst              ,24/05/10,SOUTHERN CROSS HEALTHCARE GROUP LTD,4672928,Revenue,3289.00
Adult and Culture,Social Services-Carefirst              ,10/05/10,SOUTHERN CROSS HEALTHCARE GROUP PLC,4655159,Revenue,11261.91
Adult and Culture,Social Services-Carefirst              ,24/05/10,SOUTHERN CROSS HEALTHCARE GROUP PLC,4672940,Revenue,10402.22
Adult and Culture,Social Services-Carefirst              ,24/05/10,SOUTHERN CROSS HEALTHCARE GROUP PLC,4672965,Revenue,5271.76
Adult and Culture,Social Services-Carefirst              ,24/05/10,SOVEREIGN COURT,4672957,Revenue,27702.52
Adult and Culture,Social Services-Carefirst              ,24/05/10,SOVEREIGN LODGE,4672924,Revenue,25548.61
Adult and Culture,Social Services-Carefirst              ,10/05/10,ST AIDENS COTTAGE,4655236,Revenue,2640.40
Adult and Culture,Social Services-Carefirst              ,10/05/10,ST ANNES RESIDENTIAL HOME,4655187,Revenue,1259.20
Adult and Culture,Social Services-Carefirst              ,09/05/10,ST ANTHONYS OF PADUA CARE SERVICES,4654542,Revenue,12514.56
Adult and Culture,Social Services-Carefirst              ,17/05/10,ST ANTHONYS OF PADUA CARE SERVICES,4666010,Revenue,28121.06
Adult and Culture,Social Services-Carefirst              ,24/05/10,ST CATHERINES,4672916,Revenue,27887.91
Adult and Culture,Social Services-Carefirst              ,24/05/10,ST CATHERINES,4672987,Revenue,2842.39
Adult and Culture,Social Services-Carefirst              ,17/05/10,ST CUTHBERTS CARE,4666003,Revenue,29592.86
Adult and Culture,Social Services-Carefirst              ,24/05/10,ST CUTHBERTS CARE,4672933,Revenue,9935.60
Adult and Culture,Social Services-Carefirst              ,24/05/10,ST JOSEPHS,4672953,Revenue,16617.04
Adult and Culture,Social Services-Carefirst              ,24/05/10,ST JOSEPHS,4672995,Revenue,2396.61
Adult and Culture,Social Services-Carefirst              ,24/05/10,ST MARY MAGDALENE,4672931,Revenue,21334.65
Adult and Culture,Social Services-Carefirst              ,24/05/10,ST MARYS CONVENT,4672954,Revenue,1215.28
Adult and Culture,Social Services-Carefirst              ,24/05/10,ST OSWALDS NURSING HOME,4672961,Revenue,1259.08
Adult and Culture,Social Services-Carefirst              ,24/05/10,ST PETERS COURT,4672955,Revenue,1092.60
Adult and Culture,Social Services-Carefirst              ,10/05/10,ST SAVIOURS CARE HOME LTD,4655202,Revenue,1184.48
Adult and Culture,Social Services-Carefirst              ,10/05/10,STANLEY BURN RESIDENTIAL CARE HOME,4655139,Revenue,1205.20
Adult and Culture,Social Services-Carefirst              ,10/05/10,STANLEY PARK CARE CENTRE,4655232,Revenue,3806.36
Adult and Culture,Social Services-Carefirst              ,10/05/10,STANTON LODGE,4655127,Revenue,4006.04
Adult and Culture,Social Services-Carefirst              ,17/05/10,STONHAM,4665986,Revenue,27568.40
Adult and Culture,Social Services-Carefirst              ,10/05/10,SUMMERHILL CARE HOME,4655171,Revenue,865.28
Adult and Culture,Social Services-Carefirst              ,10/05/10,SUNNINGDALE LODGE EMI UNIT,4655166,Revenue,2670.44
Adult and Culture,Social Services-Carefirst              ,10/05/10,SUNNINGDALE NH TAMWORTH,4655254,Revenue,1066.12
Adult and Culture,Social Services-Carefirst              ,10/05/10,SUPREME HEALTHCARE LTD,4655245,Revenue,1346.00
Adult and Culture,Social Services-Carefirst              ,10/05/10,SUTHERLAND COURT,4655264,Revenue,17783.15
Adult and Culture,Social Services-Carefirst              ,10/05/10,SWAN LODGE,4655197,Revenue,6256.56
Adult and Culture,Social Services-Carefirst              ,17/05/10,THE CAMPHILL VILLAGE TRUST,4665984,Revenue,824.40
Adult and Culture,Social Services-Carefirst              ,10/05/10,THE EDWARD LLOYD TRUST,4655284,Revenue,18973.52
Adult and Culture,Social Services-Carefirst              ,17/05/10,THE EDWARD LLOYD TRUST,4666001,Revenue,79817.04
Adult and Culture,Social Services-Carefirst              ,10/05/10,THE FOXWALLS,4655219,Revenue,2199.60
Adult and Culture,Social Services-Carefirst              ,10/05/10,THE LAWNS,4655160,Revenue,791.84
Adult and Culture,Social Services-Carefirst              ,24/05/10,THE MEADOWS RES HOME,4672972,Revenue,1278.16
Adult and Culture,Social Services-Carefirst              ,10/05/10,THE STANHOPE SUITE,4655206,Revenue,1451.56
Adult and Culture,Social Services-Carefirst              ,10/05/10,THOMAS KNIGHT CARE HOME,4655239,Revenue,3918.40
Adult and Culture,Social Services-Carefirst              ,10/05/10,THORNBECK COLLEGE,4655289,Revenue,22011.44
Adult and Culture,Social Services-Carefirst              ,17/05/10,THORNBECK COLLEGE,4666004,Revenue,20156.60
Adult and Culture,Social Services-Carefirst              ,24/05/10,THROCKLEY NURSING HOME,4672912,Revenue,28303.14
Adult and Culture,Social Services-Carefirst              ,24/05/10,THROCKLEY NURSING HOME,4672985,Revenue,1337.34
Adult and Culture,Social Services-Carefirst              ,10/05/10,UNITED RESPONSE,4655281,Revenue,4312.32
Adult and Culture,Social Services-Carefirst              ,17/05/10,UNITED RESPONSE,4665999,Revenue,24928.60
Adult and Culture,Social Services-Carefirst              ,10/05/10,VALLEY VIEW RESIDENTIAL HOME,4655190,Revenue,2468.72
Adult and Culture,Social Services-Carefirst              ,10/05/10,VOYAGE,4655262,Revenue,6237.24
Adult and Culture,Social Services-Carefirst              ,10/05/10,WALKER LODGE,4655163,Revenue,46680.28
Adult and Culture,Social Services-Carefirst              ,10/05/10,WALLACE MEWS,4655240,Revenue,17484.76
Adult and Culture,Social Services-Carefirst              ,10/05/10,WALLDENE COURT,4655133,Revenue,2499.36
Adult and Culture,Social Services-Carefirst              ,24/05/10,WAVERLEY LODGE,4672949,Revenue,28097.24
Adult and Culture,Social Services-Carefirst              ,24/05/10,WAVERLEY LODGE,4672994,Revenue,1505.05
Adult and Culture,Social Services-Carefirst              ,24/05/10,WENSLEY HOUSE,4672975,Revenue,5415.40
Adult and Culture,Social Services-Carefirst              ,09/05/10,WEST DENTON ASSOCIATION,4654543,Revenue,13920.00
Adult and Culture,Social Services-Carefirst              ,10/05/10,WESTERLEIGH HOUSE,4655137,Revenue,1259.16
Adult and Culture,Social Services-Carefirst              ,10/05/10,WESTMINSTER HAWTHORNS,4655205,Revenue,5670.20
Adult and Culture,Social Services-Carefirst              ,24/05/10,WESTOE GRANGE,4672971,Revenue,1712.00
Adult and Culture,Social Services-Carefirst              ,24/05/10,WESTWOOD LODGE NURSING HOME,4672978,Revenue,57179.40
Adult and Culture,Social Services-Carefirst              ,24/05/10,WESTWOOD LODGE NURSING HOME,4672997,Revenue,3959.01
Adult and Culture,Social Services-Carefirst              ,10/05/10,WHEATFIELD COURT,4655131,Revenue,43787.17
Adult and Culture,Social Services-Carefirst              ,10/05/10,WHEATFIELD COURT,4655293,Revenue,8757.70
Adult and Culture,Social Services-Carefirst              ,24/05/10,WHICKHAM VILLA,4672913,Revenue,17760.36
Adult and Culture,Social Services-Carefirst              ,10/05/10,WHITWOOD HOUSE,4655256,Revenue,10850.00
Adult and Culture,Social Services-Carefirst              ,10/05/10,WHORLTON GRANGE,4655138,Revenue,17326.64
Adult and Culture,Social Services-Carefirst              ,24/05/10,WICKWAR NURSING HOME,4672974,Revenue,1347.60
Adult and Culture,Social Services-Carefirst              ,10/05/10,WILLOW LODGE,4655161,Revenue,1284.40
Adult and Culture,Social Services-Carefirst              ,24/05/10,WINDSOR COURT NURSING &,4672979,Revenue,4568.48
Adult and Culture,Social Services-Carefirst              ,10/05/10,WOODHOUSE COTTAGE,4655222,Revenue,5946.92
Adult and Culture,Social Services-Carefirst              ,10/05/10,WOODLANDS CARE HOME FOR THE ELDERLY,4655275,Revenue,12237.16
Adult and Culture,Social Services-Carefirst              ,10/05/10,WORDSWORTH HOUSE,4655282,Revenue,30838.50
Adult and Culture,Social Services-Carefirst              ,10/05/10,WORDSWORTH HOUSE,4655299,Revenue,2009.94
Chief Executives,Chief Exec's Off Comm Devt   ,11/05/10,CROSSINGS,4658896,Revenue,1000.00
Chief Executives,Chief Exec's Off Comm Devt   ,11/05/10,NCVS,4657628,Revenue,13136.92
Chief Executives,Chief Exec's Off Comm Devt   ,27/05/10,NCVS,4679229,Revenue,25000.00
Chief Executives,Chief Exec's Off Corp Bus Mngmt  ,19/05/10,NOVAS SCARMAN GROUP LTD,4652909,Revenue,6827.50
Chief Executives,Chief Exec's Off Corp Bus Mngmt  ,27/05/10,NOVAS SCARMAN GROUP LTD,4665971,Revenue,4000.00
Chief Executives,Chief Exec's Off Corp Bus Mngmt  ,25/05/10,PRACTIVE,4665930,Revenue,873.00
Chief Executives,Chief Exec's Off Corp Bus Mngmt  ,03/05/10,SHRED-IT LTD,4648514,Revenue,1139.84
Chief Executives,Chief Exec's Off Corp Bus Mngmt  ,03/05/10,SHRED-IT LTD,4648517,Revenue,1311.60
Chief Executives,Chief Exec's Off Corp Bus Mngmt  ,19/05/10,SHRED-IT LTD,4669200,Revenue,790.69
Chief Executives,Chief Exec's Office Soc Policy   ,05/05/10,EUROPEAN CONSULAR AND COMMERCIAL OFF,4651510,Revenue,2500.00
Chief Executives,Chief Exec's Office Soc Policy   ,05/05/10,EUROPEAN CONSULAR AND COMMERCIAL OFF,4651511,Revenue,2500.00
Chief Executives,Chief Exec's Office Soc Policy   ,23/05/10,Redacted Personal Data,4672493,Revenue,675.00
Chief Executives,Chief Exec's Office Soc Policy   ,18/05/10,THE RIGHTS PROJECT,4667925,Revenue,13749.99
Chief Executives,Coroners                               ,12/05/10,COOPERATIVE FUNERAL SERVICE,4660044,Revenue,1077.00
Chief Executives,Coroners                               ,12/05/10,NEWCASTLE UPON TYNE HOSPITALS NHS TRUST,4659985,Revenue,19782.38
Chief Executives,Coroners                               ,12/05/10,NEWCASTLE UPON TYNE HOSPITALS NHS TRUST,4660045,Revenue,18168.90
Chief Executives,Coroners                               ,16/05/10,NEWCASTLE UPON TYNE HOSPITALS NHS TRUST,4660046,Revenue,12322.06
Chief Executives,Coroners                               ,13/05/10,Redacted Personal Data,4661560,Revenue,1338.60
Chief Executives,Coroners                               ,13/05/10,Redacted Personal Data,4661559,Revenue,1056.50
Chief Executives,Coroners                               ,13/05/10,Redacted Personal Data,4661561,Revenue,2508.50
Chief Executives,Coroners                               ,13/05/10,Redacted Personal Data,4661562,Revenue,677.60
Chief Executives,Coroners                               ,13/05/10,UNIVERSITY OF NEWCASTLE UPON TYNE,4661563,Revenue,2323.20
Chief Executives,CXO - Insurance Payments -    ,12/05/10,HALLIWELLS LLP,4660391,Revenue,868.92
Chief Executives,CXO - Insurance Payments -    ,17/05/10,HALLIWELLS LLP,4665234,Revenue,833.50
Chief Executives,CXO - Insurance Payments -    ,05/05/10,JC APPLICATIONS DEVELOPMENT,4651677,Revenue,2960.00
Chief Executives,CXO - Insurance Payments -    ,17/05/10,LANGLEYS SOLICITORS,4665183,Revenue,1315.50
Chief Executives,CXO - Insurance Payments -    ,05/05/10,UPTIN MOTORS LTD,4651421,Revenue,514.19
Chief Executives,CXO - Social Inclusion     ,09/05/10,NORTH EAST POLISH COMMUNITY ORGANISATION,4653806,Revenue,700.00
Chief Executives,CXO - Treasury Mgmt Pymts -   ,27/05/10,ZURICH MUNICIPAL,4628908,Revenue,100000.00
Chief Executives,CXO Accountancy            ,06/05/10,AUDIT COMMISSION,4634476,Revenue,7931.00
Chief Executives,CXO Accountancy            ,13/05/10,CIPFA,4661999,Revenue,3200.00
Chief Executives,CXO Accountancy            ,09/05/10,CIPFA BUSINESS LTD,4654233,Revenue,750.00
Chief Executives,CXO Accountancy            ,17/05/10,DATASTOR,4665846,Revenue,538.76
Chief Executives,CXO Accountancy            ,11/05/10,UNIVERSITY OF WARWICK,4658454,Revenue,2239.15
Chief Executives,CXO Arts & Cul             ,05/05/10,ELGATE PRODUCTS LTD,4628857,Revenue,896.04
Chief Executives,CXO Arts & Cul             ,20/05/10,NFS DISTRIBUTION,4668015,Revenue,714.08
Chief Executives,CXO Arts & Cul             ,19/05/10,NORTHERN STAGE,4669170,Revenue,1000.00
Chief Executives,CXO Arts & Cul             ,05/05/10,NORTHUMBERLAND TARTAN CO LTD,4651099,Revenue,516.00
Chief Executives,CXO Arts & Cul             ,09/05/10,QAS SYSTEMS LTD,4654319,Revenue,3584.27
Chief Executives,CXO Arts & Cul             ,20/05/10,Redacted Personal Data,4667870,Revenue,1500.00
Chief Executives,CXO Arts & Cul             ,26/05/10,Redacted Personal Data,4677976,Revenue,625.00
Chief Executives,CXO Arts & Cul             ,05/05/10,ROYAL MAIL,4645738,Revenue,555.82
Chief Executives,CXO Comm Safety            ,26/05/10,NORTHUMBRIA POLICE AUTHORITY,4677948,Revenue,1732.34
Chief Executives,CXO Comm Safety            ,06/05/10,THE CRACK LTD,4652914,Revenue,800.00
Chief Executives,CXO Comm Safety            ,13/05/10,UCL CONSULTANTS LTD,4631848,Revenue,2000.00
Chief Executives,CXO Comm Safety            ,13/05/10,UCL CONSULTANTS LTD,4631849,Revenue,3000.00
Chief Executives,CXO Corp Procurement       ,27/05/10,COA SOLUTIONS LTD,4666511,Revenue,8750.00
Chief Executives,CXO Corp Procurement       ,24/05/10,EXOR MANAGEMENT SERVICES LTD,4636570,Revenue,1200.00
Chief Executives,CXO Corp Procurement       ,06/05/10,OCE FINANCE,4605187,Revenue,10097.46
Chief Executives,CXO Corp Procurement       ,26/05/10,OCE FINANCE,4563991,Revenue,9290.94
Chief Executives,CXO Corp Procurement       ,26/05/10,OCE FINANCE,4579496,Revenue,13325.84
Chief Executives,CXO Health & Safety        ,10/05/10,GLENPARK OCCUPATIONAL HEALTH,4655529,Revenue,525.00
Chief Executives,CXO Health & Safety        ,17/05/10,WOLTERS KLUWER (UK) LTD,4655527,Revenue,704.96
Chief Executives,CXO Internal Audit         ,19/05/10,CIPFA,4667999,Revenue,3070.00
Chief Executives,CXO NFR                 ,23/05/10,DWP JOB CENTRE PLUS NO1A/C,4671796,Revenue,44263.48
Chief Executives,CXO NFR                 ,16/05/10,FIRST STEP,4664126,Revenue,27775.00
Chief Executives,CXO NFR                 ,09/05/10,HELIX ARTS,4653896,Revenue,9714.00
Chief Executives,CXO NFR                 ,20/05/10,HOTSPUR PRIMARY SCHOOL,4670367,Revenue,4950.00
Chief Executives,CXO NFR                 ,11/05/10,JET,4658384,Revenue,45567.00
Chief Executives,CXO NFR                 ,11/05/10,NEWCASTLE FUTURES (CENTRAL FUND),4658387,Revenue,105239.00
Chief Executives,CXO NFR                 ,23/05/10,NEWCASTLE FUTURES (CENTRAL FUND),4670867,Revenue,11985.00
Chief Executives,CXO NFR                 ,23/05/10,NEWCASTLE FUTURES (FLEXIBLE FUND),4671797,Revenue,24130.00
