Department,Entity,Date of Payment,Expense Type,Project,Expense Area,Supplier,Transaction Number,Amount,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PLANT & EQUIPMENT,23161,FUSION,AALCO LIMITED,5100312238,3638.25,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PLANT & EQUIPMENT,23161,FUSION,AALCO LIMITED,5100312239,4800.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PLANT & EQUIPMENT,23161,FUSION,AALCO LIMITED,5100312273,810.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PLANT & EQUIPMENT,23161,FUSION,AALCO LIMITED,5100312274,648.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PLANT & EQUIPMENT,23617,FUSION,AALCO LIMITED,5100312201,165.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/10/2014,CONSUMABLES,23123,FUSION,ABLOY SECURITY,5100311054,35.56,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,05/11/2014,MATERIALS & SPARES,23106,FUSION,ACRONA ENGINEERING LTD,5100311926,7860.58,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,12/11/2014,MATERIALS & SPARES,25103,FUSION,ACRONA ENGINEERING LTD,5100310560,8370.46,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,MATERIALS & SPARES,25103,FUSION,ACRONA ENGINEERING LTD,5100311723,667.25,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,MATERIALS & SPARES,25103,FUSION,ACRONA ENGINEERING LTD,5100311724,4344.84,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,SECURITY AND EMERGENCY,28030,PROPERTY,ADT FIRE & SECURITY PLC,5100312360,64.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,SECURITY AND EMERGENCY,28030,PROPERTY,ADT FIRE & SECURITY PLC,5100312362,633.75,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/10/2014,SECURITY AND EMERGENCY,28200,PROPERTY,ADT FIRE & SECURITY PLC,5100307302,1028.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,PLANT & EQUIPMENT,25103,FUSION,AEROSPACE TOOLING,5100311681,7111.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,PLANT & EQUIPMENT,25103,FUSION,AEROSPACE TOOLING,5100311781,3297.50,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,PLANT & EQUIPMENT,25103,FUSION,AEROSPACE TOOLING,5100311796,2581.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,PLANT & EQUIPMENT,25103,FUSION,AEROSPACE TOOLING,5100311797,3297.50,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,12/11/2014,MATERIALS & SPARES,23164,FUSION,AIHA - PROFICIENCY TESTING PROGRAMMES,5100312194,3156.45,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,30/10/2014,PLANT & EQUIPMENT,29030,FUSION,Allendale Electronics Ltd,1900060472,755.34,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,MATERIALS & SPARES,23103,FUSION,ALPHA ENGINEERING SUPPLIES,5100311987,236.32,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,MATERIALS & SPARES,23103,FUSION,ALPHA ENGINEERING SUPPLIES,5100312366,245.60,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,29/10/2014,MATERIALS & SPARES,23123,FUSION,ALPHA ENGINEERING SUPPLIES,5100311286,433.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,MATERIALS & SPARES,23123,FUSION,ALPHA ENGINEERING SUPPLIES,5100312043,107.04,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,MATERIALS & SPARES,23123,FUSION,ALPHA ENGINEERING SUPPLIES,5100312237,272.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,MATERIALS & SPARES,23123,FUSION,ALPHA ENGINEERING SUPPLIES,5100312367,54.40,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,MATERIALS & SPARES,23161,FUSION,ALPHA PACKAGING,5100312352,489.87,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,MATERIALS & SPARES,23161,FUSION,ALPHA PACKAGING,5100312356,41.80,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,MATERIALS & SPARES,23120,FUSION,ALR SERVICES,5100312029,166.57,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,30/10/2014,RENT OF VEHICLE & EQUIPMENT,23151,FUSION,Altitude Safety Ltd,1900060469,317.40,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,12/11/2014,PROFESSIONAL SERVICES,23153,FUSION,AMEC NUCLEAR UK LIMITED,5100311705,7869.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,12/11/2014,REPAIRS & MAINTENANCE,23617,FUSION,AMELEC INST,5100312298,1238.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,29/10/2014,HEALTH PHYSICS,21033,SUPPORT SERVICES,American Institute of Physics,5100311472,5888.01,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,29/10/2014,HEALTH PHYSICS,21033,SUPPORT SERVICES,American Physical Society,5100311581,9137.34,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/10/2014,PROFESSIONAL SERVICES,25821,FUSION,SOLE TRADER,5100311463,1430.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/10/2014,PROFESSIONAL SERVICES,25821,FUSION,SOLE TRADER,5100311465,600.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,MATERIALS & SPARES,23111,FUSION,ANIXTER (UK) LTD,5100311734,4860.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,MATERIALS & SPARES,23111,FUSION,ANIXTER (UK) LTD,5100311735,1170.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,MATERIALS & SPARES,23111,FUSION,ANIXTER (UK) LTD,5100311751,2988.60,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/10/2014,MATERIALS & SPARES,23128,FUSION,ANIXTER (UK) LTD,5100311520,1850.90,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,MATERIALS & SPARES,23128,FUSION,ANIXTER (UK) LTD,5100312402,740.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,05/11/2014,MATERIALS & SPARES,23150,FUSION,ANIXTER (UK) LTD,5100311521,958.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,MATERIALS & SPARES,23161,FUSION,ANIXTER (UK) LTD,5100311747,1113.45,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,MATERIALS & SPARES,25103,FUSION,ANIXTER (UK) LTD,5100311753,83.60,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,MATERIALS & SPARES,25103,FUSION,ANIXTER (UK) LTD,5100312383,249.20,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,OPERATING LEASE,21034,FUSION,ANNODATA BUSINESS COMMUNICATIONS,5100312644,2778.30,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,OPERATING LEASE,21034,FUSION,ANNODATA BUSINESS COMMUNICATIONS,5100312646,931.12,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,OPERATING LEASE,21034,FUSION,ANNODATA BUSINESS COMMUNICATIONS,5100312648,12019.83,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,OPERATING LEASE,21034,FUSION,ANNODATA BUSINESS COMMUNICATIONS,5100312649,2730.17,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,PROFESSIONAL SERVICES,63523,SUPPORT SERVICES,AON HEWITT LTD,5100311800,153682.51,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PROFESSIONAL SERVICES,63523,SUPPORT SERVICES,AON HEWITT LTD,5100312134,153682.51,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,PROFESSIONAL SERVICES,63523,SUPPORT SERVICES,AON HEWITT LTD,5100312581,153682.51,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,19/11/2014,MATERIALS & SPARES,25836,FUSION,Applied Vacuum Engineering,1900060550,1478.75,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PLANT SPARES,25836,FUSION,Aquila Nuclear Engineering Ltd,5100312054,112881.64,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,PERSONAL PROTECTIVE EQUIPMENT,21033,SUPPORT SERVICES,ARCO LTD,5100311727,19.39,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PERSONAL PROTECTIVE EQUIPMENT,21033,SUPPORT SERVICES,ARCO LTD,5100312004,192.26,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PERSONAL PROTECTIVE EQUIPMENT,21033,SUPPORT SERVICES,ARCO LTD,5100312121,302.67,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,PERSONAL PROTECTIVE EQUIPMENT,21033,SUPPORT SERVICES,ARCO LTD,5100312739,34.11,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,PERSONAL PROTECTIVE EQUIPMENT,21033,SUPPORT SERVICES,ARCO LTD,5100312742,271.04,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23104,FUSION,ARCO LTD,5100312111,179.36,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23104,FUSION,ARCO LTD,5100312118,59.99,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23106,FUSION,ARCO LTD,5100312108,56.71,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23106,FUSION,ARCO LTD,5100312297,146.84,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23106,FUSION,ARCO LTD,5100312480,59.60,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/10/2014,PERSONAL PROTECTIVE EQUIPMENT,23128,FUSION,ARCO LTD,5100311305,5.18,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23128,FUSION,ARCO LTD,5100312392,122.41,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23134,FUSION,ARCO LTD,5100312744,55.20,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23151,FUSION,ARCO LTD,5100311698,35.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23151,FUSION,ARCO LTD,5100312109,126.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/10/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100311164,103.40,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/10/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100311293,375.80,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/10/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100311307,54.80,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,29/10/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100311611,26.39,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/10/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100311612,1.55,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,29/10/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100311615,59.99,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,05/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100311685,35.52,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100311686,1641.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100311687,372.24,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100311688,371.28,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100311689,387.80,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100311690,35.52,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100311692,1165.80,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100311693,351.60,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100311694,242.48,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100311695,158.55,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100311699,16.06,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100311745,233.19,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100311880,193.20,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100311882,193.20,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100311883,67.20,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100311885,372.24,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,12/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100312002,196.40,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,12/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100312114,40.21,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,05/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100312137,586.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,12/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100312243,733.08,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,12/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100312289,124.08,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,12/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100312290,127.71,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100312389,4.79,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100312479,79.98,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100312639,129.90,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,19/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100312740,661.76,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,19/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100312741,53.04,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,19/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,FUSION,ARCO LTD,5100312746,230.40,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23164,FUSION,ARCO LTD,5100312288,92.35,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,PERSONAL PROTECTIVE EQUIPMENT,23164,FUSION,ARCO LTD,5100312385,44.37,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,PERSONAL PROTECTIVE EQUIPMENT,25103,FUSION,ARCO LTD,5100311876,193.56,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,PERSONAL PROTECTIVE EQUIPMENT,29030,FUSION,ARCO LTD,5100311878,5.94,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PERSONAL PROTECTIVE EQUIPMENT,29030,FUSION,ARCO LTD,5100312117,32.12,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PERSONAL PROTECTIVE EQUIPMENT,29030,FUSION,ARCO LTD,5100312287,36.96,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,STATIONERY,21034,FUSION,ARTISAN LITHO PRINT  DESIGN,5100311729,300.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PLANT & EQUIPMENT,23164,FUSION,ARVAL UK LIMITED,5100312203,264.83,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,29/10/2014,PLANT SPARES,23131,FUSION,AS SCIENTIFIC PRODUCTS LTD,5100311066,380.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PLANT SPARES,23152,FUSION,AS SCIENTIFIC PRODUCTS LTD,5100311912,2430.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,05/11/2014,MATERIALS & SPARES,23164,FUSION,ASTLES CONTROL SYSTEMS,5100311249,1135.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/10/2014,PLANT SPARES,23134,FUSION,AURIGA EUROPE PLC,5100311532,121.90,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,CATERING,21033,SUPPORT SERVICES,AVENANCE PLC,5100311765,1125.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,CATERING,23126,FUSION,AVENANCE PLC,5100311426,564.82,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,CATERING,23126,FUSION,AVENANCE PLC,5100311428,906.07,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,CATERING,28040,PROPERTY,AVENANCE PLC,5100311427,218.90,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,CATERING,28040,PROPERTY,AVENANCE PLC,5100312124,7748.18,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,CATERING,28040,PROPERTY,AVENANCE PLC,5100312145,389.28,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,PLANT SPARES,25103,FUSION,AVNET EMG LTD,5100311595,3810.64,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,PLANT SPARES,23129,FUSION,AW GRACE & SON,5100312749,97.90,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/10/2014,PRINTING & GRAPHICS,21033,SUPPORT SERVICES,AWARDFRAMERS INTERNATIONAL,5100311446,262.50,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,31/10/2014,MATERIALS & SPARES,25103,FUSION,Axon Cable Ltd,1900060485,3063.24,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,IT EQUIPMENT NON CAPITAL,23132,FUSION,AZTEX SOLUTIONS LIMITED,5100311673,5855.67,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,TREATED WATER,23125,FUSION,B & V WATER TREATMENT,5100311768,1185.81,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,PLANT & EQUIPMENT,23617,FUSION,BASI Instrument AB,1900060490,4639.94,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,29/10/2014,PLANT SPARES,23128,FUSION,BATT CABLES PLC,5100311464,304.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,PLANT SPARES,23128,FUSION,BATT CABLES PLC,5100312219,136.65,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PROFESSIONAL SERVICES,21032,SUPPORT SERVICES,BDO LLP,5100312229,2778.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PLANT SPARES,23103,FUSION,Beacon Group International Ltd,5100312333,242.60,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/11/2014,PLANT SPARES,25103,FUSION,Beacon Group International Ltd,5100311828,52.30,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/10/2014,REPAIRS & MAINTENANCE,23125,FUSION,BEAVER 84 LIMITED,5100311607,3589.50,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,19/11/2014,REPAIRS & MAINTENANCE,23125,FUSION,BEAVER 84 LIMITED,5100312128,830.20,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,REPAIRS & MAINTENANCE,25103,FUSION,BEAVER 84 LIMITED,5100311058,75.73,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,REPAIRS & MAINTENANCE,25103,FUSION,BEAVER 84 LIMITED,5100312125,470.82,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,19/11/2014,REPAIRS & MAINTENANCE,25103,FUSION,BEAVER 84 LIMITED,5100312126,166.64,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,REPAIRS & MAINTENANCE,25103,FUSION,BEAVER 84 LIMITED,5100312127,22.78,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,REPAIRS & MAINTENANCE,25103,FUSION,BEAVER 84 LIMITED,5100312130,122.00,,
